ENSMUSG00000018574	P50544	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000006717	Q9CQR4	SUBUNIT: Homotetramer. Interacts with PCTP. {ECO:0000269|PubMed:17704541, ECO:0000269|PubMed:19405909}.
ENSMUSG00000070687	Q61224	SUBUNIT: Homodimer. Heterodimer with HTR1B (By similarity). {ECO:0000250}.
ENSMUSG00000025190	P05201	SUBUNIT: Homodimer.
ENSMUSG00000020532	Q5SWU9	SUBUNIT: Monomer, homodimer, and homotetramer. Can form filamentous polymers. Interacts in its inactive phosphorylated form with the BRCT domains of BRCA1 which prevents ACACA dephosphorylation and inhibits lipid synthesis. Interacts with MID1IP1; interaction with MID1IP1 promotes oligomerization and increases its activity. {ECO:0000269|PubMed:12360400, ECO:0000269|PubMed:20952656}.
ENSMUSG00000054808	P57780	SUBUNIT: Homodimer; antiparallel (By similarity). Interacts with BAIAP1 and PDLIM2 (By similarity). Identified in a complex with CASK, IQGAP1, MAGI2, NPHS1, SPTAN1 and SPTBN1 (By similarity). Identified in a IGF2BP1-dependent mRNP granule complex containing untranslated mRNAs. Component of the CART complex, at least composed of ACTN4, HGS/HRS, MYO5B and TRIM3. Binds TRIM3 at the N-terminus. Interacts with MICALL2 (preferentially in opened conformation); stimulated by RAB13 activation. Interacts with PPARG and RARA (By similarity). {ECO:0000250|UniProtKB:O43707, ECO:0000250|UniProtKB:Q9QXQ0, ECO:0000269|PubMed:18332111}.
ENSMUSG00000018326	Q9CQV8	SUBUNIT: Homodimer (By similarity). Interacts with SAMSN1 and PRKCE (PubMed:18604201, PubMed:20478393). Interacts with AKAP13. Interacts with SSH1 and TORC2/CRTC2. Interacts with ABL1; the interaction results in cytoplasmic location of ABL1 and inhibition of cABL-mediated apoptosis. Interacts with ROR2 (dimer); the interaction results in phosphorylation of YWHAB on tyrosine residues. Interacts with GAB2. Interacts with YAP1 (phosphorylated form). Interacts with the phosphorylated (by AKT1) form of SRPK2. Interacts with PKA-phosphorylated AANAT. Interacts with MYO1C. Interacts with SIRT2 (By similarity). Interacts with the 'Thr-369' phosphorylated form of DAPK2 (PubMed:26047703). Interacts with PI4KB, TBC1D22A and TBC1D22B. Interacts with the 'Ser-1134' and 'Ser-1161' phosphorylated form of SOS1 (By similarity). {ECO:0000250|UniProtKB:P31946, ECO:0000269|PubMed:18604201, ECO:0000269|PubMed:20478393, ECO:0000269|PubMed:26047703}.
ENSMUSG00000018965	P68510	SUBUNIT: Homodimer (By similarity). Interacts with many nuclear hormone receptors and cofactors including AR, ESR1, ESR2, MC2R, NR3C1, NRIP1, PPARBP and THRA. Interacts with ABL1 (phosphorylated form); the interaction retains it in the cytoplasm. Weakly interacts with CDKN1B (By similarity). Interacts with ARHGEF28 and CDK16. Interacts with KCNK18 in a phosphorylation-dependent manner. Interacts with SAMSN1. Interacts with the 'Ser-241' phosphorylated form of PDPK1 (By similarity). Interacts with the 'Thr-369' phosphorylated form of DAPK2 (PubMed:26047703). Interacts with PI4KB, TBC1D22A and TBC1D22B (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:Q04917, ECO:0000269|PubMed:26047703}.
ENSMUSG00000051391	P61982	SUBUNIT: Homodimer. Interacts with MDM4 (phosphorylated); negatively regulates MDM4 activity toward TP53. Interacts with RAF1, SSH1 and CRTC2/TORC2. Interacts with ABL1 (phosphorylated form); the interaction retains it in the cytoplasm. Interacts with GAB2. Interacts with PKA-phosphorylated AANAT and SIRT2 (By similarity). Interacts with SAMSN1. Interacts with the 'Thr-369' phosphorylated form of DAPK2 (PubMed:26047703). Interacts with PI4KB, TBC1D22A and TBC1D22B (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:P61981, ECO:0000269|PubMed:20478393, ECO:0000269|PubMed:26047703}.
ENSMUSG00000047281	O70456	SUBUNIT: Homodimer. Found in a complex with XPO7, EIF4A1, ARHGAP1, VPS26A, VPS29 and VPS35. Interacts with GAB2 (By similarity). Interacts with KRT17. Interacts with SAMSN1. Interacts with SRPK2 (By similarity). Interacts with COPS6 (By similarity). Interacts with RFWD2; this interaction leads to proteasomal degradation (By similarity).Interacts with the 'Thr-369' phosphorylated form of DAPK2 (PubMed:26047703). Interacts with PI4KB (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:P31947, ECO:0000269|PubMed:26047703}.
ENSMUSG00000022285	P63101	SUBUNIT: Homodimer. Heterodimerizes with YWHAE (By similarity). Homo- and hetero-dimerization is inhibited by phosphorylation on Ser-58 (By similarity). Interacts with FOXO4, NOXA1, SSH1 and ARHGEF2. Interacts with CDK16 and with WEE1 (C-terminal). Interacts with MLF1 (phosphorylated form); the interaction retains it in the cytoplasm. Interacts with BSPRY. Interacts with Thr-phosphorylated ITGB2 (By similarity). Interacts with Pseudomonas aeruginosa exoS (unphosphorylated form). Interacts with BAX; the interaction occurs in the cytoplasm. Under stress conditions, MAPK8-mediated phosphorylation releases BAX to mitochondria. Interacts with phosphorylated RAF1; the interaction is inhibited when YWHAZ is phosphorylated on Thr-232. Interacts with TP53; the interaction enhances p53 transcriptional activity. The Ser-58 phosphorylated form inhibits this interaction and p53 transcriptional activity. Interacts with ABL1 (phosphorylated form); the interaction retains ABL1 in the cytoplasm. Interacts with PKA-phosphorylated AANAT; the interaction modulates AANAT enzymatic activity by increasing affinity for arylalkylamines and acetyl-CoA and protecting the enzyme from dephosphorylation and proteasomal degradation (By similarity). It may also prevent thiol-dependent inactivation (By similarity). Interacts with AKT1; the interaction phosphorylates YWHAZ and modulates dimerization (By similarity). Interacts with GAB2 (By similarity). Interacts with SAMSN1. Interacts with BCL2L11 and TLK2. Interacts with the 'Thr-369' phosphorylated form of DAPK2 (PubMed:26047703). Interacts with PI4KB, TBC1D22A and TBC1D22B (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:P63104, ECO:0000269|PubMed:10455159, ECO:0000269|PubMed:12176995, ECO:0000269|PubMed:20478393, ECO:0000269|PubMed:21478148, ECO:0000269|PubMed:26047703, ECO:0000269|PubMed:9016762, ECO:0000269|PubMed:9197417}.
ENSMUSG00000031672	P05202	SUBUNIT: Homodimer. {ECO:0000269|PubMed:19826765, ECO:0000269|PubMed:20977429}.
ENSMUSG00000042010	E9Q4Z2	SUBUNIT: Monomer, homodimer, and homotetramer. Can form filamentous polymers. Interacts with MID1IP1; interaction with MID1IP1 promotes oligomerization and increases its activity. {ECO:0000250|UniProtKB:O00763}.
ENSMUSG00000029545	Q07417	SUBUNIT: Homotetramer.
ENSMUSG00000046159	Q9ERZ3	SUBUNIT: Homodimer; the dimers can form tetramers. {ECO:0000250}.
ENSMUSG00000021620	Q9DBK0	SUBUNIT: Homodimer or homotetramer. {ECO:0000250}.
ENSMUSG00000028148	Q9CQJ0	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000024866	Q91XE4	SUBUNIT: Exists as a mixture of homodimers and homotetramer, both catalytically active. {ECO:0000269|PubMed:14656720, ECO:0000269|PubMed:17434493, ECO:0000269|PubMed:20921362}.
ENSMUSG00000026489	Q60936	SUBUNIT: Homodimer; homodimerizes via its transmembrane region. {ECO:0000250|UniProtKB:Q8NI60}.
ENSMUSG00000030168	Q8BQS5	SUBUNIT: May form homooligomers and heterooligomers with ADIPOR1. {ECO:0000250|UniProtKB:Q86V24}.
ENSMUSG00000029776	Q99L13	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000026289	Q8C0J2	SUBUNIT: Interacts with TMEM59, TLR2 and NOD2 (By similarity). Homooligomer. Interacts with WIPI2, FIP200 and ATG5. Part of either the minor and major complexes respectively composed of 4 sets of ATG12-ATG5 and ATG16L1 (400 kDa) or 8 sets of ATG12-ATG5 and ATG16L1 (800 kDa). Interacts with RAB33B. Interacts (via WD repeats) with MEFV (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:Q676U5, ECO:0000269|PubMed:12665549, ECO:0000269|PubMed:18448665, ECO:0000269|PubMed:24954904}.
ENSMUSG00000030111	Q6GQT1	SUBUNIT: Homotetramer; disulfide-linked. {ECO:0000250|UniProtKB:P01023}.
ENSMUSG00000057228	Q9WVM8	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000031333	Q61102	SUBUNIT: Homodimer or heterodimer. {ECO:0000305}.
ENSMUSG00000031974	Q9JI39	SUBUNIT: Homodimer or homooligomer. {ECO:0000269|PubMed:15215243}.
ENSMUSG00000022878	Q60994	SUBUNIT: Homomultimer. Forms trimers, hexamers and 12- to 18-mers. The trimers (low molecular weight complexes / LMW) are assembled via non-covalent interactions of the collagen-like domains in a triple helix and hydrophobic interactions within the globular C1q domain. Several trimers can associate to form disulfide-linked hexamers (middle molecular weight complexes / MMW) and larger complexes (higher molecular weight / HMW). The HMW-complex assembly may rely additionally on lysine hydroxylation and glycosylation. LMW, MMW and HMW complexes bind to HBEGF, MMW and HMW complexes bind to PDGFB, and HMW complex binds to FGF2. Interacts with CTRP9 via the C1q domain (heterotrimeric complex). {ECO:0000269|PubMed:15734737, ECO:0000269|PubMed:15760892, ECO:0000269|PubMed:16621799, ECO:0000269|PubMed:18787108, ECO:0000269|PubMed:19855092}.
ENSMUSG00000030232	Q9Z248	SUBUNIT: Self-associates (By similarity). Interacts with EED, EZH2, RBBP4 and SUZ12 (By similarity). Component of the PRC2/EED-EZH1 complex, which includes EED, EZH1, SUZ12, RBBP4 and AEBP2. May also interact with RBBP7 (By similarity). {ECO:0000250}.
ENSMUSG00000015143	Q7TPR4	SUBUNIT: Homodimer; antiparallel. Interacts with DDN, MYOZ2, PDLIM2, TTID and LPP (By similarity). Interacts with DNM2 and CTTN (By similarity). Interacts with PSD. Interacts with MICALL2. {ECO:0000250|UniProtKB:P12814, ECO:0000250|UniProtKB:Q9Z1P2, ECO:0000269|PubMed:17298598, ECO:0000269|PubMed:23100251}.
ENSMUSG00000052374	Q9JI91	SUBUNIT: Homodimer; antiparallel. Also forms heterodimers with ACTN3. Interacts with ADAM12, MYOZ1, MYOZ2 and MYOZ3. Interacts via its C-terminal region with the LDB3 PDZ domain. Interacts with XIRP2. Interacts with DST (via N-terminus). Interacts with PARVB (By similarity). {ECO:0000250}.
ENSMUSG00000020774	Q8R3P0	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000026457	Q91VH1	SUBUNIT: May form homooligomers and heterooligomers with ADIPOR2. {ECO:0000250|UniProtKB:Q96A54}.
ENSMUSG00000068036	Q9QZQ1	SUBUNIT: Homodimer. Interacts with F-actin, nectin and NECTIN3. Essential for the association of nectin and E-cadherin. Isoform 2/s-afadin does not interact with F-actin. Interacts with ZO-1 and occludin, but probably in an indirect manner. Interacts with RIT1, RIT2, NRXN1 and BCR (By similarity). {ECO:0000250}.
ENSMUSG00000029094	Q80YS6	SUBUNIT: Monomer and homomultimer. Interacts via its C-terminus with F-actin; probably involving AFAP1 multimers. Interacts with activated SRC SH3-SH2 domains. Interacts via its PH 1 domain with PRKCA, PRKCB and PRKCI (By similarity). {ECO:0000250}.
ENSMUSG00000055013	Q8BXK8	SUBUNIT: Homodimer. Interacts with several subunits of the AP-3 protein complex: AP3M1, AP3S1 and AP3S2. Interacts with GUCY1A3 and GUCY1B3 (By similarity). {ECO:0000250}.
ENSMUSG00000031633	P48962	SUBUNIT: Homodimer. Found in a complex with ARL2, ARL2BP and SLC25A4. Interacts with ARL2BP. {ECO:0000269|PubMed:11809823}.
ENSMUSG00000026743	O54826	SUBUNIT: Self-associates. Interacts with FSTL3; the interaction enhances MLLT10 in vitro transcriptional activity and self-association. Interacts with YEATS4. Interacts with SS18. Interacts with DOT1L (By similarity). {ECO:0000250}.
ENSMUSG00000024527	Q8JZQ2	SUBUNIT: Homooligomer. Interacts with SPG7; the interaction is required for the efficient assembly of mitochondrial complex I (By similarity). {ECO:0000250}.
ENSMUSG00000013584	Q62148	SUBUNIT: Homotetramer. {ECO:0000250}.
ENSMUSG00000053644	Q9DBF1	SUBUNIT: Homotetramer. {ECO:0000250|UniProtKB:P83402}.
ENSMUSG00000023571	Q8R2Z0	SUBUNIT: Homomultimer; disulfide-linked (PubMed:22942287). Adipolin fCTRP12: homotrimer; disulfide-linked (PubMed:22942287). Adipolin gCTRP12: homodimer; disulfide-linked (PubMed:22942287). May interact with FAM132B. {ECO:0000269|PubMed:22942287}.
ENSMUSG00000001864	Q9EQX4	SUBUNIT: Homodimer (Potential). Monomer (By similarity). {ECO:0000250, ECO:0000305}.
ENSMUSG00000019102	P47739	SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:P30838}.
ENSMUSG00000060063	P30355	SUBUNIT: Homotrimer. Interacts with LTC4S and ALOX5. {ECO:0000269|PubMed:19075240}.
ENSMUSG00000030695	P05064	SUBUNIT: Homotetramer. Interacts with SNX9 and WAS. Interacts with FBP2; the interaction blocks FBP2 inhibition by physiological concentrations of AMP and reduces inhibition by Ca(2+) (By similarity). {ECO:0000250}.
ENSMUSG00000027889	Q9DBT5	SUBUNIT: Homotetramer. {ECO:0000250}.
ENSMUSG00000028024	P16406	SUBUNIT: Homodimer; disulfide-linked.
ENSMUSG00000006457	O88990	SUBUNIT: Homodimer; antiparallel. Also forms heterodimers with ACTN2. Interacts with MYOZ1 (By similarity). {ECO:0000250}.
ENSMUSG00000053279	P24549	SUBUNIT: Homodimer.
ENSMUSG00000028307	Q91Y97	SUBUNIT: Homotetramer. Interacts with BBS1, BBS2, BBS4 and BBS7. {ECO:0000250}.
ENSMUSG00000017390	P05063	SUBUNIT: Homotetramer. Interacts with ATP6V1E1 (By similarity). {ECO:0000250}.
ENSMUSG00000070385	Q3V1D3	SUBUNIT: Homotetramer. {ECO:0000250}.
ENSMUSG00000039062	P97449	SUBUNIT: Homodimer.
ENSMUSG00000022309	O08538	SUBUNIT: Homooligomer. Interacts with TEK/TIE2 (By similarity). {ECO:0000250}.
ENSMUSG00000054452	P63002	SUBUNIT: Homooligomer and heterooligomer with other family members. Binds TCF7 and the NF-kappa-B subunit RELA. Interacts with PHF12 (By similarity). Interacts (via Q domain) with SIX3. Interacts with SIX6. {ECO:0000250, ECO:0000269|PubMed:11266540, ECO:0000269|PubMed:12050133, ECO:0000269|PubMed:9783587}.
ENSMUSG00000089678	Q3UEG6	SUBUNIT: Homotetramer. {ECO:0000250}.
ENSMUSG00000024397	O70200	SUBUNIT: Homodimer (Potential). Monomer. Interacts with LCP1. {ECO:0000269|PubMed:14756805, ECO:0000269|PubMed:17011575, ECO:0000305}.
ENSMUSG00000036932	Q9Z0X1	SUBUNIT: Monomer (oxidized form). Homodimer (reduced form). Interacts with XIAP/BIRC4. Interacts (via N-terminus) with EIF3G (via C-terminus). Interacts with PRELID1 (By similarity). {ECO:0000250}.
ENSMUSG00000024747	O35945	SUBUNIT: Homotetramer. {ECO:0000250|UniProtKB:P13601}.
ENSMUSG00000028737	Q8CHT0	SUBUNIT: Homodimer. {ECO:0000269|PubMed:22516612}.
ENSMUSG00000022546	Q8QZR5	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000031700	Q8BGT5	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000029455	P47738	SUBUNIT: Homotetramer. {ECO:0000250}.
ENSMUSG00000036602	Q8C8B0	SUBUNIT: Binds DNA as a homodimer; required for transcriptional activation (By similarity). Interacts (via homeobox domain) with EP300; acetylates ALX1 and stimulates its transcriptional activity (PubMed:12929931). {ECO:0000250|UniProtKB:Q63087, ECO:0000269|PubMed:12929931}.
ENSMUSG00000050947	Q80ZD8	SUBUNIT: Homodimer, and heterodimer with AMIGO2 and AMIGO3 (PubMed:21983541). Interacts with KCNB1 (PubMed:22056818). {ECO:0000269|PubMed:21983541, ECO:0000269|PubMed:22056818}.
ENSMUSG00000052429	Q9JIF0	SUBUNIT: Homodimer and heterodimer with PRMT8. Individual homodimers can associate to form a homohexamer. Interacts with BTG1, BTG2 and IFNAR1. Interacts with ILF3 and SUPT5H. Interacts with and methylates FOXO1, leading to the nuclear retention of FOXO1 and the stimulation of FOXO1 transcriptional activity. Methylation of FOXO1 is increased upon oxidative stress (By similarity). Interacts with NFATC2IP. Interacts with and methylates CHTOP, thereby enabling the interaction of CHTOP with the 5FMC complex. Interacts with and probably methylates ATXN2L (By similarity). Component of the methylosome, a 20S complex containing at least CLNS1A/pICln, PRMT5/SKB1, WDR77/MEP50, PRMT1 and ERH (By similarity). {ECO:0000250|UniProtKB:Q99873, ECO:0000269|PubMed:15327772, ECO:0000269|PubMed:19858291, ECO:0000269|PubMed:22872859}.
ENSMUSG00000015702	Q9JHQ0	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000025037	Q64133	SUBUNIT: Monomer, homo- or heterodimer (containing two subunits of similar size). Each subunit contains a covalently bound flavin. Enzymatically active as monomer (By similarity). {ECO:0000250}.
ENSMUSG00000042477	Q6VUP9	SUBUNIT: Binds DNA as a dimer. Can form homodimers or heterodimers with other AP-2 family members (By similarity). {ECO:0000250}.
ENSMUSG00000045875	P97718	SUBUNIT: Homo- and heterooligomer. Heterooligomerizes with ADRA1B homooligomers in cardiac myocytes. {ECO:0000250}.
ENSMUSG00000055301	Q64437	SUBUNIT: Homodimer.
ENSMUSG00000028138	P28474	SUBUNIT: Homodimer.
ENSMUSG00000016319	P51881	SUBUNIT: Homodimer. Component of the MMXD complex, which includes CIAO1, ERCC2, FAM96B, MMS19 and SLC25A5 (By similarity). {ECO:0000250}.
ENSMUSG00000056492	G5E8Q8	SUBUNIT: Homodimer; disulfide-linked. Heterodimer of 2 chains generated by proteolytic processing; the large extracellular N-terminal fragment and the membrane-bound C-terminal fragment predominantly remain associated and non-covalently linked. Fragment generates by the processing enzyme furin remains attached to the extracellular N-terminal fragment. Interacts (via N-terminal extracellular domain) with SFTPD (PubMed:23922714). {ECO:0000250|UniProtKB:Q9WVT0, ECO:0000269|PubMed:23922714}.
ENSMUSG00000037860	Q91VJ1	SUBUNIT: Self-associates; forms homooligomers in response to cytosolic dsDNA and the dsDNA seems to serve as oligomerization platform. Component of the AIM2 inflammasome complex. Interacts with PYCARD. Interacts with IFI16 (By similarity). Interacts with EIF2AK2/PKR (By similarity). {ECO:0000250}.
ENSMUSG00000000731	Q9Z0E3	SUBUNIT: Homodimer and homotetramer. Interacts with CREBBP. Interacts preferentially with histone H3 that is not methylated at 'Lys-4'. Binds with lower affinity to histone H3 that is monomethylated at 'Lys-4'. Trimethylation of histone H3 at 'Lys-4' or phosphorylation at 'Thr-3' abolish the interaction. Binds with lower affinity to histone H3 that is acetylated at 'Lys-4', or that is acetylated at 'Lys-9' or trimethylated at 'Lys-9'. Binds histone H3 that is dimethylated at 'Arg-2' with very low affinity (By similarity). {ECO:0000250}.
ENSMUSG00000040888	P56213	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000047894	Q64438	SUBUNIT: Homodimer. {ECO:0000269|PubMed:23170778}.
ENSMUSG00000025927	Q61313	SUBUNIT: Binds DNA as a dimer. Can form homodimers or heterodimers with other AP-2 family members. Interacts with CITED4. Interacts with UBE2I. Interacts with KCTD1; this interaction represses transcription activation. Interacts with CITED2 (via C-terminus); the interaction stimulates TFAP2B-transcriptional activity (By similarity). {ECO:0000250}.
ENSMUSG00000029466	Q9WVM3	SUBUNIT: V-shaped homodimer. The mammalian APC/C is composed of 14 distinct subunits that assemble into a complex of at least 19 chains with a combined molecular mass of around 1.2 MDa. {ECO:0000250|UniProtKB:Q9UJX3}.
ENSMUSG00000035561	Q9CZS1	SUBUNIT: Homotetramer. {ECO:0000250}.
ENSMUSG00000046532	P19091	SUBUNIT: Binds DNA as a homodimer. Part of a ternary complex containing AR, EFCAB6/DJBP and PARK7. Interacts with HIPK3 and NR0B2 in the presence of androgen. The ligand binding domain interacts with KAT7/HBO1 in the presence of dihydrotestosterone. Interacts with EFCAB6/DJBP, PELP1, PQBP1, RANBP9, SPDEF, SRA1, TGFB1I1, ZNF318 and RREB1. The AR N-terminal poly-Gln region binds Ran resulting in enhancement of AR-mediated transactivation. Ran-binding decreases as the poly-Gln length increases. Interacts with ZMIZ1/ZIMP10 and ZMIZ2/ZMIP7 which both enhance its transactivation activity. Interacts with RBAK. Interacts via the ligand-binding domain with LXXLL and FXXLF motifs from NCOA1, NCOA2, NCOA3, NCOA4 and MAGEA11. Interacts with HIP1 (via coiled coil domain). Interacts with SLC30A9 and RAD54L2/ARIP4. Interacts with MACROD1. Interacts (via ligand-binding domain) with TRIM68. Interacts with TNK2. Interacts with USP26. Interacts with RNF6. Interacts (regulated by RNF6 probably through polyubiquitination) with RNF14; regulates AR transcriptional activity. Interacts with PRMT2 and TRIM24. Interacts with RACK1. Interacts with RANBP10; this interaction enhances hormone-induced AR transcriptional activity. Interacts with PRPF6 in a hormone-independent way; this interaction enhances hormone-induced AR transcriptional activity. Interacts with STK4/MST1. Interacts with ZIPK/DAPK3. Interacts with LPXN. Interacts with MAK. Part of a complex containing AR, MAK and NCOA3. Interacts with CRY1. Interacts with CCAR1 and GATA2 (By similarity). {ECO:0000250|UniProtKB:P10275, ECO:0000269|PubMed:12058073, ECO:0000269|PubMed:15199138, ECO:0000269|PubMed:15882980, ECO:0000269|PubMed:15988012, ECO:0000269|PubMed:17911242, ECO:0000269|PubMed:22170608}.
ENSMUSG00000002289	Q9Z1P8	SUBUNIT: Homooligomer. The homooligomer undergoes proteolytic processing to release its carboxyl fibrinogen-like domain, which circulates as a monomer (By similarity). The homooligomer unprocessed form is able to interact with the extracellular matrix, this interaction is found to be heparin/heparan sulfate proteoglycan dependent (in competition and direct binding assays). {ECO:0000250}.
ENSMUSG00000040147	Q8BW75	SUBUNIT: Monomer, homo- or heterodimer (containing two subunits of similar size). Each subunit contains a covalently bound flavin. Enzymatically active as monomer (By similarity). {ECO:0000250}.
ENSMUSG00000028640	Q61312	SUBUNIT: Binds DNA as a dimer. Can form homodimers or heterodimers with other AP-2 family members. Interacts with WWOX. Interacts with UBE2I (By similarity). Interacts with CITED4. Interacts with KCTD1; this interaction represses transcription activation. Interacts with CITED2 (via C-terminus); the interaction stimulates TFAP2B-transcriptional activity. Interacts with MTA1 (By similarity). {ECO:0000250}.
ENSMUSG00000071847	Q3U128	SUBUNIT: Homodimer. Interacts with LRP5 and WNT3A (By similarity). {ECO:0000250}.
ENSMUSG00000032590	Q8R146	SUBUNIT: Homotetramer. {ECO:0000250}.
ENSMUSG00000042759	Q8VBT6	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000055471	P97793	SUBUNIT: Homodimer. Homodimerizes when bound to ligand (By similarity). Interacts with CBL, IRS1, PIK3R1, PLCG1 and SHC1. Interacts with FRS2, PTN and MDK. {ECO:0000250, ECO:0000269|PubMed:15226403, ECO:0000269|PubMed:16878150}.
ENSMUSG00000060098	Q922X9	SUBUNIT: Homodimer and heterodimer. Interacts with PRMT5 and SNRPD3 (By similarity). Interacts with CTCFL. {ECO:0000250, ECO:0000269|PubMed:17048991}.
ENSMUSG00000030350	Q6PAK3	SUBUNIT: Homodimers and heterodimers with PRMT1 or PRMT2, recruiting PRMT1 to the cell membrane. Interacts with PRMT2 and FYN (via the SH3 domain). Interacts with EWS; independently of EWS methylation status (By similarity). {ECO:0000250}.
ENSMUSG00000022206	P70180	SUBUNIT: Homodimer; disulfide-linked. {ECO:0000250}.
ENSMUSG00000006589	P08030	SUBUNIT: Homodimer.
