Ensembl Gene ID	UniProt Gene Name
ENSMUSG00000090946	
ENSMUSG00000016552	Q3USW5
ENSMUSG00000101708	
ENSMUSG00000105675	
ENSMUSG00000083307	
ENSMUSG00000076840	
ENSMUSG00000050966	Q8K3Y3
ENSMUSG00000020799	Q5NBU4
ENSMUSG00000020799	Q9DAJ2
ENSMUSG00000092173	
ENSMUSG00000030630	P35505
ENSMUSG00000051379	Q8BGT1
ENSMUSG00000058656	Q0VE29
ENSMUSG00000086837	
ENSMUSG00000105600	
ENSMUSG00000021466	Q5R1U4
ENSMUSG00000021466	Q61115
ENSMUSG00000105108	
ENSMUSG00000045746	
ENSMUSG00000097797	
ENSMUSG00000104877	
ENSMUSG00000060879	
ENSMUSG00000019936	P70186
ENSMUSG00000057443	Q7TRI7
ENSMUSG00000087525	
ENSMUSG00000081827	
ENSMUSG00000054822	
ENSMUSG00000103609	
ENSMUSG00000080142	
ENSMUSG00000084397	
ENSMUSG00000002058	Q3V299
ENSMUSG00000002058	Q9Z2R6
ENSMUSG00000106181	
ENSMUSG00000102073	
ENSMUSG00000071708	P97355
ENSMUSG00000096399	
ENSMUSG00000019796	Q8CB67
ENSMUSG00000052395	Q8C3B8
ENSMUSG00000105076	
ENSMUSG00000104249	
ENSMUSG00000102722	
ENSMUSG00000054958	A3KFX0
ENSMUSG00000108745	
ENSMUSG00000057654	
ENSMUSG00000082840	
ENSMUSG00000092433	
ENSMUSG00000033788	Q9ESD7
ENSMUSG00000089993	
ENSMUSG00000082980	
ENSMUSG00000106192	
ENSMUSG00000104191	
ENSMUSG00000105275	
ENSMUSG00000106669	
ENSMUSG00000084142	
ENSMUSG00000024905	Q9D571
ENSMUSG00000024905	Q9WTJ6
ENSMUSG00000074415	
ENSMUSG00000108808	
ENSMUSG00000083610	
ENSMUSG00000102010	
ENSMUSG00000108333	
ENSMUSG00000030093	P24383
ENSMUSG00000101149	
ENSMUSG00000108486	
ENSMUSG00000081731	
ENSMUSG00000001566	A2RSX2
ENSMUSG00000001566	Q9QZW9
ENSMUSG00000108471	
ENSMUSG00000028420	Q9DAV9
ENSMUSG00000095984	
ENSMUSG00000078949	A2A5I3
ENSMUSG00000100008	
ENSMUSG00000108445	
ENSMUSG00000093813	
ENSMUSG00000084789	
ENSMUSG00000101515	
ENSMUSG00000044141	
ENSMUSG00000089829	
ENSMUSG00000063065	Q63844
ENSMUSG00000106379	
ENSMUSG00000033781	Q8VBX0
ENSMUSG00000034575	Q6PB75
ENSMUSG00000044556	D2D552
ENSMUSG00000044556	A2A8T7
ENSMUSG00000096137	
ENSMUSG00000051910	Q8BSS6
ENSMUSG00000051910	Q3V1J7
ENSMUSG00000051910	P40645
ENSMUSG00000102546	
ENSMUSG00000096612	
ENSMUSG00000106661	
ENSMUSG00000001120	P57722
ENSMUSG00000100058	A0A087WPA9
ENSMUSG00000105573	
ENSMUSG00000086138	
ENSMUSG00000099559	
ENSMUSG00000039219	A2CG63
ENSMUSG00000072584	Q3UT34
ENSMUSG00000099637	
ENSMUSG00000104181	
ENSMUSG00000061950	
ENSMUSG00000087010	
ENSMUSG00000030806	P61264
ENSMUSG00000085626	
ENSMUSG00000101244	
ENSMUSG00000002812	Q9JJ28
ENSMUSG00000056216	Q54AJ1
ENSMUSG00000056216	P53568
ENSMUSG00000039307	Q3U4H6
ENSMUSG00000102666	
ENSMUSG00000040455	Q8K387
ENSMUSG00000028713	Q3TNA0
ENSMUSG00000028713	Q64462
ENSMUSG00000089983	
ENSMUSG00000092035	
ENSMUSG00000099698	
ENSMUSG00000018481	Q9DAX9
ENSMUSG00000031200	Q60945
ENSMUSG00000034872	Q8R5M0
ENSMUSG00000020235	Q3U3D4
ENSMUSG00000020235	Q9R1K5
ENSMUSG00000034586	Q3UU20
ENSMUSG00000034586	Q8R1F6
ENSMUSG00000031209	Q9Z0Z4
ENSMUSG00000062345	Q542A3
ENSMUSG00000062345	P12388
ENSMUSG00000090457	
ENSMUSG00000027222	Q91XC9
ENSMUSG00000039037	Q6GTI0
ENSMUSG00000075166	
ENSMUSG00000108424	
ENSMUSG00000025728	Q3TF56
ENSMUSG00000025728	Q3TD14
ENSMUSG00000025728	Q9QYT7
ENSMUSG00000103379	
ENSMUSG00000103768	
ENSMUSG00000033770	Q9WUB7
ENSMUSG00000072598	Q5GAN0
ENSMUSG00000048747	A2AK51
ENSMUSG00000030849	
ENSMUSG00000030108	P31649
ENSMUSG00000092300	
ENSMUSG00000092021	A9YVJ5
ENSMUSG00000039194	Q544Y3
ENSMUSG00000039194	Q9Z275
ENSMUSG00000103798	
ENSMUSG00000105508	
ENSMUSG00000057207	Q7TR89
ENSMUSG00000104798	
ENSMUSG00000020180	P62320
ENSMUSG00000079626	
ENSMUSG00000099008	
ENSMUSG00000026409	B2Z893
ENSMUSG00000026409	Q6GTL7
ENSMUSG00000026409	B2Z894
ENSMUSG00000026409	B2Z892
ENSMUSG00000026409	B2Z891
ENSMUSG00000102154	
ENSMUSG00000095341	Q3UTE2
ENSMUSG00000096615	
ENSMUSG00000101146	
ENSMUSG00000070820	Q8VGB1
ENSMUSG00000023805	Q9D2G5
ENSMUSG00000086000	
ENSMUSG00000014226	Q9CXW3
ENSMUSG00000064137	Q6VSS7
ENSMUSG00000103158	
ENSMUSG00000086556	
ENSMUSG00000033031	Q8BWY9
ENSMUSG00000011008	Q8K595
ENSMUSG00000020340	Q5SQX6
ENSMUSG00000101684	
ENSMUSG00000019647	O35464
ENSMUSG00000096904	A6NAU3
ENSMUSG00000084299	
ENSMUSG00000086586	
ENSMUSG00000025081	Q99MV1
ENSMUSG00000107957	
ENSMUSG00000039908	Q80ZD3
ENSMUSG00000076646	
ENSMUSG00000042228	Q3U6Q5
ENSMUSG00000042228	Q3TCS3
ENSMUSG00000042228	P25911
ENSMUSG00000075598	
ENSMUSG00000104766	
ENSMUSG00000108174	
ENSMUSG00000083342	
ENSMUSG00000104366	
ENSMUSG00000051502	Q9CZP0
ENSMUSG00000094436	
ENSMUSG00000100408	
ENSMUSG00000025163	Q3U4A8
ENSMUSG00000025163	P50283
ENSMUSG00000099056	
ENSMUSG00000087500	
ENSMUSG00000090017	
ENSMUSG00000081735	
ENSMUSG00000027263	Q543T6
ENSMUSG00000027263	Q8BYN2
ENSMUSG00000027263	Q8BKL6
ENSMUSG00000027263	Q9D4F8
ENSMUSG00000086835	
ENSMUSG00000095574	
ENSMUSG00000085918	
ENSMUSG00000043059	Q6PD29
ENSMUSG00000024871	
ENSMUSG00000100401	
ENSMUSG00000030083	
ENSMUSG00000099087	
ENSMUSG00000084345	
ENSMUSG00000082188	
ENSMUSG00000040289	Q9QUM5
ENSMUSG00000085679	
ENSMUSG00000056592	Q5PPQ4
ENSMUSG00000039678	Q3TZ63
ENSMUSG00000039678	Q8R3D1
ENSMUSG00000039050	Q8BX94
ENSMUSG00000103643	
ENSMUSG00000103539	
ENSMUSG00000031557	Q9ERS5
ENSMUSG00000103441	
ENSMUSG00000081917	
ENSMUSG00000107848	
ENSMUSG00000108392	
ENSMUSG00000051391	A8IP69
ENSMUSG00000051391	P61982
ENSMUSG00000095408	
ENSMUSG00000024773	Q6P4T0
ENSMUSG00000100158	
ENSMUSG00000042631	Q5GH64
ENSMUSG00000099522	
ENSMUSG00000003068	Q9WTK7
ENSMUSG00000102520	
ENSMUSG00000084822	
ENSMUSG00000052331	B2RXR6
ENSMUSG00000053613	
ENSMUSG00000107739	
ENSMUSG00000081579	
ENSMUSG00000078942	Q9JIB6
ENSMUSG00000001750	Q9JHF5
ENSMUSG00000087652	
ENSMUSG00000021796	Q53Z43
ENSMUSG00000021796	Q60607
ENSMUSG00000021796	P36895
ENSMUSG00000104368	
ENSMUSG00000030994	Q9D4E0
ENSMUSG00000030994	D2J0Y4
ENSMUSG00000076870	
ENSMUSG00000074575	B2RVK9
ENSMUSG00000074575	A2BDX4
ENSMUSG00000010277	Q5SYL3
ENSMUSG00000045932	Q6GTM0
ENSMUSG00000098360	
ENSMUSG00000026883	Q3UHC7
ENSMUSG00000076467	
ENSMUSG00000098227	
ENSMUSG00000098950	
ENSMUSG00000085628	
ENSMUSG00000082969	
ENSMUSG00000072235	P68369
ENSMUSG00000044813	Q6PD21
ENSMUSG00000042510	Q8BI29
ENSMUSG00000026988	Q9D0I6
ENSMUSG00000042323	Q8BSQ9
ENSMUSG00000068259	Q8VF30
ENSMUSG00000030823	G3X941
ENSMUSG00000032295	Q3ZCX9
ENSMUSG00000032295	Q91W89
ENSMUSG00000105272	
ENSMUSG00000108771	
ENSMUSG00000021792	Q3U125
ENSMUSG00000021792	Q9CYH2
ENSMUSG00000108514	
ENSMUSG00000106678	
ENSMUSG00000062352	Q3UGH2
ENSMUSG00000062352	O35671
ENSMUSG00000025329	Q544I4
ENSMUSG00000025329	Q9Z185
ENSMUSG00000028919	Q8BWA8
ENSMUSG00000023104	Q4KL82
ENSMUSG00000023104	Q9WUK4
ENSMUSG00000092329	Q6PB93
ENSMUSG00000020741	
ENSMUSG00000064329	
ENSMUSG00000062794	
ENSMUSG00000101437	
ENSMUSG00000086783	
ENSMUSG00000106321	
ENSMUSG00000038304	O88875
ENSMUSG00000094358	
ENSMUSG00000025104	Q9JMG7
ENSMUSG00000095130	
ENSMUSG00000108007	
ENSMUSG00000103392	
ENSMUSG00000064202	B7ZWC9
ENSMUSG00000064202	B7ZWD0
ENSMUSG00000064202	B2RV46
ENSMUSG00000037143	B7ZCD7
ENSMUSG00000037143	B7ZCD6
ENSMUSG00000037143	B7ZCD4
ENSMUSG00000037143	Q6ZWM9
ENSMUSG00000037143	Q80ZP9
ENSMUSG00000082178	
ENSMUSG00000102325	
ENSMUSG00000082844	
ENSMUSG00000106527	
ENSMUSG00000025821	
ENSMUSG00000070871	
ENSMUSG00000080824	
ENSMUSG00000097539	
ENSMUSG00000084808	
ENSMUSG00000066368	Q9D5V1
ENSMUSG00000106019	
ENSMUSG00000083268	
ENSMUSG00000106506	
ENSMUSG00000024170	Q9DC40
ENSMUSG00000095651	
ENSMUSG00000019836	
ENSMUSG00000082080	
ENSMUSG00000026470	Q9JKK1
ENSMUSG00000083943	
ENSMUSG00000081050	
ENSMUSG00000090476	
ENSMUSG00000004105	Q9R045
ENSMUSG00000081244	
ENSMUSG00000086154	
ENSMUSG00000074500	Q9D4E2
ENSMUSG00000103613	
ENSMUSG00000026839	Q3UEN1
ENSMUSG00000026839	Q8R093
ENSMUSG00000026839	Q8CGR7
ENSMUSG00000096644	O89006
ENSMUSG00000027649	Q9CWL8
ENSMUSG00000082078	
ENSMUSG00000081887	
ENSMUSG00000061825	Q91WG0
ENSMUSG00000087308	
ENSMUSG00000107145	
ENSMUSG00000084992	
ENSMUSG00000030474	Q91Y57
ENSMUSG00000003282	Q9QYE0
ENSMUSG00000005994	Q3UFS3
ENSMUSG00000005994	A2ADJ4
ENSMUSG00000005994	A2ADJ6
ENSMUSG00000005994	P07147
ENSMUSG00000086890	
ENSMUSG00000028433	Q91VX2
ENSMUSG00000101401	A0A087WQJ0
ENSMUSG00000060923	P56375
ENSMUSG00000049134	Q80XB4
ENSMUSG00000108753	
ENSMUSG00000093758	
ENSMUSG00000091133	
ENSMUSG00000098060	
ENSMUSG00000004451	Q9JIW9
ENSMUSG00000093437	
ENSMUSG00000033416	Q05CJ4
ENSMUSG00000033416	Q8BZI6
ENSMUSG00000092176	
ENSMUSG00000049969	Q91WB4
ENSMUSG00000018973	P17919
ENSMUSG00000081712	
ENSMUSG00000059873	
ENSMUSG00000080791	
ENSMUSG00000108515	
ENSMUSG00000038379	Q3TPW2
ENSMUSG00000025873	Q3TDN2
ENSMUSG00000013150	Q9CYH5
ENSMUSG00000024182	Q14DJ8
ENSMUSG00000047098	Q924T7
ENSMUSG00000021983	P98200
ENSMUSG00000034928	
ENSMUSG00000017950	Z4YKX0
ENSMUSG00000017950	P49698
ENSMUSG00000030861	Q9DBL1
ENSMUSG00000048039	
ENSMUSG00000020758	A2A863
ENSMUSG00000038696	Q8BKH7
ENSMUSG00000050150	G5E8I2
ENSMUSG00000079415	Q544D1
ENSMUSG00000079415	P51642
ENSMUSG00000099491	
ENSMUSG00000096749	
ENSMUSG00000044667	Q7TME0
ENSMUSG00000024681	Q53ZU3
ENSMUSG00000024681	Q920C4
ENSMUSG00000029213	Q4QQP1
ENSMUSG00000029213	Q9CZG3
ENSMUSG00000100346	
ENSMUSG00000075168	Q8VG37
ENSMUSG00000096467	J3QM75
ENSMUSG00000099599	
ENSMUSG00000108181	
ENSMUSG00000059877	
ENSMUSG00000032265	D3Z5S8
ENSMUSG00000054759	
ENSMUSG00000033624	Q7TSQ8
ENSMUSG00000096580	
ENSMUSG00000106930	
ENSMUSG00000091657	
ENSMUSG00000037965	
ENSMUSG00000027908	Q9D3P1
ENSMUSG00000081881	
ENSMUSG00000039086	Q8BW22
ENSMUSG00000103044	
ENSMUSG00000040113	B2RXM4
ENSMUSG00000096397	
ENSMUSG00000037610	B5BNW2
ENSMUSG00000037610	Q9CZM9
ENSMUSG00000020708	Q8K1K2
ENSMUSG00000020708	P62196
ENSMUSG00000104658	
ENSMUSG00000079278	
ENSMUSG00000107471	
ENSMUSG00000081676	
ENSMUSG00000026969	Q9D4K5
ENSMUSG00000105923	
ENSMUSG00000019577	Q544J2
ENSMUSG00000019577	O70571
ENSMUSG00000034902	O70161
ENSMUSG00000092343	
ENSMUSG00000011118	Q6IMP0
ENSMUSG00000011118	Q8CEG0
ENSMUSG00000055937	A6BLY7
ENSMUSG00000020083	
ENSMUSG00000058267	Q9CR88
ENSMUSG00000085710	
ENSMUSG00000098429	
ENSMUSG00000080871	
ENSMUSG00000027015	Q925G2
ENSMUSG00000017922	Q0VBM3
ENSMUSG00000017922	Z4YL38
ENSMUSG00000017922	Q9QUN5
ENSMUSG00000022964	Q9D1X9
ENSMUSG00000027531	Q924B0
ENSMUSG00000027531	Q80ZJ2
ENSMUSG00000099909	Q8VG73
ENSMUSG00000102991	
ENSMUSG00000027863	Q549Q4
ENSMUSG00000027863	P08920
ENSMUSG00000047246	Q6ZWY9
ENSMUSG00000036611	Q3TGW2
ENSMUSG00000024667	Q9CQC4
ENSMUSG00000028750	A2APR1
ENSMUSG00000086053	
ENSMUSG00000080741	
ENSMUSG00000040774	Q8BGS7
ENSMUSG00000100969	
ENSMUSG00000099756	
ENSMUSG00000102184	
ENSMUSG00000085909	
ENSMUSG00000000804	
ENSMUSG00000092628	
ENSMUSG00000093610	
ENSMUSG00000041777	Q9DA19
ENSMUSG00000036752	P68372
ENSMUSG00000099502	
ENSMUSG00000105820	
ENSMUSG00000026811	Q9JM95
ENSMUSG00000084071	
ENSMUSG00000087333	
ENSMUSG00000026675	Q8C5N9
ENSMUSG00000026675	O88736
ENSMUSG00000061520	Q7TR48
ENSMUSG00000044923	A0PK66
ENSMUSG00000044923	Q8VFL5
ENSMUSG00000028463	Q3UUZ9
ENSMUSG00000028463	Q8VHB5
ENSMUSG00000003038	Q5XK38
ENSMUSG00000003038	Q5BL14
ENSMUSG00000003038	B7ZCQ3
ENSMUSG00000003038	P09602
ENSMUSG00000083109	
ENSMUSG00000096900	
ENSMUSG00000068205	Q05C81
ENSMUSG00000068205	Q9D117
ENSMUSG00000068205	Q3UYG8
ENSMUSG00000034424	Q91WK5
ENSMUSG00000091146	
ENSMUSG00000078129	A2AKE7
ENSMUSG00000081855	
ENSMUSG00000026819	A2ASZ8
ENSMUSG00000097500	
ENSMUSG00000075587	
ENSMUSG00000106836	
ENSMUSG00000009900	P27467
ENSMUSG00000084791	
ENSMUSG00000084932	
ENSMUSG00000108178	
ENSMUSG00000097237	
ENSMUSG00000097948	
ENSMUSG00000036622	Q9CTG6
ENSMUSG00000026241	Q544K5
ENSMUSG00000026241	Q61839
ENSMUSG00000070323	
ENSMUSG00000030763	A2RTH5
ENSMUSG00000095788	Q6F5F2
ENSMUSG00000041552	Q14B62
ENSMUSG00000009093	Q9D4P7
ENSMUSG00000043267	Q7TR87
ENSMUSG00000094941	
ENSMUSG00000027472	Q3UKN2
ENSMUSG00000027472	P59048
ENSMUSG00000045532	O88992
ENSMUSG00000029221	Q5IRJ6
ENSMUSG00000082453	
ENSMUSG00000034254	
ENSMUSG00000083723	
ENSMUSG00000005952	Q704Y3
ENSMUSG00000032258	G5E886
ENSMUSG00000032258	G5E887
ENSMUSG00000091686	
ENSMUSG00000091987	B2RWR6
ENSMUSG00000040940	Q61210
ENSMUSG00000025754	
ENSMUSG00000108650	
ENSMUSG00000092229	
ENSMUSG00000086761	
ENSMUSG00000107854	
ENSMUSG00000086612	
ENSMUSG00000027984	Q61425
ENSMUSG00000083673	
ENSMUSG00000092373	
ENSMUSG00000107479	
ENSMUSG00000101297	
ENSMUSG00000081372	
ENSMUSG00000080792	
ENSMUSG00000035523	Q9EPS4
ENSMUSG00000040502	Q3TZ87
ENSMUSG00000092533	
ENSMUSG00000102310	
ENSMUSG00000026648	Q32MX8
ENSMUSG00000026648	Q8K4J0
ENSMUSG00000085456	
ENSMUSG00000067158	Q9QZR9
ENSMUSG00000036864	Q7TSA6
ENSMUSG00000030671	
ENSMUSG00000025964	Q9R1V7
ENSMUSG00000057696	
ENSMUSG00000056856	
ENSMUSG00000039047	Q8BXX3
ENSMUSG00000039047	Q8BL63
ENSMUSG00000039047	Q9CXY9
ENSMUSG00000024209	Q08EE8
ENSMUSG00000085221	
ENSMUSG00000083373	
ENSMUSG00000030235	Q66L38
ENSMUSG00000030235	Q9ERB5
ENSMUSG00000096149	
ENSMUSG00000030452	Q9JJC8
ENSMUSG00000089917	Q91YL3
ENSMUSG00000106932	
ENSMUSG00000085405	
ENSMUSG00000085322	
ENSMUSG00000058402	Q7TMN8
ENSMUSG00000039318	
ENSMUSG00000081866	
ENSMUSG00000043909	
ENSMUSG00000038679	Q8BZ62
ENSMUSG00000038679	Q80V18
ENSMUSG00000038679	G3UW90
ENSMUSG00000042796	
ENSMUSG00000000861	Q9QYE3
ENSMUSG00000090341	
ENSMUSG00000037129	
ENSMUSG00000085524	
ENSMUSG00000015133	Q3UHC2
ENSMUSG00000019790	Q8K400
ENSMUSG00000080198	
ENSMUSG00000022679	Q99MS3
ENSMUSG00000086872	
ENSMUSG00000074289	
ENSMUSG00000021198	E5CYJ9
ENSMUSG00000021198	Q0KK59
ENSMUSG00000022957	Q6NZJ5
ENSMUSG00000022957	Q6J1S9
ENSMUSG00000022957	Q9Z0R4
ENSMUSG00000090744	
ENSMUSG00000107470	
ENSMUSG00000048628	
ENSMUSG00000082239	
ENSMUSG00000085515	
ENSMUSG00000096899	
ENSMUSG00000057176	Q6NZQ0
ENSMUSG00000086717	
ENSMUSG00000086174	
ENSMUSG00000069132	Q3KP70
ENSMUSG00000069132	Q61199
ENSMUSG00000079349	O89009
ENSMUSG00000045464	
ENSMUSG00000096213	
ENSMUSG00000098471	
ENSMUSG00000075205	Q7TR84
ENSMUSG00000020155	Q5SQK1
ENSMUSG00000108482	
ENSMUSG00000083971	
ENSMUSG00000095309	
ENSMUSG00000040797	Q3TES0
ENSMUSG00000081476	
ENSMUSG00000085240	
ENSMUSG00000100821	
ENSMUSG00000029992	P47856
ENSMUSG00000061878	Q8CI15
ENSMUSG00000055435	P54843
ENSMUSG00000085684	
ENSMUSG00000070875	Q8VFM1
ENSMUSG00000096813	
ENSMUSG00000075156	Q7TR47
ENSMUSG00000102330	
ENSMUSG00000060703	Q9DCG2
ENSMUSG00000083438	
ENSMUSG00000080949	
ENSMUSG00000071172	Q3U781
ENSMUSG00000071172	P84104
ENSMUSG00000027490	Q547J6
ENSMUSG00000027490	Q9CYB4
ENSMUSG00000027490	Q61501
ENSMUSG00000083569	
ENSMUSG00000025724	D3YTS1
ENSMUSG00000025724	D3Z569
ENSMUSG00000025724	Q9R0P6
ENSMUSG00000103864	
ENSMUSG00000103325	
ENSMUSG00000090411	
ENSMUSG00000101768	
ENSMUSG00000039246	
ENSMUSG00000092629	
ENSMUSG00000029098	Q8C178
ENSMUSG00000029098	Q3TAW3
ENSMUSG00000029098	Q9EPL9
ENSMUSG00000082460	
ENSMUSG00000095632	K7N6T9
ENSMUSG00000087314	
ENSMUSG00000075167	Q7TR59
ENSMUSG00000048721	Q8BJN4
ENSMUSG00000063694	Q56A15
ENSMUSG00000063694	P62897
ENSMUSG00000046248	
ENSMUSG00000083227	
ENSMUSG00000022300	Q6PAC3
ENSMUSG00000029727	Q3UW87
ENSMUSG00000029727	Q64464
ENSMUSG00000046862	Q8CE24
ENSMUSG00000083026	
ENSMUSG00000027650	Q91V83
ENSMUSG00000107205	
ENSMUSG00000084821	
ENSMUSG00000049897	Q80YS9
ENSMUSG00000071262	Q3UT76
ENSMUSG00000053519	Q3YAB6
ENSMUSG00000053519	Q9JJ57
ENSMUSG00000083750	
ENSMUSG00000029360	
ENSMUSG00000059631	
ENSMUSG00000105291	
ENSMUSG00000103055	
ENSMUSG00000107569	
ENSMUSG00000045514	Q8VF31
ENSMUSG00000005625	Q3ULG4
ENSMUSG00000005625	O35226
ENSMUSG00000100059	
ENSMUSG00000020722	Q4KL26
ENSMUSG00000020722	O70578
ENSMUSG00000031022	Q3UQ01
ENSMUSG00000031022	Q9JJR6
ENSMUSG00000087574	
ENSMUSG00000009828	Q9D7Q7
ENSMUSG00000009828	Q3UZZ3
ENSMUSG00000009828	Q9JKV2
ENSMUSG00000107798	
ENSMUSG00000028207	A2AL81
ENSMUSG00000028207	Q8CBM2
ENSMUSG00000028207	Q6P8S1
ENSMUSG00000028207	Q9CR06
ENSMUSG00000028207	Q3TU40
ENSMUSG00000028207	Q8BSY0
ENSMUSG00000034675	Q3TRK3
ENSMUSG00000034675	Q9QXS6
ENSMUSG00000092278	
ENSMUSG00000016626	Q6B966
ENSMUSG00000029729	Q8BGS3
ENSMUSG00000036529	Q6ZPE2
ENSMUSG00000107560	
ENSMUSG00000089700	
ENSMUSG00000030527	Q91X84
ENSMUSG00000096452	
ENSMUSG00000090159	
ENSMUSG00000103789	
ENSMUSG00000033940	Q91VR8
ENSMUSG00000085723	
ENSMUSG00000073786	
ENSMUSG00000027474	Q8VCC6
ENSMUSG00000025512	Q922Q9
ENSMUSG00000090035	O08832
ENSMUSG00000105742	
ENSMUSG00000032894	B1AX30
ENSMUSG00000049843	Q8VES2
ENSMUSG00000021499	E0Z0E0
ENSMUSG00000021499	Q80W99
ENSMUSG00000005198	P08775
ENSMUSG00000080801	
ENSMUSG00000086891	
ENSMUSG00000028339	O35206
ENSMUSG00000086254	
ENSMUSG00000068762	G5E8M7
ENSMUSG00000068762	O35660
ENSMUSG00000107937	
ENSMUSG00000054708	Q80VM7
ENSMUSG00000087082	
ENSMUSG00000019102	P47739
ENSMUSG00000046242	
ENSMUSG00000024013	Q8BY35
ENSMUSG00000081025	
ENSMUSG00000108521	
ENSMUSG00000085478	
ENSMUSG00000081553	
ENSMUSG00000034239	
ENSMUSG00000031327	A2RT09
ENSMUSG00000031327	Q8CBW7
ENSMUSG00000051451	Q91ZR3
ENSMUSG00000100176	
ENSMUSG00000023791	
ENSMUSG00000072962	
ENSMUSG00000032410	
ENSMUSG00000021711	Q3TIR1
ENSMUSG00000053801	Q810D6
ENSMUSG00000029917	G3UWA8
