Entry	Gene names	Subunit structure [CC]
Q7TNP2	Ppp2r1b	SUBUNIT: PP2A consists of a common heterodimeric core enzyme, composed of a 36 kDa catalytic subunit (subunit C) and a 65 kDa constant regulatory subunit (PR65 or subunit A), that associates with a variety of regulatory subunits. Proteins that associate with the core dimer include three families of regulatory subunits B (the R2/B/PR55/B55, R3/B''/PR72/PR130/PR59 and R5/B'/B56 families), the 48 kDa variable regulatory subunit, viral proteins, and cell signaling molecules. Interacts with IPO9 (By similarity). Interacts with SGO1 (By similarity). Interacts with RAF1 (By similarity). {ECO:0000250}.
Q6P1F6	Ppp2r2a	SUBUNIT: PP2A consists of a common heterodimeric core enzyme, composed of a 36 kDa catalytic subunit (subunit C) and a 65 kDa constant regulatory subunit (PR65 or subunit A), that associates with a variety of regulatory subunits. Proteins that associate with the core dimer include three families of regulatory subunits B (the R2/B/PR55/B55, R3/B''/PR72/PR130/PR59 and R5/B'/B56 families), the 48 kDa variable regulatory subunit, viral proteins, and cell signaling molecules. Interacts with TP53. Found in a complex with at least ARL2, PPP2CB, PPP2R1A, PPP2R2A, PPP2R5E and TBCD (By similarity). {ECO:0000250}.
Q6ZWR4	Ppp2r2b	SUBUNIT: PP2A consists of a common heterodimeric core enzyme, composed of a 36 kDa catalytic subunit (subunit C) and a 65 kDa constant regulatory subunit (PR65 or subunit A), that associates with a variety of regulatory subunits. Proteins that associate with the core dimer include three families of regulatory subunits B (the R2/B/PR55/B55, R3/B''/PR72/PR130/PR59 and R5/B'/B56 families), the 48 kDa variable regulatory subunit, viral proteins, and cell signaling molecules (By similarity). {ECO:0000250}.
P24815	Hsd3b1 Hsd3b	
P55194	Sh3bp1 3bp1	
Q06649	Sh3bp2 3bp2	
P35363	Htr2a Htr2	SUBUNIT: Interacts with MPDZ and INADL. May interact with MPP3, PRDX6, DLG4, DLG1, CASK, APBA1 and MAGI2 (By similarity). Interacts with GRM2 and DRD2; this may affect signaling. {ECO:0000250, ECO:0000269|PubMed:18297054, ECO:0000269|PubMed:21645528}.
Q9D020	Nt5c3a Nt5c3	SUBUNIT: Monomer.
Q9DCD0	Pgd	SUBUNIT: Homodimer. {ECO:0000250}.
Q571I9	Aldh16a1	SUBUNIT: Interacts with SPG21. {ECO:0000250}.
P22599	Serpina1b Aat2 Dom2 Spi1-2	
Q00897	Serpina1d Dom4 Spi1-4	
P55096	Abcd3 Pmp70 Pxmp1	SUBUNIT: Homodimer or heterodimer (Potential). Interacts with PEX19 (By similarity). {ECO:0000250, ECO:0000305}.
Q9DBM0	Abcg8	SUBUNIT: May form heterodimers with ABCG5 or be tightly coupled to ABCG5 along a pathway regulating diatery-sterol absorption and excretion. {ECO:0000250}.
Q8C1A9	Abhd18	
Q99LJ2	Abtb1 Bpoz	
Q8JZN5	Acad9	SUBUNIT: Part of the mitochondrial complex I assembly (MCIA) complex. The complex comprises at least TMEM126B, NDUFAF1, ECSIT, and ACAD9 (By similarity). Interacts with NDUFAF1 and ECSIT (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:Q9H845}.
P45952	Acadm	SUBUNIT: Homotetramer. {ECO:0000250}.
Q99J27	Slc33a1 Acatn	
Q5XG73	Acbd5	
Q9D061	Acbd6	SUBUNIT: Monomer. {ECO:0000250}.
Q99PU5	Acsbg1 Kiaa0631 Lpd	
Q2XU92	Acsbg2 Bgr	
Q5EE38	Acd	SUBUNIT: Component of the shelterin complex (telosome) composed of TERF1, TERF2, TINF2, TERF2IP ACD and POT1. Forms heterodimers with POT1. Identified in a complex with POT1 and single-stranded telomeric DNA. Interacts with STN1/OBFC1 and TINF2. {ECO:0000250|UniProtKB:Q96AP0, ECO:0000269|PubMed:19648609}.
Q8R0I0	Ace2	SUBUNIT: Interacts with ITGB1 and the catalytically active form of TMPRSS2 (By similarity). Weakly interacts with SARS-CoV S protein. {ECO:0000250, ECO:0000269|PubMed:15452268}.
P26150	Hsd3b3	
Q9EQC1	Hsd3b7	
P48193	Epb41 Epb4.1 Kiaa4056	SUBUNIT: Binds with a high affinity to glycophorin and with lower affinity to band III protein. Associates with the nuclear mitotic apparatus. Binds calmodulin and DLG1 (By similarity). {ECO:0000250}.
P28334	Htr1b 5ht1b	SUBUNIT: Homodimer. Heterodimer with HTR1D (By similarity). {ECO:0000250}.
P23979	Htr3a 5ht3 Htr3	SUBUNIT: Forms pentahomomeric complex as well as pentaheteromeric complex with HTR3B; homomeric complex is functional but exhibits low conductance with modified voltage dependence, and decreased agonist and antagonist affinity. Interacts with RIC3 (By similarity). {ECO:0000250}.
Q9JHJ5	Htr3b	SUBUNIT: Forms a pentaheteromeric complex with HTR3A. Not functional as a homomeric complex (By similarity). {ECO:0000250}.
P31387	Htr5b 5ht5b	
Q91YE9	Nt5c1b Airp	
Q61503	Nt5e Nt5 Nte	SUBUNIT: Homodimer. {ECO:0000250}.
P12961	Scg5 Sgne-1 Sgne1	SUBUNIT: Interacts with PCSK2/PC2 early in the secretory pathway. Dissociation occurs at later stages (By similarity). {ECO:0000250}.
Q19LI2	A1bg	SUBUNIT: Interacts with CRISP3. {ECO:0000250}.
Q3UD01	Atxn7l3b	
Q3UHJ0	Aak1 Kiaa1048	SUBUNIT: Interacts with alpha-adaptin, AP-2, clathrin, NUMB and EPS15 isoform 2 (By similarity). Interacts with membrane-bound activated NOTCH1 but not with the inactive full-length form of NOTCH1. Preferentially interacts with monoubiquitinated activated NOTCH1 compared to the non-ubiquitinated form. {ECO:0000250, ECO:0000269|PubMed:21464124}.
Q8K440	Abca8b Abca8 Kiaa0822	
Q8K449	Abca9	
B5X0E4	Abcb5	
Q9DC29	Abcb6	SUBUNIT: Homodimer. {ECO:0000250}.
P70170	Abcc9 Sur2	SUBUNIT: Interacts with KCNJ11.
P48410	Abcd1 Ald Aldgh	SUBUNIT: Interacts with PEX19 (By similarity). Could form a heterodimer with ABCD2/ALDR. {ECO:0000250}.
O89016	Abcd4 Pxmp1l	SUBUNIT: Homodimer or heterodimer. {ECO:0000305}.
Q6P542	Abcf1	SUBUNIT: Interacts (via N-terminus) with EIF2S1; the interaction is independent of its phosphorylated status. Associates (via both ABC transporter domains) with the ribosomes (By similarity). {ECO:0000250}.
Q99LE6	Abcf2	
Q7TMS5	Abcg2 Abcp Bcrp1	SUBUNIT: Monomer under reducing conditions, the minimal functional unit is a homodimer; disulfide-linked, but the major oligomeric form in plasma membranes is a homotetramer with possibility of higher order oligomerization up to homododecamers. {ECO:0000250}.
Q6PE15	Abhd10	
Q9Z1Q2	Abhd16a Bat5 Ng26	
P62484	Abi2	SUBUNIT: Component of the WAVE1 complex composed of ABI2, CYFIP1 or CYFIP2, BRK1, NCKAP1 and WASF1/WAVE1. Within the complex, a heterodimer containing NCKAP1 and CYFIP1 interacts with a heterotrimer formed by WAVE1, ABI2 and BRK1. CYFIP2 binds to activated RAC1 which causes the complex to dissociate, releasing activated WASF1. The complex can also be activated by NCK1 (By similarity). Interacts with ABL1 and ABL2. {ECO:0000250}.
P51174	Acadl	SUBUNIT: Homotetramer.
P21836	Ache	SUBUNIT: Isoform H generates GPI-anchored dimers; disulfide linked. Isoform T generates multiple structures, ranging from monomers and dimers to collagen-tailed and hydrophobic-tailed forms, in which catalytic tetramers are associated with anchoring proteins that attach them to the basal lamina or to cell membranes. In the collagen-tailed forms, isoform T subunits are associated with a specific collagen, COLQ, which triggers the formation of isoform T tetramers, from monomers and dimers (By similarity). Interacts with PRIMA1. The interaction with PRIMA1 is required to anchor it to the basal lamina of cells and organize into tetramers. {ECO:0000250, ECO:0000269|PubMed:11804574, ECO:0000269|PubMed:12505979}.
Q99MR0	Actl6b Actl6 Arpna Baf53b	SUBUNIT: Component of the bBAF complex, which includes at least actin (ACTB), ARID1A/BAF250, SMARCA2/BRM/BAF190B, SMARCA4/BRG1/BAF190A, SMARCB1/BAF47, SMARCC1/BAF155, SMARCC2/BAF170, SMARCD2/BAF60B and SMARCE1/BAF57. Note that the bBAF complex is polymorphic in regard to the ATPase, SMARCA2 and SMARCA4 occupying mutually exclusive positions. PBRM1 does not belong to bBAF complex. Component of neuron-specific chromatin remodeling complex (nBAF complex) composed of at least, ARID1A/BAF250A or ARID1B/BAF250B, SMARCD1/BAF60A, SMARCD3/BAF60C, SMARCA2/BRM/BAF190B, SMARCA4/BRG1/BAF190A, SMARCB1/BAF47, SMARCC1/BAF155, SMARCE1/BAF57, SMARCC2/BAF170, DPF1/BAF45B, DPF3/BAF45C, ACTL6B/BAF53B and actin. {ECO:0000269|PubMed:12368262, ECO:0000269|PubMed:17640523, ECO:0000269|PubMed:17920018}.
Q91V92	Acly	SUBUNIT: Homotetramer. {ECO:0000250}.
P12657	Chrm1 Chrm-1	SUBUNIT: Interacts with GPRASP2. {ECO:0000250}.
P32211	Chrm4 Chrm-4	
Q8BGG9	Acnat2	
Q8VHQ9	Acot11 Bfit Thea	
P13516	Scd1	
Q8BWN8	Acot4 Pte1b Pte2b	
P58137	Acot8 Pte1 Pte2	SUBUNIT: homodimer. {ECO:0000269|PubMed:11673457}.
Q9R0X4	Acot9 Acate2	SUBUNIT: Interacts with NYAP1, NYAP2 and MYO16. {ECO:0000269|PubMed:21946561}.
P68254	Ywhaq	SUBUNIT: Homodimer (By similarity). Interacts with CDKN1B ('Thr-198' phosphorylated form); the interaction translocates CDKN1B to the cytoplasm. Interacts with SSH1 (By similarity). Interacts with GAB2. Interacts with RGS7 (phosphorylated form) (By similarity). Interacts with CDK16 (PubMed:9197417). Interacts with the 'Ser-241' phosphorylated form of PDPK1 (By similarity). Interacts with the 'Thr-369' phosphorylated form of DAPK2 (PubMed:26047703). Interacts with PI4KB, TBC1D22A and TBC1D22B (By similarity). {ECO:0000250|UniProtKB:P27348, ECO:0000269|PubMed:26047703, ECO:0000269|PubMed:9197417}.
P26149	Hsd3b2	
Q99LH9	Sh3bp5l Kiaa1720	
Q9Z131	Sh3bp5 Sab	SUBUNIT: Interacts with BTK (By similarity). Interacts with all isoforms of MAPK8, MAPK9, MAPK10 and MAPK12 (By similarity). Interacts with GDP-bound and nucleotide-free forms of RAB11A (PubMed:26506309). {ECO:0000250|UniProtKB:O60239, ECO:0000269|PubMed:26506309}.
P70445	Eif4ebp2	SUBUNIT: Hypophosphorylated EIF4EBP2 interacts with EIF4E; phosphorylation of EIF4EBP2 by mTORC1 causes dissociation of the complex allowing EIF4G1/EIF4G3 to bind and consequent initiation of translation. Interacts (via TOS motif) with RPTOR; promoting phosphorylation by mTORC1 (PubMed:20347422, PubMed:23184952). Interacts with PCMT1; required to prevent isoaspartate accumulation and convert isoaspartate to Asp (PubMed:20424163). {ECO:0000250|UniProtKB:Q13542, ECO:0000269|PubMed:20347422, ECO:0000269|PubMed:20424163, ECO:0000269|PubMed:23184952}.
Q3UFY7	Nt5c3b Nt5c3l	SUBUNIT: Monomer. {ECO:0000250}.
Q3V1L4	Nt5c2	SUBUNIT: Homotetramer. {ECO:0000250}.
P53368	Nudt1 Mth1	SUBUNIT: Monomer. {ECO:0000250}.
Q99PG0	Aadac Aada	
Q99JW1	Abhd17a D10Bwg1364e	
Q8K442	Abca8a	
P41233	Abca1 Abc1	SUBUNIT: Interacts with MEGF10. {ECO:0000269|PubMed:17205124}.
P51908	Apobec1	SUBUNIT: Homodimer. Part of the apolipoprotein B mRNA editing complex with APC. Interacts with HNRPAB and SYNCRIP. {ECO:0000250|UniProtKB:P41238}.
Q8VD66	Abhd4	
Q9DBL1	Acadsb	SUBUNIT: Homotetramer. {ECO:0000250}.
Q9R0W9	Chrna6 Nica6	SUBUNIT: Neuronal AChR seems to be composed of two different types of subunits: alpha and non-alpha (beta). {ECO:0000250}.
P49582	Chrna7 Acra7	SUBUNIT: Homopentamer. Interacts with RIC3; which is required for proper folding and assembly (By similarity). {ECO:0000250}.
P04756	Chrna1 Acra	SUBUNIT: Pentamer of two alpha chains, and one each of the beta, delta, and gamma (in immature muscle) or epsilon (in mature muscle) chains. {ECO:0000269|PubMed:17643119}.
P56485	Ackr3 Cmkor1 Cxcr7 Rdc1	SUBUNIT: Homodimer. Can form heterodimers with CXCR4; heterodimerization may regulate CXCR4 signaling activity (By similarity).Interacts with ARRB1 and ARRB2 (By similarity). {ECO:0000250}.
P83855		
Q9QYR7	Acot3 Pte1a Pte2 Pte2a	
Q9CR21	Ndufab1	SUBUNIT: Mammalian complex I is composed of 45 different subunits.
P62259	Ywhae	SUBUNIT: Homodimer (By similarity). Heterodimerizes with YWHAZ (By similarity). Interacts with PKA-phosphorylated AANAT (By similarity). Interacts with ABL1 (phosphorylated form); the interaction retains it in the cytoplasm (By similarity). Interacts with ARHGEF28 (PubMed:11533041). Interacts with BEX3 (PubMed:11278287). Weakly interacts with CDKN1B (By similarity). Interacts with the 'Thr-369' phosphorylated form of DAPK2 (PubMed:26047703). Interacts with DENND1A (By similarity). Interacts with GAB2 (By similarity). Interacts with phosphorylated GRB10 (PubMed:15722337). Interacts with KSR1 (PubMed:10409742). Interacts with NDEL1 (PubMed:12796778). Interacts with PI4KB, TBC1D22A and TBC1D22B (By similarity). Interacts with the phosphorylated (by AKT1) form of SRPK2 (By similarity). Interacts with TIAM2 (PubMed:17320046). Interacts with the 'Ser-1134' and 'Ser-1161' phosphorylated form of SOS1 (By similarity). {ECO:0000250|UniProtKB:P62258, ECO:0000250|UniProtKB:P62260, ECO:0000269|PubMed:10409742, ECO:0000269|PubMed:11278287, ECO:0000269|PubMed:11533041, ECO:0000269|PubMed:12796778, ECO:0000269|PubMed:15722337, ECO:0000269|PubMed:17320046, ECO:0000269|PubMed:26047703}.
A2AIG8	Accs	
Q3UX83	Accsl Gm1967	
Q04841	Mpg Mid1	SUBUNIT: Binds MBD1. Binds SSBP1. {ECO:0000250}.
P32304	Htr7	
A3KFX0	Nt5c1a	
Q3UKZ7	Arl14epl Gm949	
Q6KAU8	Atg16l2	
Q61247	Serpinf2 Pli	SUBUNIT: Forms protease inhibiting heterodimer with TMPRSS7. {ECO:0000250}.
Q61618	Adora3 Gpcr2	
Q99K67	Aass Lorsdh	SUBUNIT: Homodimer.
Q7TSV6	Got1l1	SUBUNIT: Homodimer. {ECO:0000250}.
Q5SSE9	Abca13	
Q9JJ59	Abcb9 Kiaa1520	SUBUNIT: Homodimer. {ECO:0000250}.
Q61285	Abcd2 Aldr	SUBUNIT: Can form heterodimers with ABCD1/ALD and ABCD3/PMP70. Dimerization is necessary to form an active transporter. Interacts with PEX19 (By similarity). {ECO:0000250}.
Q9WV35	Apobec2	SUBUNIT: Homotetramer. {ECO:0000250|UniProtKB:Q9Y235}.
Q8K4F5	Abhd11 Wbscr21	
Q80UX8	Abhd13	
Q9QYL7	Abt1	SUBUNIT: Interacts with ESF1/ABTAP. Interacts with IGHMBP2. {ECO:0000250}.
Q8K370	Acad10	
Q8R4G9	Chrna3	SUBUNIT: Neuronal AChR is composed of two different types of subunits: alpha and beta. Alpha-3 subunit can be combined to beta-2 or beta-4 to give rise to functional receptors. Interacts with RIC3; which is required for proper folding and assembly (By similarity). {ECO:0000250}.
Q2MKA5	Chrna5	SUBUNIT: Neuronal AChR seems to be composed of two different type of subunits: alpha and non-alpha (beta). {ECO:0000250}.
Q8BMN3	Chrnb3	SUBUNIT: Neuronal AChR seems to be composed of two different types of subunits: alpha and beta. {ECO:0000250}.
Q8R493	Chrnb4 Acrb4	SUBUNIT: Neuronal AChR is composed of two different types of subunits: alpha and beta. Beta-4 subunit can be combined to alpha-2, alpha-3 or alpha-4 to give rise to functional receptors. Interacts with RIC3; which is required for proper folding and assembly (By similarity). {ECO:0000250}.
Q9ERZ4	Chrm2 Chrm-2	SUBUNIT: Interacts with ARRB1 and ARRB2. Interacts with RACK1; the interaction regulates CHRM2 internalization (By similarity). {ECO:0000250}.
Q9CQR4	Acot13 Them2	SUBUNIT: Homotetramer. Interacts with PCTP. {ECO:0000269|PubMed:17704541, ECO:0000269|PubMed:19405909}.
Q9QXD1	Acox2	
Q8BX37	Acp7 Papl Papl1	
Q8VCW8	Acsf2	
Q9CZW4	Acsl3 Acs3 Facl3	
Q8BFZ3	Actbl2	SUBUNIT: Polymerization of globular actin (G-actin) leads to a structural filament (F-actin) in the form of a two-stranded helix. Each actin can bind to 4 others (By similarity). Interacts with PFN1 and PFDN1 (By similarity). {ECO:0000250}.
P68033	Actc1 Actc	SUBUNIT: Polymerization of globular actin (G-actin) leads to a structural filament (F-actin) in the form of a two-stranded helix. Each actin can bind to 4 others.
Q8R5C5	Actr1b	
P61164	Actr1a Ctrn1	
Q8K348	Acvr1c Alk7	SUBUNIT: Binds the type 2 receptor protein ACVR2A. {ECO:0000250}.
Q60876	Eif4ebp1	SUBUNIT: Hypophosphorylated EIF4EBP1 competes with EIF4G1/EIF4G3 to interact with EIF4E; insulin stimulated MAP-kinase (MAPK1 and MAPK3) or mTORC1 phosphorylation of EIF4EBP1 causes dissociation of the complex allowing EIF4G1/EIF4G3 to bind and consequent initiation of translation (PubMed:7629182). Interacts (via TOS motif) with RPTOR; promoting phosphorylation by mTORC1 (PubMed:24139800). {ECO:0000269|PubMed:24139800, ECO:0000269|PubMed:7629182}.
Q61224	Htr1d Gpcr14	SUBUNIT: Homodimer. Heterodimer with HTR1B (By similarity). {ECO:0000250}.
Q02284	Htr1f 5ht1f Htr1eb	
Q02152	Htr2b	SUBUNIT: Interacts with MPDZ. {ECO:0000250}.
P34968	Htr2c 5ht1c Htr1c	SUBUNIT: Interacts with MPDZ. Interacts with ARRB2 (By similarity). {ECO:0000250}.
P97288	Htr4	SUBUNIT: Isoform 5-HT4(A) interacts with MAGI2, MPP3, SLC9A3R1 and SNX27 isoforms 1 and 2. Isoform 5-HT4(E) interacts with INADL, NOS1 and SEC23A. Isoform 5-HT4(A) forms a complex including SLC9A3R1 and EZR. Interacts (via C-terminus 330-346 AA) with GRK5; this interaction is promoted by 5-HT (serotonin) (By similarity). {ECO:0000250}.
P30966	Htr5a 5ht5a	
Q9R1C8	Htr6	SUBUNIT: Interacts with CDK5 (PubMed:25078650). Interacts with MTOR (PubMed:23027611). Interacts with RPTOR and NF1 (By similarity). {ECO:0000250|UniProtKB:P50406, ECO:0000269|PubMed:23027611, ECO:0000269|PubMed:25078650}.
P58742	Aaas	SUBUNIT: Interacts with NDC1, the interaction is required for nuclear pore localization. {ECO:0000250}.
Q9R078	Prkab1	SUBUNIT: AMPK is a heterotrimer of an alpha catalytic subunit (PRKAA1 or PRKAA2), a beta (PRKAB1 or PRKAB2) and a gamma non-catalytic subunits (PRKAG1, PRKAG2 or PRKAG3). Interacts with FNIP1 and FNIP2 (By similarity). {ECO:0000250}.
Q6PAM0	Prkab2	SUBUNIT: AMPK is a heterotrimer of an alpha catalytic subunit (PRKAA1 or PRKAA2), a beta (PRKAB1 or PRKAB2) and a gamma non-catalytic subunits (PRKAG1, PRKAG2 or PRKAG3). {ECO:0000250}.
Q91WG5	Prkag2	SUBUNIT: AMPK is a heterotrimer of an alpha catalytic subunit (PRKAA1 or PRKAA2), a beta (PRKAB1 or PRKAB2) and a gamma non-catalytic subunits (PRKAG1, PRKAG2 or PRKAG3). Interacts with FNIP1 and FNIP2 (By similarity). {ECO:0000250}.
P05201	Got1	SUBUNIT: Homodimer.
Q7M759	Abhd17b	
Q8R5A3	Apbb1ip Prel1	SUBUNIT: Interacts, through the N-terminal Pro-rich region, with the WW domain of APBB1. Interacts with RAP1A, PFN1, VASP and ENAH. {ECO:0000269|PubMed:15642358, ECO:0000269|PubMed:9407065}.
Q91V24	Abca7	
Q9CXJ4	Abcb8	SUBUNIT: Monomer. {ECO:0000305}.
P61222	Abce1 Rli	SUBUNIT: Probably heterodimerizes with RNASEL; this interaction inhibits the RNASEL. {ECO:0000250}.
Q64343	Abcg1 Abc8 Wht1	
Q497M3	Apobec4	
Q8R0P8	Abhd8	
Q8BL65	Ablim2	SUBUNIT: Interacts with F-actin and ABRA. {ECO:0000269|PubMed:17194709}.
Q69ZX8	Ablim3 Kiaa0843	SUBUNIT: Directly interacts with F-actin and ABRA. {ECO:0000250}.
Q7TQI7	Abtb2	
Q5SWU9	Acaca Acac Gm738	SUBUNIT: Monomer, homodimer, and homotetramer. Can form filamentous polymers. Interacts in its inactive phosphorylated form with the BRCT domains of BRCA1 which prevents ACACA dephosphorylation and inhibits lipid synthesis. Interacts with MID1IP1; interaction with MID1IP1 promotes oligomerization and increases its activity. {ECO:0000269|PubMed:12360400, ECO:0000269|PubMed:20952656}.
Q9D099	Acer3 Aphc Phca	
Q9QUI6	Ackr1 Darc Dfy Fy	
O08707	Ackr2 Ccbp2 D6	
Q9QY83	Actl7b Tact1	
P28271	Aco1 Ireb1 Irebp	SUBUNIT: Interacts (when associated with the 4Fe-4S) with FBXL5. {ECO:0000250}.
Q9EPL9	Acox3	
Q91WC3	Acsl6 Facl6	
Q8K0L3	Acsm2	SUBUNIT: Monomer. {ECO:0000250}.
Q3UNX5	Acsm3 Sa Sah	
Q14DH7	Acss3	
