Ohnolog-1 Id	Ohnolog-2 Id	Ohnolog-1 Symbol	Ohnolog-2 Symbol	Synteny Outgroup Support	Combine q-value(self) from all vetebrates	Combine q-value(outgroup) from all vetebrates	q-value from self comparison	Combined q-value for all outgroups	q-value for Amphioxus	q-value for Ciona intestinalis	q-value for Ciona savignyi	q-value for Drosophila	q-value for Sea Urchin	q-value for Worm	Duplication node form Ensembl
ENSMUSG00000026341	ENSMUSG00000056367	Actr3	Actr3b	3	1.773E-005	0.0455									Chordata
ENSMUSG00000001510	ENSMUSG00000041911	Dlx3	Dlx1	4	4.430E-015	0.0001									Coelomata
ENSMUSG00000070923	ENSMUSG00000040387	Klhl9	Klhl32	4	0.0066	0.0268									Chordata
ENSMUSG00000020400	ENSMUSG00000044162	Tnip1	Tnip3	1	1.751E-005	0.0158									Euteleostomi
ENSMUSG00000016346	ENSMUSG00000056258	Kcnq2	Kcnq3	3	2.649E-010	0.0006									Euteleostomi
ENSMUSG00000074622	ENSMUSG00000047591	Mafb	Mafa	6	1.829E-012	9.843E-007									Euteleostomi
ENSMUSG00000034771	ENSMUSG00000008305	Tle2	Tle1	3	1.722E-007	0.0035									Vertebrata
ENSMUSG00000028789	ENSMUSG00000037458	Adc	Azin1	5	1.492E-008	0.0019									Vertebrata
ENSMUSG00000053856	ENSMUSG00000000826	Dnajc5g	Dnajc5	4	0.0010	0.0003									Vertebrata
ENSMUSG00000025350	ENSMUSG00000027068	Rdh5	Dhrs9	3	1.614E-007	0.0128									Euteleostomi
ENSMUSG00000020614	ENSMUSG00000025854	Fam20a	Fam20c	3	8.681E-008	0.0147									Euteleostomi
ENSMUSG00000039824	ENSMUSG00000059741	Myl6b	Myl3	3	0.0013	0.0020									Vertebrata
ENSMUSG00000033446	ENSMUSG00000027762	Lpar6	Sucnr1	2	4.423E-009	0.0404									Vertebrata
ENSMUSG00000033059	ENSMUSG00000021069	Pygb	Pygl	5	8.849E-009	1.424E-007									Vertebrata
ENSMUSG00000032536	ENSMUSG00000026028	Trak1	Trak2	3	2.670E-010	0.0001									Coelomata
ENSMUSG00000028843	ENSMUSG00000032261	Sh3bgrl3	Sh3bgrl2	3	2.225E-010	0.0035									Chordata
ENSMUSG00000026836	ENSMUSG00000000530	Acvr1	Acvrl1	4	7.444E-012	0.0015									Vertebrata
ENSMUSG00000031214	ENSMUSG00000036452	Ophn1	Arhgap26	5	0.0080	0.0007									Euteleostomi
ENSMUSG00000028878	ENSMUSG00000037808	Fam76a	Fam76b	5	0.1988	0.0038									Euteleostomi
ENSMUSG00000030084	ENSMUSG00000029765	Plxna1	Plxna4	5	1.204E-008	3.104E-005									Vertebrata
ENSMUSG00000021994	ENSMUSG00000030170	Wnt5a	Wnt5b	6	0.0002	2.380E-005									Euteleostomi
ENSMUSG00000091260	ENSMUSG00000068999	Vmn2r19	Vmn2r5	4	0.0006	0.0214									Chordata
ENSMUSG00000042826	ENSMUSG00000031230	Fgf11	Fgf16	3	0.0816	0.0235									Chordata
ENSMUSG00000036545	ENSMUSG00000043635	Adamts2	Adamts3	5	2.852E-009	0.0002									Euteleostomi
ENSMUSG00000002147	ENSMUSG00000026104	Stat6	Stat1	5	2.591E-010	0.0001									Chordata
ENSMUSG00000056910	ENSMUSG00000051980	Vmn2r107	Casr	3	0.0004	0.0153									Chordata
ENSMUSG00000025026	ENSMUSG00000029106	Add3	Add1	6	2.379E-011	3.527E-014									Vertebrata
ENSMUSG00000022180	ENSMUSG00000040010	Slc7a8	Slc7a5	3	1.367E-008	0.0235									Chordata
ENSMUSG00000025875	ENSMUSG00000037824	Tspan17	Tspan14	4	7.300E-005	0.0001									Vertebrata
ENSMUSG00000037624	ENSMUSG00000023243	Kcnk2	Kcnk5	4	0.0829	0.0432									Vertebrata
ENSMUSG00000020866	ENSMUSG00000022416	Cacna1g	Cacna1i	5	0.0002	0.0008									Vertebrata
ENSMUSG00000032085	ENSMUSG00000001349	Tagln	Cnn1	2	0.1921	0.0227									Chordata
ENSMUSG00000009681	ENSMUSG00000017631	Bcr	Abr	3	1.764E-008	0.0143									Vertebrata
ENSMUSG00000022674	ENSMUSG00000027694	Ube2v2	Gm8325	4	0.0500	0.0175									Euteleostomi
ENSMUSG00000003436	ENSMUSG00000027314	Dll3	Dll4	3	0.0005	0.0043									Vertebrata
ENSMUSG00000029231	ENSMUSG00000024620	Pdgfra	Pdgfrb	4	5.720E-008	2.587E-006									Euteleostomi
ENSMUSG00000038375	ENSMUSG00000028211	Trp53inp2	Trp53inp1	1	1.553E-012	0.0004									Euteleostomi
ENSMUSG00000034115	ENSMUSG00000034810	Scn11a	Scn7a	4	2.259E-006	0.0168									Vertebrata
ENSMUSG00000034613	ENSMUSG00000020253	Ppm1h	Ppm1m	3	0.0008	0.0020									Vertebrata
ENSMUSG00000031841	ENSMUSG00000026312	Cdh13	Cdh7	3	1.722E-005	0.0415									Chordata
ENSMUSG00000052142	ENSMUSG00000070565	Rasal3	Rasal2	5	0.0011	0.0022									Vertebrata
ENSMUSG00000006777	ENSMUSG00000023043	Krt23	Krt18	1	1.854E-010	0.0432									Euteleostomi
ENSMUSG00000026064	ENSMUSG00000059895	Ptp4a1	Ptp4a3	3	5.145E-007	0.0139									Euteleostomi
ENSMUSG00000031841	ENSMUSG00000061928	Cdh13	Dsg1b	2	1.442E-006	0.0054									Chordata
ENSMUSG00000035067	ENSMUSG00000042631	Xkr6	Xkr7	4	0.0012	0.0125									Vertebrata
ENSMUSG00000015755	ENSMUSG00000035476	Tab2	Tab3	2	2.260E-006	0.0419									Vertebrata
ENSMUSG00000011148	ENSMUSG00000015961	Adssl1	Adss	5	2.699E-011	7.212E-005									Vertebrata
ENSMUSG00000021306	ENSMUSG00000024958	Gpr137b	Gpr137	1	0.0004	0.0223									Euteleostomi
ENSMUSG00000058325	ENSMUSG00000044447	Dock1	Dock5	5	2.807E-008	0.0005									Euteleostomi
ENSMUSG00000032773	ENSMUSG00000074939	Chrm1	Chrm5	4	0.0043	0.0021									Vertebrata
ENSMUSG00000019943	ENSMUSG00000026463	Atp2b1	Atp2b4	4	6.452E-011	0.0006									Chordata
ENSMUSG00000027479	ENSMUSG00000024277	Mapre1	Mapre2	3	2.079E-006	0.0152									Vertebrata
ENSMUSG00000024873	ENSMUSG00000026514	Cnih2	Cnih3	5	0.0010	5.050E-006									Euteleostomi
ENSMUSG00000058587	ENSMUSG00000005628	Tmod3	Tmod4	2	5.358E-014	0.0213									Vertebrata
ENSMUSG00000057614	ENSMUSG00000032562	Gnai1	Gnai2	5	1.313E-007	0.0153									Vertebrata
ENSMUSG00000038641	ENSMUSG00000033715	Akr1d1	Akr1c14	4	0.0002	0.0213									Euteleostomi
ENSMUSG00000025006	ENSMUSG00000031626	Sorbs1	Sorbs2	4	1.424E-007	0.0040									Euteleostomi
ENSMUSG00000002147	ENSMUSG00000004043	Stat6	Stat5a	5	0.0001	0.0040									Chordata
ENSMUSG00000034111	ENSMUSG00000026499	Tmed8	Acbd3	4	4.241E-010	8.562E-005									Chordata
ENSMUSG00000048078	ENSMUSG00000031561	Tenm4	Tenm3	4	0.0256	0.0002									Euteleostomi
ENSMUSG00000026837	ENSMUSG00000027966	Col5a1	Col11a1	4	7.984E-010	0.0003									Euteleostomi
ENSMUSG00000055515	ENSMUSG00000091572	Vmn2r81	Vmn2r3	3	0.0390	0.0420									Chordata
ENSMUSG00000026918	ENSMUSG00000024335	Brd3	Brd2	4	2.765E-005	0.0019									Euteleostomi
ENSMUSG00000091381	ENSMUSG00000062200	Vmn2r83	Vmn2r7	3	0.0365	0.0471									Chordata
ENSMUSG00000025317	ENSMUSG00000031883	Car5a	Car7	1	7.634E-005	0.0001									Vertebrata
ENSMUSG00000020081	ENSMUSG00000030043	Tacr2	Tacr1	6	5.144E-007	9.691E-006									Vertebrata
ENSMUSG00000006411	ENSMUSG00000032012	Pvrl4	Pvrl1	2	5.016E-007	0.0127									Euteleostomi
ENSMUSG00000090383	ENSMUSG00000072780	Vmn2r58	Vmn2r24	3	0.0005	0.0318									Sarcopterygii
ENSMUSG00000079355	ENSMUSG00000048480	Ccrl1	Cxcr1	2	0.0617	0.0085									Vertebrata
ENSMUSG00000041187	ENSMUSG00000002688	Prkd2	Prkd1	5	1.109E-006	4.158E-005									Euteleostomi
ENSMUSG00000074657	ENSMUSG00000026764	Kif5a	Kif5c	4	1.835E-006	0.0112									Vertebrata
ENSMUSG00000056632	ENSMUSG00000036510	Dsg3	Cdh8	4	7.611E-007	0.0030									Chordata
ENSMUSG00000056728	ENSMUSG00000028111	Ctsll3	Ctsk	3	0.0001	0.0385									Vertebrata
ENSMUSG00000028496	ENSMUSG00000024212	Mllt3	Mllt1	4	8.043E-010	0.0012									Vertebrata
ENSMUSG00000061099	ENSMUSG00000097148	Gapdhs	GAPDH	3	0.0287	0.0320									Vertebrata
ENSMUSG00000021957	ENSMUSG00000031397	Tkt	Tktl1	4	0.0060	0.0273									Euteleostomi
ENSMUSG00000019874	ENSMUSG00000027530	Fabp7	Fabp12	5	9.197E-005	0.0342									Euteleostomi
ENSMUSG00000068523	ENSMUSG00000095845	Gng5	Gm5741	2	0.0013	0.0152									Euteleostomi
ENSMUSG00000053617	ENSMUSG00000040711	Sh3pxd2a	Sh3pxd2b	1	1.481E-010	0.0185									Euteleostomi
ENSMUSG00000022914	ENSMUSG00000032253	Brwd1	Phip	5	0.0008	0.0012									Chordata
ENSMUSG00000095334	ENSMUSG00000017615	RP23-142A14.3	Tnfaip1	5	1.197E-011	3.436E-006									Euteleostomi
ENSMUSG00000055632	ENSMUSG00000066842	Hmcn2	Hmcn1	5	9.521E-013	2.269E-007									Euteleostomi
ENSMUSG00000091888	ENSMUSG00000093820	Vmn2r80	Vmn2r21	4	0.0610	0.0015									Sarcopterygii
ENSMUSG00000031841	ENSMUSG00000001804	Cdh13	Dsg4	2	1.458E-006	0.0060									Chordata
ENSMUSG00000072778	ENSMUSG00000029072	Vmn2r27	Tas1r3	3	9.402E-010	0.0446									Chordata
ENSMUSG00000033863	ENSMUSG00000037465	Klf9	Klf10	4	0.1281	0.0087									Vertebrata
ENSMUSG00000042700	ENSMUSG00000001995	Sipa1l1	Sipa1l2	4	1.519E-006	0.0012									Vertebrata
ENSMUSG00000006362	ENSMUSG00000038533	Cbfa2t3	Cbfa2t2	3	1.627E-006	8.826E-007									Euteleostomi
ENSMUSG00000034384	ENSMUSG00000026805	Barhl2	Barhl1	4	5.796E-008	0.0165									Euteleostomi
ENSMUSG00000020871	ENSMUSG00000029754	Dlx4	Dlx6	4	3.132E-008	0.0098									Euteleostomi
ENSMUSG00000003346	ENSMUSG00000038459	Fam108a	Fam108c	4	2.927E-006	0.0029									Vertebrata
ENSMUSG00000055022	ENSMUSG00000030092	Cntn1	Cntn6	6	1.244E-008	0.0002									Vertebrata
ENSMUSG00000010505	ENSMUSG00000033740	Myt1	St18	4	1.274E-013	0.0368									Vertebrata
ENSMUSG00000096630	ENSMUSG00000090655	Vmn2r26	Vmn2r120	4	0.0236	0.0324									Sarcopterygii
ENSMUSG00000003746	ENSMUSG00000008763	Man1a	Man1a2	3	0.1187	0.0370									Vertebrata
ENSMUSG00000048387	ENSMUSG00000022330	Osr1	Osr2	3	2.290E-011	0.0014									Euteleostomi
ENSMUSG00000028465	ENSMUSG00000052698	Tln1	Tln2	5	7.736E-009	0.0009									Vertebrata
ENSMUSG00000001027	ENSMUSG00000057182	Scn4a	Scn3a	3	1.991E-010	0.0199									Vertebrata
ENSMUSG00000091888	ENSMUSG00000092049	Vmn2r80	Vmn2r4	3	0.0367	0.0420									Chordata
ENSMUSG00000042604	ENSMUSG00000047976	Kcna4	Kcna1	5	6.872E-007	0.0111									Vertebrata
ENSMUSG00000018427	ENSMUSG00000022773	Ypel2	Ypel1	4	1.337E-006	2.903E-006									Euteleostomi
ENSMUSG00000025003	ENSMUSG00000015224	Cyp2c39	Cyp2j9	3	0.0046	0.0026									Vertebrata
ENSMUSG00000078591	ENSMUSG00000047759	Hs3st4	Hs3st3a1	3	1.081E-007	0.0489									Vertebrata
ENSMUSG00000004567	ENSMUSG00000036853	Mcoln1	Mcoln3	5	3.221E-007	0.0005									Euteleostomi
ENSMUSG00000031749	ENSMUSG00000013846	St3gal2	St3gal1	4	8.005E-006	0.0358									Vertebrata
ENSMUSG00000031737	ENSMUSG00000001504	Irx5	Irx2	4	1.140E-008	2.875E-005									Euteleostomi
ENSMUSG00000030452	ENSMUSG00000067219	Nipa2	Nipal1	4	0.0050	0.0196									Chordata
ENSMUSG00000030966	ENSMUSG00000022113	Trim21	Trim52	1	0.2065	0.0123									
ENSMUSG00000072780	ENSMUSG00000091859	Vmn2r24	Vmn2r100	4	1.572E-005	0.0402									Sarcopterygii
ENSMUSG00000075316	ENSMUSG00000023033	Scn9a	Scn8a	4	7.531E-013	0.0141									Euteleostomi
ENSMUSG00000031841	ENSMUSG00000040452	Cdh13	Cdh12	4	0.0001	0.0079									Chordata
ENSMUSG00000058297	ENSMUSG00000056222	Spock2	Spock1	5	1.288E-005	0.0064									Euteleostomi
ENSMUSG00000031962	ENSMUSG00000022321	Cdh15	Cdh10	2	0.0012	0.0481									Chordata
ENSMUSG00000038210	ENSMUSG00000022484	Hoxa11	Hoxc10	3	1.153E-009	1.856E-005									Chordata
ENSMUSG00000032216	ENSMUSG00000024589	Nedd4	Nedd4l	4	4.874E-009	0.0004									Vertebrata
ENSMUSG00000035158	ENSMUSG00000029553	Mitf	Tfec	5	1.718E-011	0.0009									Chordata
ENSMUSG00000055515	ENSMUSG00000091260	Vmn2r81	Vmn2r19	4	0.0608	0.0016									Sarcopterygii
ENSMUSG00000090165	ENSMUSG00000054630	Ugt1a10	Ugt2b5	1	0.0003	0.0478									Vertebrata
ENSMUSG00000014470	ENSMUSG00000006418	Rnf166	Rnf114	4	2.898E-009	1.218E-006									Euteleostomi
ENSMUSG00000040701	ENSMUSG00000031731	Ap1g2	Ap1g1	5	2.327E-008	1.729E-008									Euteleostomi
ENSMUSG00000028240	ENSMUSG00000017969	Cyp7a1	Ptgis	2	2.076E-011	0.0360									Vertebrata
ENSMUSG00000043964	ENSMUSG00000049686	Orai3	Orai1	6	1.365E-009	2.437E-007									Euteleostomi
ENSMUSG00000044312	ENSMUSG00000048904	Neurog3	Neurog1	3	0.0002	0.0117									Vertebrata
ENSMUSG00000028944	ENSMUSG00000067713	Prkag2	Prkag1	4	0.0048	0.0071									Vertebrata
ENSMUSG00000020875	ENSMUSG00000043342	Hoxb9	Hoxd9	3	7.212E-015	7.379E-007									Euteleostomi
ENSMUSG00000026312	ENSMUSG00000096401	Cdh7	AC241392.2	2	2.539E-006	0.0162									Vertebrata
ENSMUSG00000054555	ENSMUSG00000027318	Adam12	Adam33	3	1.858E-005	0.0075									Vertebrata
ENSMUSG00000036422	ENSMUSG00000024440	Pcdh8	Pcdh12	3	7.598E-007	0.0080									Euteleostomi
ENSMUSG00000034413	ENSMUSG00000047180	Neurl1b	Neurl3	3	0.1345	0.0340									Euteleostomi
ENSMUSG00000018569	ENSMUSG00000047501	Cldn7	Cldn4	2	0.0081	0.0493									Vertebrata
ENSMUSG00000027175	ENSMUSG00000062859	Tcp11l1	Tcp11	3	0.0041	0.0146									Vertebrata
ENSMUSG00000027965	ENSMUSG00000026697	Olfm3	Myoc	4	0.0110	0.0120									Chordata
ENSMUSG00000036510	ENSMUSG00000001804	Cdh8	Dsg4	3	7.487E-007	0.0042									Chordata
ENSMUSG00000026771	ENSMUSG00000089696	Spopl	Gm4778	3	9.490E-006	0.0125									Vertebrata
ENSMUSG00000080115	ENSMUSG00000025956	Mettl21b	Mettl21a	3	8.895E-008	0.0271									Chordata
ENSMUSG00000020062	ENSMUSG00000000792	Slc5a8	Slc5a5	3	0.0039	0.0103									Vertebrata
ENSMUSG00000021974	ENSMUSG00000031137	Fgf9	Fgf13	3	1.453E-007	0.0017									Chordata
ENSMUSG00000040610	ENSMUSG00000068327	Tlx3	Tlx2	5	0.1354	3.422E-007									Vertebrata
ENSMUSG00000019905	ENSMUSG00000091620	Gprc6a	Vmn2r23	3	0.0595	0.0138									Chordata
ENSMUSG00000049100	ENSMUSG00000051663	Pcdh10	Pcdhb1	4	1.020E-013	0.0002									
ENSMUSG00000072780	ENSMUSG00000094892	Vmn2r24	Vmn2r101	4	1.617E-005	0.0402									Sarcopterygii
ENSMUSG00000029090	ENSMUSG00000031486	Gpr125	Gpr124	5	0.0023	0.0014									Vertebrata
ENSMUSG00000028580	ENSMUSG00000020594	Pum1	Pum2	5	1.491E-006	0.0022									Vertebrata
ENSMUSG00000049100	ENSMUSG00000007440	Pcdh10	Pcdha10	3	1.110E-013	0.0001									
ENSMUSG00000040675	ENSMUSG00000021048	Mthfd1l	Mthfd1	4	0.0003	0.0266									Euteleostomi
ENSMUSG00000002731	ENSMUSG00000023051	Prkra	Tarbp2	4	5.064E-014	0.0159									Vertebrata
ENSMUSG00000056724	ENSMUSG00000073664	Nbeal2	Nbeal1	5	5.868E-007	5.196E-006									Vertebrata
ENSMUSG00000039656	ENSMUSG00000015843	Rxrb	Rxrg	4	0.0016	0.0014									Vertebrata
ENSMUSG00000030849	ENSMUSG00000054252	Fgfr2	Fgfr3	3	7.131E-013	2.635E-011									Vertebrata
ENSMUSG00000059119	ENSMUSG00000079139	Nap1l4	Gm4204	6	0.0003	0.0261									Vertebrata
ENSMUSG00000036885	ENSMUSG00000033542	Arhgef26	Arhgef5	4	0.0099	0.0129									Chordata
ENSMUSG00000031673	ENSMUSG00000039385	Cdh11	Cdh6	5	3.899E-005	0.0247									Vertebrata
ENSMUSG00000037174	ENSMUSG00000031103	Elf2	Elf4	4	3.644E-005	0.0012									Vertebrata
ENSMUSG00000020307	ENSMUSG00000036241	Cdc34	Ube2r2	3	2.113E-007	0.0022									Euteleostomi
