Ensembl Gene ID	Homology Type	Rat Ensembl Gene ID	Ancestor	dN	dS
ENSMUSG00000095629	ortholog_many2many	ENSRNOG00000049668	Murinae	0.14820	0.20770
ENSMUSG00000095629	ortholog_many2many	ENSRNOG00000047490	Murinae	0.12700	0.25300
ENSMUSG00000095629	ortholog_many2many	ENSRNOG00000030886	Murinae	0.13570	0.22120
ENSMUSG00000095629	ortholog_many2many	ENSRNOG00000050466	Murinae	0.12500	0.21440
ENSMUSG00000099056					
ENSMUSG00000093557					
ENSMUSG00000095066	ortholog_one2many	ENSRNOG00000030524	Murinae	0.34000	0.26480
ENSMUSG00000015652	ortholog_one2one	ENSRNOG00000000017	Murinae	0.04410	0.26450
ENSMUSG00000086037					
ENSMUSG00000095455					
ENSMUSG00000093774					
ENSMUSG00000086060					
ENSMUSG00000023906	ortholog_one2one	ENSRNOG00000003648	Murinae	0.02900	0.24200
ENSMUSG00000089779					
ENSMUSG00000102126					
ENSMUSG00000095589					
ENSMUSG00000102156					
ENSMUSG00000030835	ortholog_one2one	ENSRNOG00000021118	Murinae	0.01030	0.21090
ENSMUSG00000003190	ortholog_one2one	ENSRNOG00000020486	Murinae	0.04010	0.19200
ENSMUSG00000051687					
ENSMUSG00000099726					
ENSMUSG00000081891					
ENSMUSG00000104264					
ENSMUSG00000079502	ortholog_one2many	ENSRNOG00000047642	Murinae	0.07970	0.31730
ENSMUSG00000079502	ortholog_one2many	ENSRNOG00000028805	Murinae	0.08790	0.31900
ENSMUSG00000082099					
ENSMUSG00000084103					
ENSMUSG00000091221					
ENSMUSG00000100279					
ENSMUSG00000022798	ortholog_one2one	ENSRNOG00000042555	Murinae	0.36340	0.56210
ENSMUSG00000103737					
ENSMUSG00000104270					
ENSMUSG00000095163	ortholog_many2many	ENSRNOG00000048104	Murinae	0.14770	0.19990
ENSMUSG00000095163	ortholog_many2many	ENSRNOG00000048505	Murinae	0.15810	0.18130
ENSMUSG00000095163	ortholog_many2many	ENSRNOG00000049710	Murinae	0.14570	0.21260
ENSMUSG00000082055					
ENSMUSG00000098151					
ENSMUSG00000059972					
ENSMUSG00000103998					
ENSMUSG00000083091					
ENSMUSG00000104308					
ENSMUSG00000083309					
ENSMUSG00000091421					
ENSMUSG00000104177					
ENSMUSG00000080710					
ENSMUSG00000100602					
ENSMUSG00000038903	ortholog_one2one	ENSRNOG00000021381	Murinae	0.08980	0.28980
ENSMUSG00000091627					
ENSMUSG00000100655					
ENSMUSG00000084871					
ENSMUSG00000100956					
ENSMUSG00000091273					
ENSMUSG00000090964					
ENSMUSG00000093649					
ENSMUSG00000036959	ortholog_one2one	ENSRNOG00000005076	Murinae	0.01320	0.12550
ENSMUSG00000076776	ortholog_one2one	ENSRNOG00000049867	Murinae	0.08890	0.08400
ENSMUSG00000058207	ortholog_many2many	ENSRNOG00000010410	Murinae	0.19960	0.32160
ENSMUSG00000058207	ortholog_many2many	ENSRNOG00000009921	Murinae	0.17890	0.24740
ENSMUSG00000103828					
ENSMUSG00000092148	ortholog_many2many	ENSRNOG00000050587	Murinae	0.47080	1.19650
ENSMUSG00000092148	ortholog_many2many	ENSRNOG00000048316	Murinae	0.45350	1.44290
ENSMUSG00000092148	ortholog_many2many	ENSRNOG00000029050	Murinae	0.44810	1.46340
ENSMUSG00000092148	ortholog_many2many	ENSRNOG00000046205	Murinae	0.49700	1.43280
ENSMUSG00000092148	ortholog_many2many	ENSRNOG00000049843	Murinae	0.49270	1.27780
ENSMUSG00000092148	ortholog_many2many	ENSRNOG00000047272	Murinae	0.47060	1.19440
ENSMUSG00000092148	ortholog_many2many	ENSRNOG00000040007	Murinae	0.67780	1.44610
ENSMUSG00000092148	ortholog_many2many	ENSRNOG00000047778	Murinae	0.50170	1.39000
ENSMUSG00000092148	ortholog_many2many	ENSRNOG00000040020	Murinae	0.46820	1.08090
ENSMUSG00000092148	ortholog_many2many	ENSRNOG00000049239	Murinae	0.43090	1.06780
ENSMUSG00000092148	ortholog_many2many	ENSRNOG00000049705	Murinae	0.48920	1.41280
ENSMUSG00000092148	ortholog_many2many	ENSRNOG00000039141	Murinae	0.42350	0.91520
ENSMUSG00000092148	ortholog_many2many	ENSRNOG00000042048	Murinae	0.51900	1.45760
ENSMUSG00000101670					
ENSMUSG00000084908					
ENSMUSG00000047824	ortholog_one2one	ENSRNOG00000020663	Murinae	0.00420	0.20350
ENSMUSG00000002608	ortholog_one2one	ENSRNOG00000020675	Murinae	0.02810	0.23930
ENSMUSG00000104244					
ENSMUSG00000099917					
ENSMUSG00000084925					
ENSMUSG00000093444					
ENSMUSG00000032020	ortholog_one2one	ENSRNOG00000008187	Murinae	0.00590	0.20410
ENSMUSG00000087507					
ENSMUSG00000091430					
ENSMUSG00000070873	ortholog_one2one	ENSRNOG00000027808	Murinae	0.08980	0.20540
ENSMUSG00000045761	ortholog_one2one	ENSRNOG00000026344	Murinae	0.04420	0.19790
ENSMUSG00000101086					
ENSMUSG00000087165					
ENSMUSG00000026735	ortholog_one2one	ENSRNOG00000016902	Murinae	0.01910	0.22300
ENSMUSG00000079162	ortholog_one2many	ENSRNOG00000010699	Murinae	0.34300	0.30090
ENSMUSG00000079022	ortholog_one2one	ENSRNOG00000024824	Murinae	0.03030	0.13260
ENSMUSG00000069270					
ENSMUSG00000103897	ortholog_one2one	ENSRNOG00000027277	Murinae	0.02020	0.19430
ENSMUSG00000104490					
ENSMUSG00000091307					
ENSMUSG00000057799					
ENSMUSG00000090067					
ENSMUSG00000093381					
ENSMUSG00000025911	ortholog_one2one	ENSRNOG00000007069	Murinae	0.01080	0.18920
ENSMUSG00000087500					
ENSMUSG00000099525					
ENSMUSG00000103474					
ENSMUSG00000104323					
ENSMUSG00000068889					
ENSMUSG00000047733	ortholog_one2one	ENSRNOG00000047431	Murinae	0.03170	0.13590
ENSMUSG00000091656					
ENSMUSG00000026051	ortholog_one2one	ENSRNOG00000023576	Murinae	0.03230	0.23640
ENSMUSG00000083902					
ENSMUSG00000091539	ortholog_one2many	ENSRNOG00000028882	Murinae	0.07190	0.16840
ENSMUSG00000079424	ortholog_one2many	ENSRNOG00000024884	Murinae	0.25730	0.37200
ENSMUSG00000081444					
ENSMUSG00000093405					
ENSMUSG00000101631					
ENSMUSG00000063514					
ENSMUSG00000082410					
ENSMUSG00000089958					
ENSMUSG00000099798					
ENSMUSG00000087085					
ENSMUSG00000100048					
ENSMUSG00000074282	ortholog_one2one	ENSRNOG00000019416	Murinae	0.05520	0.33360
ENSMUSG00000089909					
ENSMUSG00000025008	ortholog_one2many	ENSRNOG00000047112	Murinae	0.09540	0.24130
ENSMUSG00000025008	ortholog_one2many	ENSRNOG00000045584	Murinae	0.09540	0.24130
ENSMUSG00000073103					
ENSMUSG00000071343					
ENSMUSG00000072049					
ENSMUSG00000098304					
ENSMUSG00000096920					
ENSMUSG00000100621					
ENSMUSG00000067613	ortholog_many2many	ENSRNOG00000030814	Murinae	0.02020	0.25980
ENSMUSG00000067613	ortholog_many2many	ENSRNOG00000032859	Murinae	0.07100	0.66440
ENSMUSG00000067613	ortholog_many2many	ENSRNOG00000008367	Murinae	0.05150	0.58920
ENSMUSG00000067613	ortholog_many2many	ENSRNOG00000036871	Murinae	0.03770	0.46570
ENSMUSG00000061544					
ENSMUSG00000061150					
ENSMUSG00000001175	ortholog_one2many	ENSRNOG00000004060	Euteleostomi	0.00030	0.31310
ENSMUSG00000097086					
ENSMUSG00000050919	ortholog_one2one	ENSRNOG00000017249	Murinae	0.03250	0.30080
ENSMUSG00000100544					
ENSMUSG00000062878	ortholog_many2many	ENSRNOG00000050054	Murinae	0.10160	0.22340
ENSMUSG00000062878	ortholog_many2many	ENSRNOG00000049938	Murinae	0.09510	0.18390
ENSMUSG00000062878	ortholog_many2many	ENSRNOG00000050559	Murinae	0.08080	0.17500
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000050058	Murinae	0.19360	0.41590
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000049914	Murinae	0.18580	0.57450
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000047375	Murinae	0.21060	0.54570
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000046499	Murinae	0.22300	0.48780
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000047404	Murinae	0.19940	0.56550
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000050475	Murinae	0.20750	0.43520
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000046755	Murinae	0.21060	0.54570
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000050248	Murinae	0.22770	0.64660
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000049974	Murinae	0.19040	0.47060
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000047583	Murinae	0.24580	0.59150
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000046680	Murinae	0.21390	0.58570
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000046082	Murinae	0.19740	0.54380
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000048112	Murinae	0.17570	0.47210
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000045688	Murinae	0.18140	0.48110
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000050576	Murinae	0.17570	0.47770
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000047731	Murinae	0.21970	0.56940
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000049082	Murinae	0.19910	0.50280
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000046908	Murinae	0.23930	0.44910
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000048362	Murinae	0.17350	0.53290
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000049619	Murinae	0.18820	0.46990
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000047569	Murinae	0.24050	0.67790
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000047423	Murinae	0.19570	0.56270
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000032295	Murinae	0.23150	0.49430
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000047588	Murinae	0.22970	0.57390
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000045784	Murinae	0.19700	0.50590
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000049869	Murinae	0.20090	0.52030
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000048313	Murinae	0.24890	0.60350
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000048616	Murinae	0.22800	0.48710
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000047899	Murinae	0.21600	0.53940
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000029974	Murinae	0.14850	0.44280
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000050590	Murinae	0.18880	0.54040
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000046562	Murinae	0.22520	0.61150
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000046965	Murinae	0.23040	0.66610
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000046287	Murinae	0.23150	0.49430
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000046206	Murinae	0.20310	0.52200
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000048777	Murinae	0.22880	0.67040
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000050350	Murinae	0.19740	0.54380
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000049210	Murinae	0.21580	0.57710
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000045833	Murinae	0.22800	0.48710
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000046514	Murinae	0.21840	0.66020
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000047500	Murinae	0.20120	0.47650
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000025606	Murinae	0.19370	0.46120
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000045862	Murinae	0.22030	0.52290
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000050505	Murinae	0.17570	0.47770
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000048127	Murinae	0.21600	0.53940
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000047640	Murinae	0.21350	0.58460
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000045536	Murinae	0.22030	0.52460
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000048717	Murinae	0.19130	0.54380
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000049353	Murinae	0.23930	0.44910
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000049570	Murinae	0.19080	0.41570
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000045901	Murinae	0.22340	0.60200
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000050662	Murinae	0.18710	0.51220
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000048923	Murinae	0.22740	0.57420
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000047403	Murinae	0.19630	0.41780
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000048649	Murinae	0.20120	0.47650
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000046743	Murinae	0.22790	0.45350
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000050936	Murinae	0.21470	0.61630
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000047024	Murinae	0.24540	0.52330
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000050154	Murinae	0.21390	0.58570
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000045603	Murinae	0.16750	0.45260
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000049800	Murinae	0.18280	0.43990
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000048311	Murinae	0.20290	0.52210
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000047245	Murinae	0.17820	0.52470
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000050592	Murinae	0.18640	0.50930
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000048792	Murinae	0.24470	0.66970
ENSMUSG00000096122	ortholog_many2many	ENSRNOG00000047389	Murinae	0.22030	0.52460
ENSMUSG00000022346	ortholog_one2one	ENSRNOG00000004500	Murinae	0.02440	0.24310
ENSMUSG00000082362					
ENSMUSG00000082555					
ENSMUSG00000100036					
ENSMUSG00000097586					
ENSMUSG00000046615	ortholog_one2one	ENSRNOG00000003456	Murinae	0.02900	0.22440
ENSMUSG00000099710					
ENSMUSG00000095803					
ENSMUSG00000037197	ortholog_one2one	ENSRNOG00000018767	Murinae	0.00220	0.23310
ENSMUSG00000047390					
ENSMUSG00000035829	ortholog_one2one	ENSRNOG00000027193	Murinae	0.05400	0.18350
ENSMUSG00000094149	ortholog_many2many	ENSRNOG00000048104	Murinae	0.14620	0.19250
ENSMUSG00000094149	ortholog_many2many	ENSRNOG00000048505	Murinae	0.15580	0.17670
ENSMUSG00000094149	ortholog_many2many	ENSRNOG00000049710	Murinae	0.14640	0.20410
ENSMUSG00000097053					
ENSMUSG00000085772					
ENSMUSG00000099355					
ENSMUSG00000103805					
ENSMUSG00000020224	ortholog_one2one	ENSRNOG00000004316	Murinae	0.04490	0.39120
ENSMUSG00000096333	ortholog_one2many	ENSRNOG00000048537	Murinae	0.47850	0.49600
ENSMUSG00000096283	ortholog_one2many	ENSRNOG00000038674	Murinae	0.14270	0.27460
ENSMUSG00000102267					
ENSMUSG00000024797	ortholog_one2one	ENSRNOG00000020996	Murinae	0.00540	0.19420
ENSMUSG00000074491	ortholog_one2one	ENSRNOG00000040126	Murinae	0.06640	0.15620
ENSMUSG00000023873	ortholog_one2one	ENSRNOG00000011243	Murinae	0.15250	0.36670
ENSMUSG00000102028					
ENSMUSG00000102344					
ENSMUSG00000081202					
ENSMUSG00000055602	ortholog_one2many	ENSRNOG00000013374	Murinae	0.20940	0.48680
ENSMUSG00000066152	ortholog_one2one	ENSRNOG00000013631	Murinae	0.01710	0.07990
ENSMUSG00000032023	ortholog_one2one	ENSRNOG00000008138	Murinae	0.11030	0.22460
ENSMUSG00000084085					
ENSMUSG00000047652					
ENSMUSG00000031273	ortholog_one2one	ENSRNOG00000018856	Amniota	0.06170	0.12970
ENSMUSG00000103688					
ENSMUSG00000083949					
ENSMUSG00000085002					
ENSMUSG00000068950	ortholog_one2one	ENSRNOG00000049538	Murinae	0.05370	0.25650
ENSMUSG00000083867					
ENSMUSG00000082833					
ENSMUSG00000085275					
ENSMUSG00000096654					
ENSMUSG00000084826					
ENSMUSG00000103277					
ENSMUSG00000103440					
ENSMUSG00000102592					
ENSMUSG00000093726					
ENSMUSG00000097250					
ENSMUSG00000062210	ortholog_one2one	ENSRNOG00000026136	Murinae	0.00760	0.29840
ENSMUSG00000083101					
ENSMUSG00000037169	ortholog_one2one	ENSRNOG00000006308	Murinae	0.01350	0.23180
ENSMUSG00000083365					
ENSMUSG00000093485					
ENSMUSG00000081296					
ENSMUSG00000063522	ortholog_one2many	ENSRNOG00000023543	Murinae	0.15000	0.29040
ENSMUSG00000063522	ortholog_one2many	ENSRNOG00000047072	Murinae	0.15620	0.32440
ENSMUSG00000038181	ortholog_one2one	ENSRNOG00000010466	Murinae	0.01150	0.16980
ENSMUSG00000094862	ortholog_many2many	ENSRNOG00000050561	Murinae	0.13430	0.20810
ENSMUSG00000094862	ortholog_many2many	ENSRNOG00000049315	Murinae	0.12970	0.20520
ENSMUSG00000094862	ortholog_many2many	ENSRNOG00000047831	Murinae	0.14510	0.23420
ENSMUSG00000094862	ortholog_many2many	ENSRNOG00000048384	Murinae	0.12440	0.22180
ENSMUSG00000094862	ortholog_many2many	ENSRNOG00000047290	Murinae	0.12760	0.23010
ENSMUSG00000102242					
ENSMUSG00000104363					
ENSMUSG00000086482					
ENSMUSG00000046807	ortholog_one2one	ENSRNOG00000046428	Murinae	0.00880	0.22790
ENSMUSG00000063929	ortholog_one2many	ENSRNOG00000009597	Murinae	0.05210	0.22160
ENSMUSG00000046203	ortholog_one2one	ENSRNOG00000009115	Murinae	0.08430	0.27530
ENSMUSG00000050108	ortholog_one2one	ENSRNOG00000022937	Murinae	0.08460	0.17390
ENSMUSG00000101690					
ENSMUSG00000101170					
ENSMUSG00000082384					
ENSMUSG00000086646					
ENSMUSG00000086043					
ENSMUSG00000099087					
ENSMUSG00000067063					
ENSMUSG00000068614	ortholog_one2one	ENSRNOG00000008536	Murinae	0.00000	0.28950
ENSMUSG00000092261					
ENSMUSG00000025780	ortholog_one2one	ENSRNOG00000002505	Euteleostomi	0.59400	66.53880
ENSMUSG00000075046					
ENSMUSG00000084787					
ENSMUSG00000093567					
ENSMUSG00000042712	ortholog_one2one	ENSRNOG00000034198	Murinae	0.03970	0.36660
ENSMUSG00000103112					
ENSMUSG00000079523	ortholog_one2one	ENSRNOG00000036921	Eutheria	0.00000	0.02740
ENSMUSG00000103439					
ENSMUSG00000036181					
ENSMUSG00000023046	ortholog_one2one	ENSRNOG00000010977	Murinae	0.03240	0.17460
ENSMUSG00000101337	ortholog_one2many	ENSRNOG00000012223	Murinae	0.03330	0.20490
ENSMUSG00000073926					
ENSMUSG00000102205					
ENSMUSG00000083450					
ENSMUSG00000086326					
ENSMUSG00000086519					
ENSMUSG00000094464	ortholog_many2many	ENSRNOG00000030855	Murinae	0.05880	0.20100
ENSMUSG00000094464	ortholog_many2many	ENSRNOG00000046801	Murinae	0.06590	0.19590
ENSMUSG00000078184	ortholog_one2many	ENSRNOG00000021215	Murinae	0.01090	0.17050
ENSMUSG00000043439	ortholog_one2one	ENSRNOG00000048187	Murinae	0.07060	0.15620
ENSMUSG00000061356	ortholog_one2one	ENSRNOG00000018238	Murinae	0.04410	0.19110
ENSMUSG00000087442					
ENSMUSG00000085653					
ENSMUSG00000086892					
ENSMUSG00000102434					
ENSMUSG00000066324	ortholog_one2many	ENSRNOG00000027079	Murinae	0.04170	0.20090
ENSMUSG00000066324	ortholog_one2many	ENSRNOG00000046647	Murinae	0.04170	0.20090
ENSMUSG00000100667					
ENSMUSG00000092596					
ENSMUSG00000050192	ortholog_one2one	ENSRNOG00000011859	Murinae	0.00000	0.11080
ENSMUSG00000074203					
ENSMUSG00000085715					
ENSMUSG00000100096					
ENSMUSG00000067704	ortholog_one2one	ENSRNOG00000045656	Murinae	0.43280	1.28710
ENSMUSG00000019872	ortholog_one2one	ENSRNOG00000000815	Murinae	0.04660	0.18090
ENSMUSG00000080241					
ENSMUSG00000092603					
ENSMUSG00000044058					
ENSMUSG00000078491					
ENSMUSG00000100391					
ENSMUSG00000084311					
ENSMUSG00000081767					
ENSMUSG00000081512					
ENSMUSG00000085586					
ENSMUSG00000101842					
ENSMUSG00000092203					
ENSMUSG00000029866	ortholog_one2one	ENSRNOG00000015682	Murinae	0.05780	0.14590
ENSMUSG00000035293	ortholog_one2one	ENSRNOG00000004232	Murinae	0.04670	0.18190
ENSMUSG00000100635					
ENSMUSG00000090535					
ENSMUSG00000102321					
ENSMUSG00000057191	ortholog_one2one	ENSRNOG00000033256	Murinae	0.05630	0.23530
ENSMUSG00000086503					
ENSMUSG00000100764					
ENSMUSG00000095064	ortholog_many2many	ENSRNOG00000048104	Murinae	0.14610	0.20870
ENSMUSG00000095064	ortholog_many2many	ENSRNOG00000048505	Murinae	0.14130	0.21150
ENSMUSG00000095064	ortholog_many2many	ENSRNOG00000049710	Murinae	0.14620	0.22100
ENSMUSG00000048772	ortholog_one2one	ENSRNOG00000019186	Murinae	0.01690	0.18710
ENSMUSG00000070509	ortholog_one2one	ENSRNOG00000012874	Murinae	0.02750	0.30280
ENSMUSG00000089806					
ENSMUSG00000030603	ortholog_one2one	ENSRNOG00000018994	Murinae	0.00000	0.20900
ENSMUSG00000091408					
ENSMUSG00000051648	ortholog_one2one	ENSRNOG00000016760	Murinae	0.03310	0.20540
ENSMUSG00000028647	ortholog_one2one	ENSRNOG00000017166	Murinae	0.00000	0.02210
ENSMUSG00000093798					
ENSMUSG00000006998	ortholog_one2many	ENSRNOG00000001719	Murinae	0.00160	0.20190
ENSMUSG00000059645	ortholog_many2many	ENSRNOG00000050237	Murinae	0.46970	0.51850
ENSMUSG00000059645	ortholog_many2many	ENSRNOG00000045837	Murinae	0.47370	0.51530
ENSMUSG00000059645	ortholog_many2many	ENSRNOG00000047210	Murinae	0.34980	0.48000
ENSMUSG00000059645	ortholog_many2many	ENSRNOG00000050034	Murinae	0.35550	0.53710
ENSMUSG00000059645	ortholog_many2many	ENSRNOG00000047861	Murinae	0.40110	0.50970
ENSMUSG00000059645	ortholog_many2many	ENSRNOG00000033874	Murinae	0.38350	0.51880
ENSMUSG00000059645	ortholog_many2many	ENSRNOG00000049042	Murinae	0.36220	0.60140
ENSMUSG00000059645	ortholog_many2many	ENSRNOG00000047845	Murinae	0.45300	0.58490
ENSMUSG00000059645	ortholog_many2many	ENSRNOG00000049468	Murinae	0.44610	0.51970
ENSMUSG00000059645	ortholog_many2many	ENSRNOG00000050916	Murinae	0.34610	0.50490
ENSMUSG00000059645	ortholog_many2many	ENSRNOG00000049312	Murinae	0.45020	0.63080
ENSMUSG00000059645	ortholog_many2many	ENSRNOG00000047982	Murinae	0.37190	0.55690
ENSMUSG00000059645	ortholog_many2many	ENSRNOG00000033861	Murinae	0.44030	1.97700
