Mouse_gene_Ensembl_id	Zebrafish_ortholog1_Ensembl_id	Zebrafish_ortholog2_Ensembl_id	Ensembl_gene_tree_id
ENSMUSG00000028857	ENSDARG00000074503	ENSDARG00000069589	ENSGT00390000007371
ENSMUSG00000074971	ENSDARG00000039949	ENSDARG00000087196	ENSGT00390000007623
ENSMUSG00000030126	ENSDARG00000076747	ENSDARG00000060954	ENSGT00390000007639
ENSMUSG00000027859	ENSDARG00000058961	ENSDARG00000014050	ENSGT00390000007725
ENSMUSG00000020722	ENSDARG00000008772	ENSDARG00000052360	ENSGT00390000007786
ENSMUSG00000010054	ENSDARG00000052875	ENSDARG00000025340	ENSGT00390000008040
ENSMUSG00000086228	ENSDARG00000091843	ENSDARG00000089217	ENSGT00390000008092
ENSMUSG00000038605	ENSDARG00000079978	ENSDARG00000094377	ENSGT00390000008161
ENSMUSG00000027889	ENSDARG00000029952	ENSDARG00000088554	ENSGT00390000008190
ENSMUSG00000005686	ENSDARG00000005800	ENSDARG00000032469	ENSGT00390000008190
ENSMUSG00000021306	ENSDARG00000078448	ENSDARG00000077608	ENSGT00390000008320
ENSMUSG00000020661	ENSDARG00000015566	ENSDARG00000005394	ENSGT00390000008341
ENSMUSG00000050666	ENSDARG00000053186	ENSDARG00000010154	ENSGT00390000008566
ENSMUSG00000035131	ENSDARG00000075352	ENSDARG00000076351	ENSGT00390000008571
ENSMUSG00000035199	ENSDARG00000016238	ENSDARG00000077044	ENSGT00390000008631
ENSMUSG00000005716	ENSDARG00000009311	ENSDARG00000034705	ENSGT00390000008690
ENSMUSG00000029618	ENSDARG00000071601	ENSDARG00000037790	ENSGT00390000008690
ENSMUSG00000027341	ENSDARG00000069674	ENSDARG00000027687	ENSGT00390000008694
ENSMUSG00000027327	ENSDARG00000076239	ENSDARG00000087426	ENSGT00390000008711
ENSMUSG00000033419	ENSDARG00000076591	ENSDARG00000015931	ENSGT00390000008805
ENSMUSG00000039361	ENSDARG00000012866	ENSDARG00000014137	ENSGT00390000008805
ENSMUSG00000048895	ENSDARG00000037916	ENSDARG00000045087	ENSGT00390000008812
ENSMUSG00000032294	ENSDARG00000003191	ENSDARG00000003933	ENSGT00390000008859
ENSMUSG00000016344	ENSDARG00000007682	ENSDARG00000031317	ENSGT00390000009113
ENSMUSG00000040616	ENSDARG00000068575	ENSDARG00000061916	ENSGT00390000009278
ENSMUSG00000074006	ENSDARG00000044475	ENSDARG00000032380	ENSGT00390000009497
ENSMUSG00000031934	ENSDARG00000025285	ENSDARG00000014910	ENSGT00390000009703
ENSMUSG00000028788	ENSDARG00000087443	ENSDARG00000035676	ENSGT00390000009788
ENSMUSG00000006542	ENSDARG00000000369	ENSDARG00000017537	ENSGT00390000009849
ENSMUSG00000036561	ENSDARG00000045540	ENSDARG00000069654	ENSGT00390000009899
ENSMUSG00000052837	ENSDARG00000088371	ENSDARG00000074378	ENSGT00390000009929
ENSMUSG00000030401	ENSDARG00000057027	ENSDARG00000016088	ENSGT00390000009934
ENSMUSG00000026933	ENSDARG00000019208	ENSDARG00000035122	ENSGT00390000010026
ENSMUSG00000044433	ENSDARG00000091359	ENSDARG00000059475	ENSGT00390000010026
ENSMUSG00000041570	ENSDARG00000059965	ENSDARG00000062173	ENSGT00390000010026
ENSMUSG00000056296	ENSDARG00000044278	ENSDARG00000037587	ENSGT00390000010039
ENSMUSG00000031144	ENSDARG00000042974	ENSDARG00000002230	ENSGT00390000010039
ENSMUSG00000027887	ENSDARG00000055307	ENSDARG00000000690	ENSGT00390000010039
ENSMUSG00000049323	ENSDARG00000052818	ENSDARG00000015803	ENSGT00390000010052
ENSMUSG00000027195	ENSDARG00000015709	ENSDARG00000035872	ENSGT00390000010069
ENSMUSG00000034714	ENSDARG00000016934	ENSDARG00000010727	ENSGT00390000010182
ENSMUSG00000035498	ENSDARG00000091784	ENSDARG00000058943	ENSGT00390000010209
ENSMUSG00000033502	ENSDARG00000057016	ENSDARG00000013858	ENSGT00390000010254
ENSMUSG00000040046	ENSDARG00000036082	ENSDARG00000029432	ENSGT00390000010268
ENSMUSG00000031838	ENSDARG00000056378	ENSDARG00000075629	ENSGT00390000010450
ENSMUSG00000044005	ENSDARG00000069095	ENSDARG00000002917	ENSGT00390000010463
ENSMUSG00000046985	ENSDARG00000073999	ENSDARG00000061143	ENSGT00390000010628
ENSMUSG00000068566	ENSDARG00000086815	ENSDARG00000038709	ENSGT00390000010832
ENSMUSG00000032452	ENSDARG00000060637	ENSDARG00000060638	ENSGT00390000010858
ENSMUSG00000050711	ENSDARG00000017470	ENSDARG00000038574	ENSGT00390000010895
ENSMUSG00000045967	ENSDARG00000077134	ENSDARG00000079665	ENSGT00390000010934
ENSMUSG00000042821	ENSDARG00000046019	ENSDARG00000056995	ENSGT00390000011027
ENSMUSG00000020593	ENSDARG00000076096	ENSDARG00000020239	ENSGT00390000011286
ENSMUSG00000022437	ENSDARG00000045814	ENSDARG00000039681	ENSGT00390000011355
ENSMUSG00000026668	ENSDARG00000005485	ENSDARG00000027799	ENSGT00390000011492
ENSMUSG00000037458	ENSDARG00000035869	ENSDARG00000052789	ENSGT00390000011560
ENSMUSG00000070330	ENSDARG00000091406	ENSDARG00000089276	ENSGT00390000011615
ENSMUSG00000039117	ENSDARG00000068192	ENSDARG00000090925	ENSGT00390000011620
ENSMUSG00000046916	ENSDARG00000088546	ENSDARG00000056125	ENSGT00390000011642
ENSMUSG00000055762	ENSDARG00000030053	ENSDARG00000008109	ENSGT00390000011747
ENSMUSG00000056004	ENSDARG00000004386	ENSDARG00000042213	ENSGT00390000011781
ENSMUSG00000040339	ENSDARG00000002333	ENSDARG00000053104	ENSGT00390000011832
ENSMUSG00000038582	ENSDARG00000011122	ENSDARG00000052658	ENSGT00390000011937
ENSMUSG00000027273	ENSDARG00000020609	ENSDARG00000058117	ENSGT00390000012186
ENSMUSG00000045034	ENSDARG00000061641	ENSDARG00000077086	ENSGT00390000012355
ENSMUSG00000017548	ENSDARG00000070256	ENSDARG00000052022	ENSGT00390000012364
ENSMUSG00000020282	ENSDARG00000017367	ENSDARG00000036541	ENSGT00390000012532
ENSMUSG00000004296	ENSDARG00000033727	ENSDARG00000054542	ENSGT00390000012630
ENSMUSG00000028128	ENSDARG00000005673	ENSDARG00000021013	ENSGT00390000012668
ENSMUSG00000029474	ENSDARG00000038300	ENSDARG00000054036	ENSGT00390000012719
ENSMUSG00000051373	ENSDARG00000052033	ENSDARG00000075020	ENSGT00390000012789
ENSMUSG00000036151	ENSDARG00000029982	ENSDARG00000029057	ENSGT00390000012913
ENSMUSG00000033918	ENSDARG00000020891	ENSDARG00000039310	ENSGT00390000013063
ENSMUSG00000003657	ENSDARG00000036344	ENSDARG00000041062	ENSGT00390000013118
ENSMUSG00000036206	ENSDARG00000020000	ENSDARG00000030104	ENSGT00390000013151
ENSMUSG00000033065	ENSDARG00000014179	ENSDARG00000060797	ENSGT00390000013209
ENSMUSG00000021196	ENSDARG00000028000	ENSDARG00000012801	ENSGT00390000013209
ENSMUSG00000038028	ENSDARG00000051749	ENSDARG00000045858	ENSGT00390000013224
ENSMUSG00000022051	ENSDARG00000028067	ENSDARG00000025468	ENSGT00390000013415
ENSMUSG00000021361	ENSDARG00000079272	ENSDARG00000075180	ENSGT00390000013475
ENSMUSG00000030098	ENSDARG00000027618	ENSDARG00000087187	ENSGT00390000013494
ENSMUSG00000049721	ENSDARG00000062711	ENSDARG00000078245	ENSGT00390000013505
ENSMUSG00000009863	ENSDARG00000075768	ENSDARG00000092713	ENSGT00390000013558
ENSMUSG00000034297	ENSDARG00000003910	ENSDARG00000053884	ENSGT00390000013680
ENSMUSG00000027574	ENSDARG00000042961	ENSDARG00000062699	ENSGT00390000013699
ENSMUSG00000072568	ENSDARG00000040280	ENSDARG00000032859	ENSGT00390000013755
ENSMUSG00000041794	ENSDARG00000038814	ENSDARG00000075706	ENSGT00390000013933
ENSMUSG00000026303	ENSDARG00000062481	ENSDARG00000070991	ENSGT00390000013933
ENSMUSG00000027674	ENSDARG00000022518	ENSDARG00000074403	ENSGT00390000013941
ENSMUSG00000061353	ENSDARG00000037116	ENSDARG00000055100	ENSGT00390000014056
ENSMUSG00000035958	ENSDARG00000069941	ENSDARG00000035954	ENSGT00390000014242
ENSMUSG00000038267	ENSDARG00000078856	ENSDARG00000079638	ENSGT00390000014377
ENSMUSG00000040722	ENSDARG00000040274	ENSDARG00000018743	ENSGT00390000014393
ENSMUSG00000024191	ENSDARG00000078063	ENSDARG00000078259	ENSGT00390000014412
ENSMUSG00000002058	ENSDARG00000044362	ENSDARG00000034453	ENSGT00390000014595
ENSMUSG00000022876	ENSDARG00000078647	ENSDARG00000054543	ENSGT00390000014672
ENSMUSG00000015305	ENSDARG00000007179	ENSDARG00000058853	ENSGT00390000014672
ENSMUSG00000027397	ENSDARG00000010641	ENSDARG00000020114	ENSGT00390000014879
ENSMUSG00000045767	ENSDARG00000078202	ENSDARG00000060018	ENSGT00390000014889
ENSMUSG00000026766	ENSDARG00000005870	ENSDARG00000041602	ENSGT00390000015050
ENSMUSG00000041323	ENSDARG00000017023	ENSDARG00000019001	ENSGT00390000015102
ENSMUSG00000002111	ENSDARG00000067797	ENSDARG00000000767	ENSGT00390000015212
ENSMUSG00000033960	ENSDARG00000088405	ENSDARG00000089871	ENSGT00390000015348
ENSMUSG00000049686	ENSDARG00000011515	ENSDARG00000004154	ENSGT00390000015354
ENSMUSG00000032515	ENSDARG00000038429	ENSDARG00000031426	ENSGT00390000015510
ENSMUSG00000029726	ENSDARG00000035771	ENSDARG00000059461	ENSGT00390000015611
ENSMUSG00000042195	ENSDARG00000090686	ENSDARG00000069745	ENSGT00390000015655
ENSMUSG00000026558	ENSDARG00000022213	ENSDARG00000006074	ENSGT00390000015696
ENSMUSG00000041408	ENSDARG00000044144	ENSDARG00000029768	ENSGT00390000015768
ENSMUSG00000042988	ENSDARG00000091540	ENSDARG00000031126	ENSGT00390000015892
ENSMUSG00000045790	ENSDARG00000020857	ENSDARG00000078829	ENSGT00390000015958
ENSMUSG00000027071	ENSDARG00000010477	ENSDARG00000029718	ENSGT00390000016028
ENSMUSG00000005950	ENSDARG00000004455	ENSDARG00000024139	ENSGT00390000016028
ENSMUSG00000067995	ENSDARG00000069910	ENSDARG00000006816	ENSGT00390000016051
ENSMUSG00000023978	ENSDARG00000038018	ENSDARG00000014840	ENSGT00390000016192
ENSMUSG00000032540	ENSDARG00000078831	ENSDARG00000076874	ENSGT00390000016277
ENSMUSG00000017119	ENSDARG00000077297	ENSDARG00000078772	ENSGT00390000016335
ENSMUSG00000021453	ENSDARG00000044676	ENSDARG00000016725	ENSGT00390000016506
ENSMUSG00000036646	ENSDARG00000076592	ENSDARG00000073792	ENSGT00390000016529
ENSMUSG00000028826	ENSDARG00000005625	ENSDARG00000012741	ENSGT00390000016613
ENSMUSG00000020660	ENSDARG00000043135	ENSDARG00000069307	ENSGT00390000016811
ENSMUSG00000034591	ENSDARG00000075803	ENSDARG00000073881	ENSGT00390000016816
ENSMUSG00000032648	ENSDARG00000055518	ENSDARG00000013317	ENSGT00390000016886
ENSMUSG00000020089	ENSDARG00000034201	ENSDARG00000030441	ENSGT00390000017004
ENSMUSG00000036853	ENSDARG00000043034	ENSDARG00000078363	ENSGT00390000017126
ENSMUSG00000004567	ENSDARG00000002285	ENSDARG00000058848	ENSGT00390000017126
ENSMUSG00000033411	ENSDARG00000061587	ENSDARG00000060586	ENSGT00390000017194
ENSMUSG00000025658	ENSDARG00000073707	ENSDARG00000074480	ENSGT00390000017199
ENSMUSG00000045288	ENSDARG00000004322	ENSDARG00000076079	ENSGT00390000017548
ENSMUSG00000079588	ENSDARG00000040374	ENSDARG00000087285	ENSGT00390000017581
ENSMUSG00000056121	ENSDARG00000022260	ENSDARG00000073784	ENSGT00390000017627
ENSMUSG00000054958	ENSDARG00000070590	ENSDARG00000035883	ENSGT00390000017767
ENSMUSG00000055717	ENSDARG00000077888	ENSDARG00000019185	ENSGT00390000017860
ENSMUSG00000042510	ENSDARG00000074827	ENSDARG00000070229	ENSGT00390000017874
ENSMUSG00000027835	ENSDARG00000012591	ENSDARG00000035054	ENSGT00390000017913
ENSMUSG00000060568	ENSDARG00000063018	ENSDARG00000062889	ENSGT00390000018059
ENSMUSG00000043190	ENSDARG00000042159	ENSDARG00000058725	ENSGT00390000018225
ENSMUSG00000032020	ENSDARG00000077399	ENSDARG00000061243	ENSGT00390000018249
ENSMUSG00000024896	ENSDARG00000057058	ENSDARG00000045172	ENSGT00390000018409
ENSMUSG00000029276	ENSDARG00000010958	ENSDARG00000058267	ENSGT00390000018446
ENSMUSG00000040848	ENSDARG00000071159	ENSDARG00000070746	ENSGT00390000018525
ENSMUSG00000019194	ENSDARG00000071252	ENSDARG00000060222	ENSGT00390000018560
ENSMUSG00000030878	ENSDARG00000037359	ENSDARG00000035952	ENSGT00390000018570
ENSMUSG00000021113	ENSDARG00000029569	ENSDARG00000003827	ENSGT00390000018691
ENSMUSG00000000159	ENSDARG00000090953	ENSDARG00000087983	ENSGT00390000018711
ENSMUSG00000025271	ENSDARG00000037140	ENSDARG00000074457	ENSGT00390000018751
ENSMUSG00000025648	ENSDARG00000055540	ENSDARG00000029075	ENSGT00390000018751
ENSMUSG00000050671	ENSDARG00000053859	ENSDARG00000089691	ENSGT00390000018792
ENSMUSG00000032818	ENSDARG00000074638	ENSDARG00000094738	ENSGT00390000018830
ENSMUSG00000028106	ENSDARG00000074676	ENSDARG00000058089	ENSGT00400000022016
ENSMUSG00000034522	ENSDARG00000024195	ENSDARG00000060113	ENSGT00400000022069
ENSMUSG00000038990	ENSDARG00000076964	ENSDARG00000017154	ENSGT00400000022086
ENSMUSG00000039697	ENSDARG00000077559	ENSDARG00000074924	ENSGT00410000025363
ENSMUSG00000049327	ENSDARG00000076551	ENSDARG00000068319	ENSGT00410000025501
ENSMUSG00000040612	ENSDARG00000014180	ENSDARG00000096600	ENSGT00430000030906
ENSMUSG00000069814	ENSDARG00000090642	ENSDARG00000087088	ENSGT00430000031027
ENSMUSG00000029338	ENSDARG00000060520	ENSDARG00000063011	ENSGT00430000031214
ENSMUSG00000034235	ENSDARG00000077749	ENSDARG00000077948	ENSGT00440000033513
ENSMUSG00000017639	ENSDARG00000053855	ENSDARG00000070319	ENSGT00440000033742
ENSMUSG00000048330	ENSDARG00000077459	ENSDARG00000075986	ENSGT00440000034107
ENSMUSG00000020717	ENSDARG00000060263	ENSDARG00000086918	ENSGT00440000034155
ENSMUSG00000050390	ENSDARG00000061804	ENSDARG00000060340	ENSGT00440000038119
ENSMUSG00000061911	ENSDARG00000006212	ENSDARG00000008209	ENSGT00440000038465
ENSMUSG00000010505	ENSDARG00000089464	ENSDARG00000074030	ENSGT00440000038465
ENSMUSG00000000902	ENSDARG00000033647	ENSDARG00000011594	ENSGT00440000038585
ENSMUSG00000015094	ENSDARG00000056156	ENSDARG00000074697	ENSGT00440000038604
ENSMUSG00000022389	ENSDARG00000039117	ENSDARG00000038401	ENSGT00440000039070
ENSMUSG00000022391	ENSDARG00000056059	ENSDARG00000041317	ENSGT00440000039203
ENSMUSG00000031701	ENSDARG00000023921	ENSDARG00000010745	ENSGT00490000043321
ENSMUSG00000046694	ENSDARG00000011797	ENSDARG00000039943	ENSGT00500000044785
ENSMUSG00000032265	ENSDARG00000037183	ENSDARG00000054641	ENSGT00500000044785
ENSMUSG00000005994	ENSDARG00000056151	ENSDARG00000029204	ENSGT00500000044790
ENSMUSG00000006301	ENSDARG00000090534	ENSDARG00000058323	ENSGT00500000044791
ENSMUSG00000020038	ENSDARG00000045768	ENSDARG00000011583	ENSGT00500000044813
ENSMUSG00000022237	ENSDARG00000058357	ENSDARG00000015589	ENSGT00500000044852
ENSMUSG00000047034	ENSDARG00000055638	ENSDARG00000002508	ENSGT00500000044852
ENSMUSG00000026469	ENSDARG00000029671	ENSDARG00000062449	ENSGT00500000044895
ENSMUSG00000018666	ENSDARG00000004189	ENSDARG00000054442	ENSGT00510000046310
ENSMUSG00000040212	ENSDARG00000054894	ENSDARG00000036428	ENSGT00510000046328
ENSMUSG00000040276	ENSDARG00000032865	ENSDARG00000042128	ENSGT00510000046376
ENSMUSG00000019487	ENSDARG00000005679	ENSDARG00000077953	ENSGT00510000046403
ENSMUSG00000028654	ENSDARG00000006003	ENSDARG00000034956	ENSGT00510000046414
ENSMUSG00000028524	ENSDARG00000077269	ENSDARG00000097897	ENSGT00510000046419
ENSMUSG00000002006	ENSDARG00000090564	ENSDARG00000060182	ENSGT00510000046421
ENSMUSG00000020167	ENSDARG00000005915	ENSDARG00000052383	ENSGT00510000046438
ENSMUSG00000068747	ENSDARG00000056252	ENSDARG00000029402	ENSGT00510000046443
ENSMUSG00000007021	ENSDARG00000014871	ENSDARG00000025034	ENSGT00510000046450
ENSMUSG00000035314	ENSDARG00000076962	ENSDARG00000077284	ENSGT00510000046457
ENSMUSG00000042364	ENSDARG00000067713	ENSDARG00000044246	ENSGT00510000046469
ENSMUSG00000036197	ENSDARG00000076111	ENSDARG00000022550	ENSGT00510000046589
ENSMUSG00000031708	ENSDARG00000070956	ENSDARG00000025904	ENSGT00510000046645
ENSMUSG00000021236	ENSDARG00000053481	ENSDARG00000093659	ENSGT00510000046675
ENSMUSG00000004939	ENSDARG00000078945	ENSDARG00000067848	ENSGT00510000046782
ENSMUSG00000027879	ENSDARG00000030108	ENSDARG00000093866	ENSGT00510000046833
ENSMUSG00000023022	ENSDARG00000074020	ENSDARG00000076009	ENSGT00510000046839
ENSMUSG00000046668	ENSDARG00000078865	ENSDARG00000075735	ENSGT00510000046972
ENSMUSG00000022548	ENSDARG00000057437	ENSDARG00000060345	ENSGT00510000046981
ENSMUSG00000096883	ENSDARG00000090314	ENSDARG00000088204	ENSGT00510000047247
ENSMUSG00000022494	ENSDARG00000045145	ENSDARG00000052642	ENSGT00510000047247
ENSMUSG00000046312	ENSDARG00000074894	ENSDARG00000059678	ENSGT00510000047561
ENSMUSG00000069581	ENSDARG00000089235	ENSDARG00000077580	ENSGT00510000047718
ENSMUSG00000034157	ENSDARG00000078095	ENSDARG00000075397	ENSGT00510000048522
ENSMUSG00000019961	ENSDARG00000022978	ENSDARG00000007315	ENSGT00510000048934
ENSMUSG00000040723	ENSDARG00000059774	ENSDARG00000074913	ENSGT00510000049038
ENSMUSG00000045731	ENSDARG00000025024	ENSDARG00000024189	ENSGT00510000049153
ENSMUSG00000035041	ENSDARG00000056226	ENSDARG00000090903	ENSGT00520000055538
ENSMUSG00000008734	ENSDARG00000075141	ENSDARG00000077080	ENSGT00520000055551
ENSMUSG00000022856	ENSDARG00000026771	ENSDARG00000070028	ENSGT00520000055582
ENSMUSG00000028519	ENSDARG00000003290	ENSDARG00000059939	ENSGT00520000055585
ENSMUSG00000038143	ENSDARG00000078572	ENSDARG00000070162	ENSGT00520000055589
ENSMUSG00000027457	ENSDARG00000075539	ENSDARG00000078485	ENSGT00520000055634
ENSMUSG00000022475	ENSDARG00000093701	ENSDARG00000073850	ENSGT00530000062809
ENSMUSG00000054702	ENSDARG00000027966	ENSDARG00000076073	ENSGT00530000062839
ENSMUSG00000039814	ENSDARG00000057155	ENSDARG00000097530	ENSGT00530000062854
ENSMUSG00000042631	ENSDARG00000026333	ENSDARG00000036952	ENSGT00530000062854
ENSMUSG00000034258	ENSDARG00000038957	ENSDARG00000031506	ENSGT00530000062892
ENSMUSG00000057337	ENSDARG00000061070	ENSDARG00000077844	ENSGT00530000062902
ENSMUSG00000021991	ENSDARG00000045204	ENSDARG00000078760	ENSGT00530000062904
ENSMUSG00000040694	ENSDARG00000018881	ENSDARG00000034604	ENSGT00530000062933
ENSMUSG00000037295	ENSDARG00000004311	ENSDARG00000039750	ENSGT00530000062937
ENSMUSG00000025557	ENSDARG00000044528	ENSDARG00000077192	ENSGT00530000062961
ENSMUSG00000001143	ENSDARG00000088663	ENSDARG00000018865	ENSGT00530000062977
