Mouse_gene_Ensembl_id	Zebrafish_ortholog_Ensembl_id	Ensembl_gene_tree_id
ENSMUSG00000042757	ENSDARG00000090230	ENSGT00390000000626
ENSMUSG00000038696	ENSDARG00000091777	ENSGT00390000000642
ENSMUSG00000029097	ENSDARG00000033957	ENSGT00390000000645
ENSMUSG00000071324	ENSDARG00000022660	ENSGT00390000000663
ENSMUSG00000035762	ENSDARG00000055989	ENSGT00390000000672
ENSMUSG00000002342	ENSDARG00000012790	ENSGT00390000000672
ENSMUSG00000028096	ENSDARG00000077983	ENSGT00390000000684
ENSMUSG00000000346	ENSDARG00000007867	ENSGT00390000000685
ENSMUSG00000030663	ENSDARG00000022564	ENSGT00390000000687
ENSMUSG00000044350	ENSDARG00000076914	ENSGT00390000000693
ENSMUSG00000063651	ENSDARG00000041115	ENSGT00390000000694
ENSMUSG00000059455	ENSDARG00000069031	ENSGT00390000000694
ENSMUSG00000030983	ENSDARG00000004948	ENSGT00390000000696
ENSMUSG00000039917	ENSDARG00000092463	ENSGT00390000000699
ENSMUSG00000007570	ENSDARG00000068870	ENSGT00390000000705
ENSMUSG00000016181	ENSDARG00000017696	ENSGT00390000000709
ENSMUSG00000018669	ENSDARG00000045092	ENSGT00390000000713
ENSMUSG00000048772	ENSDARG00000038789	ENSGT00390000000715
ENSMUSG00000015575	ENSDARG00000039642	ENSGT00390000000728
ENSMUSG00000039347	ENSDARG00000059057	ENSGT00390000000728
ENSMUSG00000030621	ENSDARG00000002305	ENSGT00390000000754
ENSMUSG00000073542	ENSDARG00000058319	ENSGT00390000000781
ENSMUSG00000032803	ENSDARG00000023028	ENSGT00390000000805
ENSMUSG00000026411	ENSDARG00000055757	ENSGT00390000000819
ENSMUSG00000031021	ENSDARG00000025693	ENSGT00390000000819
ENSMUSG00000021794	ENSDARG00000008816	ENSGT00390000000854
ENSMUSG00000032305	ENSDARG00000023657	ENSGT00390000000860
ENSMUSG00000028622	ENSDARG00000062916	ENSGT00390000000867
ENSMUSG00000029534	ENSDARG00000039960	ENSGT00390000000873
ENSMUSG00000045576	ENSDARG00000032603	ENSGT00390000000873
ENSMUSG00000038429	ENSDARG00000014517	ENSGT00390000000874
ENSMUSG00000056900	ENSDARG00000079198	ENSGT00390000000874
ENSMUSG00000024800	ENSDARG00000027428	ENSGT00390000000883
ENSMUSG00000021379	ENSDARG00000045131	ENSGT00390000000908
ENSMUSG00000020644	ENSDARG00000055283	ENSGT00390000000908
ENSMUSG00000042745	ENSDARG00000040764	ENSGT00390000000908
ENSMUSG00000042694	ENSDARG00000007734	ENSGT00390000000909
ENSMUSG00000028755	ENSDARG00000036426	ENSGT00390000000911
ENSMUSG00000028642	ENSDARG00000079307	ENSGT00390000000915
ENSMUSG00000024271	ENSDARG00000017199	ENSGT00390000000916
ENSMUSG00000031505	ENSDARG00000077119	ENSGT00390000000917
ENSMUSG00000021619	ENSDARG00000040149	ENSGT00390000000924
ENSMUSG00000038459	ENSDARG00000058452	ENSGT00390000000948
ENSMUSG00000040396	ENSDARG00000059209	ENSGT00390000000948
ENSMUSG00000049091	ENSDARG00000017659	ENSGT00390000000950
ENSMUSG00000026662	ENSDARG00000058292	ENSGT00390000000950
ENSMUSG00000034432	ENSDARG00000024846	ENSGT00390000000977
ENSMUSG00000079334	ENSDARG00000068590	ENSGT00390000000980
ENSMUSG00000038503	ENSDARG00000063030	ENSGT00390000000993
ENSMUSG00000073633	ENSDARG00000039152	ENSGT00390000001015
ENSMUSG00000010136	ENSDARG00000097071	ENSGT00390000001017
ENSMUSG00000064127	ENSDARG00000009953	ENSGT00390000001021
ENSMUSG00000042198	ENSDARG00000068156	ENSGT00390000001029
ENSMUSG00000036281	ENSDARG00000067673	ENSGT00390000001038
ENSMUSG00000017861	ENSDARG00000032264	ENSGT00390000001038
ENSMUSG00000025912	ENSDARG00000030999	ENSGT00390000001038
ENSMUSG00000019982	ENSDARG00000053666	ENSGT00390000001038
ENSMUSG00000040269	ENSDARG00000041538	ENSGT00390000001057
ENSMUSG00000032370	ENSDARG00000040803	ENSGT00390000001062
ENSMUSG00000047940	ENSDARG00000061060	ENSGT00390000001063
ENSMUSG00000026939	ENSDARG00000067681	ENSGT00390000001064
ENSMUSG00000026649	ENSDARG00000070868	ENSGT00390000001092
ENSMUSG00000026810	ENSDARG00000095623	ENSGT00390000001098
ENSMUSG00000038542	ENSDARG00000013802	ENSGT00390000001101
ENSMUSG00000026361	ENSDARG00000020201	ENSGT00390000001114
ENSMUSG00000034163	ENSDARG00000014615	ENSGT00390000001116
ENSMUSG00000023000	ENSDARG00000037062	ENSGT00390000001117
ENSMUSG00000023939	ENSDARG00000068886	ENSGT00390000001121
ENSMUSG00000028436	ENSDARG00000063155	ENSGT00390000001132
ENSMUSG00000095105	ENSDARG00000062289	ENSGT00390000001136
ENSMUSG00000023110	ENSDARG00000079605	ENSGT00390000001141
ENSMUSG00000027425	ENSDARG00000041708	ENSGT00390000001146
ENSMUSG00000019878	ENSDARG00000053097	ENSGT00390000001182
ENSMUSG00000033249	ENSDARG00000013251	ENSGT00390000001182
ENSMUSG00000022556	ENSDARG00000008818	ENSGT00390000001182
ENSMUSG00000044707	ENSDARG00000077116	ENSGT00390000001183
ENSMUSG00000025010	ENSDARG00000059917	ENSGT00390000001183
ENSMUSG00000020774	ENSDARG00000005154	ENSGT00390000001189
ENSMUSG00000036751	ENSDARG00000045230	ENSGT00390000001191
ENSMUSG00000025466	ENSDARG00000039422	ENSGT00390000001197
ENSMUSG00000034932	ENSDARG00000071468	ENSGT00390000001201
ENSMUSG00000028756	ENSDARG00000001929	ENSGT00390000001206
ENSMUSG00000026174	ENSDARG00000033855	ENSGT00390000001225
ENSMUSG00000028964	ENSDARG00000034826	ENSGT00390000001231
ENSMUSG00000028165	ENSDARG00000052703	ENSGT00390000001233
ENSMUSG00000044988	ENSDARG00000087241	ENSGT00390000001251
ENSMUSG00000052748	ENSDARG00000094010	ENSGT00390000001254
ENSMUSG00000075702	ENSDARG00000051957	ENSGT00390000001255
ENSMUSG00000034951	ENSDARG00000061372	ENSGT00390000001260
ENSMUSG00000038683	ENSDARG00000044488	ENSGT00390000001263
ENSMUSG00000039285	ENSDARG00000042997	ENSGT00390000001279
ENSMUSG00000039452	ENSDARG00000053204	ENSGT00390000001280
ENSMUSG00000024847	ENSDARG00000069699	ENSGT00390000001289
ENSMUSG00000040554	ENSDARG00000075067	ENSGT00390000001289
ENSMUSG00000032551	ENSDARG00000029615	ENSGT00390000001296
ENSMUSG00000060798	ENSDARG00000077639	ENSGT00390000001301
ENSMUSG00000038208	ENSDARG00000057531	ENSGT00390000001304
ENSMUSG00000026317	ENSDARG00000075525	ENSGT00390000001315
ENSMUSG00000018428	ENSDARG00000006062	ENSGT00390000001360
ENSMUSG00000021680	ENSDARG00000024831	ENSGT00390000001362
ENSMUSG00000052934	ENSDARG00000062195	ENSGT00390000001368
ENSMUSG00000030978	ENSDARG00000014017	ENSGT00390000001372
ENSMUSG00000041084	ENSDARG00000035838	ENSGT00390000001376
ENSMUSG00000002274	ENSDARG00000030367	ENSGT00390000001390
ENSMUSG00000038497	ENSDARG00000075108	ENSGT00390000001394
ENSMUSG00000033434	ENSDARG00000061091	ENSGT00390000001397
ENSMUSG00000041143	ENSDARG00000078924	ENSGT00390000001400
ENSMUSG00000010057	ENSDARG00000059613	ENSGT00390000001414
ENSMUSG00000038205	ENSDARG00000067817	ENSGT00390000001416
ENSMUSG00000029763	ENSDARG00000004336	ENSGT00390000001439
ENSMUSG00000027167	ENSDARG00000008852	ENSGT00390000001443
ENSMUSG00000021975	ENSDARG00000067913	ENSGT00390000001445
ENSMUSG00000026005	ENSDARG00000005251	ENSGT00390000001447
ENSMUSG00000091625	ENSDARG00000071573	ENSGT00390000001455
ENSMUSG00000043323	ENSDARG00000058232	ENSGT00390000001466
ENSMUSG00000042423	ENSDARG00000074688	ENSGT00390000001466
ENSMUSG00000003437	ENSDARG00000043886	ENSGT00390000001474
ENSMUSG00000006134	ENSDARG00000028699	ENSGT00390000001475
ENSMUSG00000038344	ENSDARG00000001969	ENSGT00390000001482
ENSMUSG00000053841	ENSDARG00000077037	ENSGT00390000001482
ENSMUSG00000022682	ENSDARG00000073797	ENSGT00390000001488
ENSMUSG00000037260	ENSDARG00000077804	ENSGT00390000001491
ENSMUSG00000029647	ENSDARG00000031637	ENSGT00390000001504
ENSMUSG00000032606	ENSDARG00000069677	ENSGT00390000001505
ENSMUSG00000051335	ENSDARG00000061363	ENSGT00390000001507
ENSMUSG00000013150	ENSDARG00000061145	ENSGT00390000001507
ENSMUSG00000022370	ENSDARG00000056903	ENSGT00390000001515
ENSMUSG00000069867	ENSDARG00000087996	ENSGT00390000001517
ENSMUSG00000064351	ENSDARG00000063905	ENSGT00390000001518
ENSMUSG00000018287	ENSDARG00000011555	ENSGT00390000001520
ENSMUSG00000028608	ENSDARG00000063341	ENSGT00390000001523
ENSMUSG00000046947	ENSDARG00000073923	ENSGT00390000001536
ENSMUSG00000074811	ENSDARG00000013581	ENSGT00390000001546
ENSMUSG00000034686	ENSDARG00000089800	ENSGT00390000001559
ENSMUSG00000019988	ENSDARG00000013472	ENSGT00390000001561
ENSMUSG00000058486	ENSDARG00000015153	ENSGT00390000001566
ENSMUSG00000003948	ENSDARG00000040387	ENSGT00390000001574
ENSMUSG00000015880	ENSDARG00000070109	ENSGT00390000001577
ENSMUSG00000036109	ENSDARG00000016085	ENSGT00390000001586
ENSMUSG00000024082	ENSDARG00000033134	ENSGT00390000001588
ENSMUSG00000060268	ENSDARG00000029859	ENSGT00390000001593
ENSMUSG00000022780	ENSDARG00000075159	ENSGT00390000001619
ENSMUSG00000031669	ENSDARG00000038847	ENSGT00390000001622
ENSMUSG00000028261	ENSDARG00000077859	ENSGT00390000001627
ENSMUSG00000020328	ENSDARG00000078059	ENSGT00390000001644
ENSMUSG00000029030	ENSDARG00000068149	ENSGT00390000001652
ENSMUSG00000048399	ENSDARG00000056026	ENSGT00390000001652
ENSMUSG00000037991	ENSDARG00000074444	ENSGT00390000001653
ENSMUSG00000010911	ENSDARG00000003132	ENSGT00390000001680
ENSMUSG00000027636	ENSDARG00000020788	ENSGT00390000001681
ENSMUSG00000036285	ENSDARG00000073788	ENSGT00390000001695
ENSMUSG00000025609	ENSDARG00000025576	ENSGT00390000001702
ENSMUSG00000025645	ENSDARG00000058828	ENSGT00390000001709
ENSMUSG00000025937	ENSDARG00000002837	ENSGT00390000001710
ENSMUSG00000024155	ENSDARG00000062442	ENSGT00390000001723
ENSMUSG00000028545	ENSDARG00000075624	ENSGT00390000001724
ENSMUSG00000041740	ENSDARG00000079687	ENSGT00390000001731
ENSMUSG00000024797	ENSDARG00000062016	ENSGT00390000001738
ENSMUSG00000003559	ENSDARG00000027572	ENSGT00390000001742
ENSMUSG00000052276	ENSDARG00000054055	ENSGT00390000001750
ENSMUSG00000030034	ENSDARG00000062749	ENSGT00390000001754
ENSMUSG00000039195	ENSDARG00000086753	ENSGT00390000001761
ENSMUSG00000015971	ENSDARG00000067944	ENSGT00390000001763
ENSMUSG00000046500	ENSDARG00000062471	ENSGT00390000001768
ENSMUSG00000005883	ENSDARG00000013837	ENSGT00390000001787
ENSMUSG00000053091	ENSDARG00000086879	ENSGT00390000001790
ENSMUSG00000020636	ENSDARG00000042562	ENSGT00390000001793
ENSMUSG00000016253	ENSDARG00000021097	ENSGT00390000001799
ENSMUSG00000022195	ENSDARG00000011723	ENSGT00390000001801
ENSMUSG00000003190	ENSDARG00000090625	ENSGT00390000001825
ENSMUSG00000056167	ENSDARG00000058528	ENSGT00390000001827
ENSMUSG00000021189	ENSDARG00000009264	ENSGT00390000001830
ENSMUSG00000022860	ENSDARG00000034528	ENSGT00390000001844
ENSMUSG00000040374	ENSDARG00000062421	ENSGT00390000001846
ENSMUSG00000022814	ENSDARG00000012215	ENSGT00390000001856
ENSMUSG00000073755	ENSDARG00000090951	ENSGT00390000001867
ENSMUSG00000036564	ENSDARG00000062236	ENSGT00390000001874
ENSMUSG00000027374	ENSDARG00000062209	ENSGT00390000001878
ENSMUSG00000031157	ENSDARG00000029724	ENSGT00390000001905
ENSMUSG00000043664	ENSDARG00000086661	ENSGT00390000001907
ENSMUSG00000027513	ENSDARG00000013522	ENSGT00390000001912
ENSMUSG00000060519	ENSDARG00000079308	ENSGT00390000001920
ENSMUSG00000009563	ENSDARG00000025612	ENSGT00390000001920
ENSMUSG00000030824	ENSDARG00000054833	ENSGT00390000001927
ENSMUSG00000035105	ENSDARG00000032553	ENSGT00390000001936
ENSMUSG00000058709	ENSDARG00000062562	ENSGT00390000001936
ENSMUSG00000021982	ENSDARG00000036650	ENSGT00390000001951
ENSMUSG00000000563	ENSDARG00000011553	ENSGT00390000001958
ENSMUSG00000001305	ENSDARG00000013478	ENSGT00390000001960
ENSMUSG00000019802	ENSDARG00000017740	ENSGT00390000001965
ENSMUSG00000044098	ENSDARG00000079999	ENSGT00390000001969
ENSMUSG00000040888	ENSDARG00000070061	ENSGT00390000001979
ENSMUSG00000036864	ENSDARG00000097591	ENSGT00390000001986
ENSMUSG00000029752	ENSDARG00000016375	ENSGT00390000001994
ENSMUSG00000031887	ENSDARG00000036057	ENSGT00390000002016
ENSMUSG00000037905	ENSDARG00000010108	ENSGT00390000002024
ENSMUSG00000063698	ENSDARG00000069832	ENSGT00390000002026
ENSMUSG00000021474	ENSDARG00000019963	ENSGT00390000002026
ENSMUSG00000037572	ENSDARG00000015998	ENSGT00390000002030
ENSMUSG00000022701	ENSDARG00000027851	ENSGT00390000002031
ENSMUSG00000019718	ENSDARG00000063020	ENSGT00390000002032
ENSMUSG00000037940	ENSDARG00000075201	ENSGT00390000002033
ENSMUSG00000024683	ENSDARG00000075325	ENSGT00390000002038
ENSMUSG00000027508	ENSDARG00000055875	ENSGT00390000002061
ENSMUSG00000036376	ENSDARG00000043666	ENSGT00390000002062
ENSMUSG00000049353	ENSDARG00000031600	ENSGT00390000002089
ENSMUSG00000091402	ENSDARG00000091135	ENSGT00390000002089
ENSMUSG00000031953	ENSDARG00000056628	ENSGT00390000002101
ENSMUSG00000066735	ENSDARG00000043644	ENSGT00390000002103
ENSMUSG00000031077	ENSDARG00000068099	ENSGT00390000002105
ENSMUSG00000007458	ENSDARG00000018432	ENSGT00390000002109
ENSMUSG00000020514	ENSDARG00000060798	ENSGT00390000002110
ENSMUSG00000040359	ENSDARG00000007496	ENSGT00390000002112
ENSMUSG00000028899	ENSDARG00000054085	ENSGT00390000002144
ENSMUSG00000022241	ENSDARG00000013250	ENSGT00390000002149
ENSMUSG00000022889	ENSDARG00000041570	ENSGT00390000002149
ENSMUSG00000031549	ENSDARG00000033594	ENSGT00390000002154
ENSMUSG00000055945	ENSDARG00000093768	ENSGT00390000002164
ENSMUSG00000071037	ENSDARG00000095224	ENSGT00390000002168
ENSMUSG00000024667	ENSDARG00000091576	ENSGT00390000002170
ENSMUSG00000040195	ENSDARG00000073899	ENSGT00390000002174
ENSMUSG00000023020	ENSDARG00000092124	ENSGT00390000002190
ENSMUSG00000006423	ENSDARG00000067981	ENSGT00390000002197
ENSMUSG00000013160	ENSDARG00000069090	ENSGT00390000002200
ENSMUSG00000021023	ENSDARG00000075057	ENSGT00390000002201
ENSMUSG00000074802	ENSDARG00000045880	ENSGT00390000002205
ENSMUSG00000038776	ENSDARG00000042854	ENSGT00390000002210
ENSMUSG00000021177	ENSDARG00000073866	ENSGT00390000002211
ENSMUSG00000054520	ENSDARG00000021982	ENSGT00390000002216
ENSMUSG00000074238	ENSDARG00000031496	ENSGT00390000002219
ENSMUSG00000005233	ENSDARG00000078433	ENSGT00390000002220
ENSMUSG00000029790	ENSDARG00000038500	ENSGT00390000002222
ENSMUSG00000040018	ENSDARG00000075933	ENSGT00390000002223
ENSMUSG00000020546	ENSDARG00000076997	ENSGT00390000002226
ENSMUSG00000020100	ENSDARG00000077828	ENSGT00390000002232
ENSMUSG00000021185	ENSDARG00000005179	ENSGT00390000002237
ENSMUSG00000079144	ENSDARG00000017657	ENSGT00390000002240
ENSMUSG00000051246	ENSDARG00000078801	ENSGT00390000002245
ENSMUSG00000041921	ENSDARG00000019715	ENSGT00390000002284
ENSMUSG00000005813	ENSDARG00000033440	ENSGT00390000002284
ENSMUSG00000006519	ENSDARG00000018283	ENSGT00390000002290
ENSMUSG00000020409	ENSDARG00000038870	ENSGT00390000002292
ENSMUSG00000031937	ENSDARG00000079795	ENSGT00390000002299
ENSMUSG00000052337	ENSDARG00000057454	ENSGT00390000002313
ENSMUSG00000041264	ENSDARG00000034825	ENSGT00390000002316
ENSMUSG00000021103	ENSDARG00000002077	ENSGT00390000002319
ENSMUSG00000033009	ENSDARG00000036061	ENSGT00390000002349
ENSMUSG00000030421	ENSDARG00000026664	ENSGT00390000002362
ENSMUSG00000030942	ENSDARG00000045625	ENSGT00390000002365
ENSMUSG00000009535	ENSDARG00000070553	ENSGT00390000002368
ENSMUSG00000014198	ENSDARG00000058154	ENSGT00390000002371
ENSMUSG00000000552	ENSDARG00000009899	ENSGT00390000002371
ENSMUSG00000021550	ENSDARG00000041372	ENSGT00390000002374
ENSMUSG00000075543	ENSDARG00000071579	ENSGT00390000002395
ENSMUSG00000061461	ENSDARG00000087729	ENSGT00390000002398
ENSMUSG00000031818	ENSDARG00000032970	ENSGT00390000002407
ENSMUSG00000009876	ENSDARG00000022509	ENSGT00390000002407
ENSMUSG00000005262	ENSDARG00000010051	ENSGT00390000002408
ENSMUSG00000023147	ENSDARG00000074271	ENSGT00390000002415
ENSMUSG00000028443	ENSDARG00000058728	ENSGT00390000002416
ENSMUSG00000035759	ENSDARG00000069515	ENSGT00390000002417
ENSMUSG00000035834	ENSDARG00000024687	ENSGT00390000002422
ENSMUSG00000028104	ENSDARG00000013734	ENSGT00390000002422
ENSMUSG00000028668	ENSDARG00000011637	ENSGT00390000002428
ENSMUSG00000022864	ENSDARG00000030803	ENSGT00390000002429
ENSMUSG00000021555	ENSDARG00000012378	ENSGT00390000002445
ENSMUSG00000020628	ENSDARG00000060101	ENSGT00390000002448
ENSMUSG00000061762	ENSDARG00000014490	ENSGT00390000002457
ENSMUSG00000078517	ENSDARG00000057255	ENSGT00390000002461
ENSMUSG00000010045	ENSDARG00000055763	ENSGT00390000002470
ENSMUSG00000052794	ENSDARG00000090673	ENSGT00390000002505
ENSMUSG00000034560	ENSDARG00000061719	ENSGT00390000002524
ENSMUSG00000039958	ENSDARG00000079080	ENSGT00390000002528
ENSMUSG00000004565	ENSDARG00000010773	ENSGT00390000002533
ENSMUSG00000006021	ENSDARG00000015937	ENSGT00390000002548
ENSMUSG00000019848	ENSDARG00000058551	ENSGT00390000002563
ENSMUSG00000071317	ENSDARG00000058548	ENSGT00390000002563
ENSMUSG00000039887	ENSDARG00000039671	ENSGT00390000002579
ENSMUSG00000073725	ENSDARG00000052307	ENSGT00390000002581
ENSMUSG00000020078	ENSDARG00000056549	ENSGT00390000002588
ENSMUSG00000072640	ENSDARG00000075528	ENSGT00390000002625
ENSMUSG00000020430	ENSDARG00000018902	ENSGT00390000002626
ENSMUSG00000040767	ENSDARG00000020363	ENSGT00390000002628
ENSMUSG00000049760	ENSDARG00000071378	ENSGT00390000002629
ENSMUSG00000028185	ENSDARG00000077918	ENSGT00390000002634
ENSMUSG00000027642	ENSDARG00000009724	ENSGT00390000002635
ENSMUSG00000052428	ENSDARG00000069099	ENSGT00390000002659
ENSMUSG00000016554	ENSDARG00000021257	ENSGT00390000002667
ENSMUSG00000035944	ENSDARG00000042188	ENSGT00390000002669
ENSMUSG00000032300	ENSDARG00000069168	ENSGT00390000002672
ENSMUSG00000031982	ENSDARG00000074757	ENSGT00390000002675
ENSMUSG00000032057	ENSDARG00000075714	ENSGT00390000002677
ENSMUSG00000090247	ENSDARG00000014171	ENSGT00390000002689
ENSMUSG00000038828	ENSDARG00000016968	ENSGT00390000002693
ENSMUSG00000035268	ENSDARG00000086471	ENSGT00390000002707
ENSMUSG00000044700	ENSDARG00000077307	ENSGT00390000002713
ENSMUSG00000025144	ENSDARG00000089291	ENSGT00390000002725
ENSMUSG00000028617	ENSDARG00000030591	ENSGT00390000002727
ENSMUSG00000047656	ENSDARG00000037628	ENSGT00390000002731
ENSMUSG00000036504	ENSDARG00000045567	ENSGT00390000002738
ENSMUSG00000020882	ENSDARG00000002167	ENSGT00390000002740
ENSMUSG00000057914	ENSDARG00000079906	ENSGT00390000002740
ENSMUSG00000068184	ENSDARG00000069286	ENSGT00390000002743
ENSMUSG00000036845	ENSDARG00000053950	ENSGT00390000002748
ENSMUSG00000021271	ENSDARG00000076988	ENSGT00390000002751
ENSMUSG00000063145	ENSDARG00000039827	ENSGT00390000002753
ENSMUSG00000027706	ENSDARG00000019951	ENSGT00390000002757
ENSMUSG00000020534	ENSDARG00000052816	ENSGT00390000002762
ENSMUSG00000043461	ENSDARG00000091658	ENSGT00390000002766
ENSMUSG00000044408	ENSDARG00000071203	ENSGT00390000002766
ENSMUSG00000015837	ENSDARG00000075014	ENSGT00390000002781
ENSMUSG00000019814	ENSDARG00000008490	ENSGT00390000002789
ENSMUSG00000040250	ENSDARG00000011764	ENSGT00390000002793
ENSMUSG00000029911	ENSDARG00000039350	ENSGT00390000002796
ENSMUSG00000028099	ENSDARG00000057562	ENSGT00390000002799
ENSMUSG00000048878	ENSDARG00000036482	ENSGT00390000002808
ENSMUSG00000000131	ENSDARG00000041217	ENSGT00390000002810
ENSMUSG00000024502	ENSDARG00000053547	ENSGT00390000002812
ENSMUSG00000063646	ENSDARG00000076090	ENSGT00390000002812
ENSMUSG00000040720	ENSDARG00000075824	ENSGT00390000002833
ENSMUSG00000021497	ENSDARG00000043249	ENSGT00390000002845
ENSMUSG00000026986	ENSDARG00000012796	ENSGT00390000002862
ENSMUSG00000036062	ENSDARG00000077596	ENSGT00390000002865
ENSMUSG00000030816	ENSDARG00000054201	ENSGT00390000002866
ENSMUSG00000028309	ENSDARG00000016664	ENSGT00390000002866
ENSMUSG00000072473	ENSDARG00000069363	ENSGT00390000002871
ENSMUSG00000053453	ENSDARG00000015394	ENSGT00390000002873
ENSMUSG00000040158	ENSDARG00000059177	ENSGT00390000002877
ENSMUSG00000045555	ENSDARG00000075817	ENSGT00390000002881
ENSMUSG00000002343	ENSDARG00000060763	ENSGT00390000002913
ENSMUSG00000018999	ENSDARG00000071087	ENSGT00390000002915
ENSMUSG00000022474	ENSDARG00000038398	ENSGT00390000002918
ENSMUSG00000022711	ENSDARG00000037654	ENSGT00390000002918
ENSMUSG00000038658	ENSDARG00000063362	ENSGT00390000002955
ENSMUSG00000045854	ENSDARG00000033138	ENSGT00390000002957
ENSMUSG00000040820	ENSDARG00000039934	ENSGT00390000002960
ENSMUSG00000047539	ENSDARG00000027159	ENSGT00390000002970
ENSMUSG00000052819	ENSDARG00000079163	ENSGT00390000002997
ENSMUSG00000032468	ENSDARG00000062258	ENSGT00390000003033
ENSMUSG00000036672	ENSDARG00000091271	ENSGT00390000003044
