ENSG00000163697	ENSDARG00000061880	ENSDARG00000026651	ENSGT00390000000002
ENSG00000185963	ENSDARG00000079184	ENSDARG00000075571	ENSGT00390000004114
ENSG00000163328	ENSDARG00000071086	ENSDARG00000090804	ENSGT00390000004153
ENSG00000257103	ENSDARG00000011408	ENSDARG00000006600	ENSGT00390000004174
ENSG00000147649	ENSDARG00000004939	ENSDARG00000014159	ENSGT00390000004343
ENSG00000068323	ENSDARG00000019457	ENSDARG00000004729	ENSGT00390000004402
ENSG00000204138	ENSDARG00000032221	ENSDARG00000015552	ENSGT00390000004420
ENSG00000112697	ENSDARG00000030236	ENSDARG00000043555	ENSGT00390000004660
ENSG00000143107	ENSDARG00000077096	ENSDARG00000087524	ENSGT00390000004674
ENSG00000121900	ENSDARG00000035875	ENSDARG00000059247	ENSGT00390000004700
ENSG00000163754	ENSDARG00000011934	ENSDARG00000059391	ENSGT00390000004721
ENSG00000178026	ENSDARG00000074308	ENSDARG00000091128	ENSGT00390000004841
ENSG00000130193	ENSDARG00000059795	ENSDARG00000037345	ENSGT00390000004859
ENSG00000153395	ENSDARG00000077671	ENSDARG00000011506	ENSGT00390000004914
ENSG00000160097	ENSDARG00000035895	ENSDARG00000069739	ENSGT00390000004923
ENSG00000115226	ENSDARG00000043396	ENSDARG00000009949	ENSGT00390000004923
ENSG00000033627	ENSDARG00000020847	ENSDARG00000015174	ENSGT00390000004941
ENSG00000185344	ENSDARG00000035565	ENSDARG00000035538	ENSGT00390000004941
ENSG00000183255	ENSDARG00000040039	ENSDARG00000090156	ENSGT00390000004977
ENSG00000101421	ENSDARG00000016255	ENSDARG00000007323	ENSGT00390000005006
ENSG00000066084	ENSDARG00000005350	ENSDARG00000016348	ENSGT00390000005268
ENSG00000168389	ENSDARG00000030630	ENSDARG00000035909	ENSGT00390000005318
ENSG00000115263	ENSDARG00000079296	ENSDARG00000040907	ENSGT00390000005372
ENSG00000133789	ENSDARG00000057286	ENSDARG00000051819	ENSGT00390000005512
ENSG00000121104	ENSDARG00000078640	ENSDARG00000079252	ENSGT00390000005655
ENSG00000125814	ENSDARG00000069101	ENSDARG00000013669	ENSGT00390000005826
ENSG00000162852	ENSDARG00000042759	ENSDARG00000086283	ENSGT00390000005861
ENSG00000159167	ENSDARG00000058476	ENSDARG00000003303	ENSGT00390000005989
ENSG00000128298	ENSDARG00000060933	ENSDARG00000016483	ENSGT00390000005995
ENSG00000006453	ENSDARG00000031119	ENSDARG00000029305	ENSGT00390000005995
ENSG00000175866	ENSDARG00000060587	ENSDARG00000062799	ENSGT00390000005995
ENSG00000154518	ENSDARG00000017775	ENSDARG00000009447	ENSGT00390000006210
ENSG00000132938	ENSDARG00000062347	ENSDARG00000074984	ENSGT00390000006245
ENSG00000100591	ENSDARG00000011127	ENSDARG00000028664	ENSGT00390000006429
ENSG00000025293	ENSDARG00000002750	ENSDARG00000038737	ENSGT00390000006451
ENSG00000154511	ENSDARG00000062955	ENSDARG00000061362	ENSGT00390000006452
ENSG00000186479	ENSDARG00000016742	ENSDARG00000060601	ENSGT00390000006968
ENSG00000127220	ENSDARG00000076620	ENSDARG00000079719	ENSGT00390000007336
ENSG00000186501	ENSDARG00000069589	ENSDARG00000074503	ENSGT00390000007371
ENSG00000176971	ENSDARG00000039949	ENSDARG00000087196	ENSGT00390000007623
ENSG00000172765	ENSDARG00000076747	ENSDARG00000060954	ENSGT00390000007639
ENSG00000134259	ENSDARG00000014050	ENSDARG00000058961	ENSGT00390000007725
ENSG00000108878	ENSDARG00000052360	ENSDARG00000008772	ENSGT00390000007786
ENSG00000114383	ENSDARG00000025340	ENSDARG00000052875	ENSGT00390000008040
ENSG00000246922	ENSDARG00000091843	ENSDARG00000089217	ENSGT00390000008092
ENSG00000130590	ENSDARG00000094377	ENSDARG00000079978	ENSGT00390000008161
ENSG00000116337	ENSDARG00000029952	ENSDARG00000088554	ENSGT00390000008190
ENSG00000133805	ENSDARG00000032469	ENSDARG00000005800	ENSGT00390000008190
ENSG00000077585	ENSDARG00000077608	ENSDARG00000078448	ENSGT00390000008320
ENSG00000119772	ENSDARG00000015566	ENSDARG00000005394	ENSGT00390000008341
ENSG00000165633	ENSDARG00000010154	ENSDARG00000053186	ENSGT00390000008566
ENSG00000162670	ENSDARG00000075352	ENSDARG00000076351	ENSGT00390000008571
ENSG00000144746	ENSDARG00000016238	ENSDARG00000077044	ENSGT00390000008631
ENSG00000100362	ENSDARG00000009311	ENSDARG00000034705	ENSGT00390000008690
ENSG00000089063	ENSDARG00000027687	ENSDARG00000069674	ENSGT00390000008694
ENSG00000101220	ENSDARG00000087426	ENSDARG00000076239	ENSGT00390000008711
ENSG00000073921	ENSDARG00000012866	ENSDARG00000014137	ENSGT00390000008805
ENSG00000065609	ENSDARG00000015931	ENSDARG00000076591	ENSGT00390000008805
ENSG00000176749	ENSDARG00000045087	ENSDARG00000037916	ENSGT00390000008812
ENSG00000067225	ENSDARG00000003191	ENSDARG00000003933	ENSGT00390000008859
ENSG00000125534	ENSDARG00000031317	ENSDARG00000007682	ENSGT00390000009113
ENSG00000171729	ENSDARG00000061916	ENSDARG00000068575	ENSGT00390000009278
ENSG00000254550	ENSDARG00000032380	ENSDARG00000044475	ENSGT00390000009497
ENSG00000110218	ENSDARG00000014910	ENSDARG00000025285	ENSGT00390000009703
ENSG00000184007	ENSDARG00000035676	ENSDARG00000087443	ENSGT00390000009788
ENSG00000115592	ENSDARG00000000369	ENSDARG00000017537	ENSGT00390000009849
ENSG00000100239	ENSDARG00000069654	ENSDARG00000045540	ENSGT00390000009899
ENSG00000171223	ENSDARG00000074378	ENSDARG00000088371	ENSGT00390000009929
ENSG00000125744	ENSDARG00000057027	ENSDARG00000016088	ENSGT00390000009934
ENSG00000130559	ENSDARG00000035122	ENSDARG00000019208	ENSGT00390000010026
ENSG00000076826	ENSDARG00000059475	ENSDARG00000091359	ENSGT00390000010026
ENSG00000118200	ENSDARG00000062173	ENSDARG00000059965	ENSGT00390000010026
ENSG00000143028	ENSDARG00000055307	ENSDARG00000000690	ENSGT00390000010039
ENSG00000102003	ENSDARG00000042974	ENSDARG00000002230	ENSGT00390000010039
ENSG00000163630	ENSDARG00000044278	ENSDARG00000037587	ENSGT00390000010039
ENSG00000176994	ENSDARG00000052818	ENSDARG00000015803	ENSGT00390000010052
ENSG00000149084	ENSDARG00000035872	ENSDARG00000015709	ENSGT00390000010069
ENSG00000141540	ENSDARG00000016934	ENSDARG00000010727	ENSGT00390000010182
ENSG00000163814	ENSDARG00000091784	ENSDARG00000058943	ENSGT00390000010209
ENSG00000079335	ENSDARG00000013858	ENSDARG00000057016	ENSGT00390000010254
ENSG00000129167	ENSDARG00000036082	ENSDARG00000029432	ENSGT00390000010268
ENSG00000216490	ENSDARG00000075629	ENSDARG00000056378	ENSGT00390000010450
ENSG00000135423	ENSDARG00000002917	ENSDARG00000069095	ENSGT00390000010463
ENSG00000169762	ENSDARG00000061143	ENSDARG00000073999	ENSGT00390000010628
ENSG00000179820	ENSDARG00000086815	ENSDARG00000038709	ENSGT00390000010832
ENSG00000158258	ENSDARG00000060637	ENSDARG00000060638	ENSGT00390000010858
ENSG00000171951	ENSDARG00000038574	ENSDARG00000017470	ENSGT00390000010895
ENSG00000151025	ENSDARG00000077134	ENSDARG00000079665	ENSGT00390000010934
ENSG00000124216	ENSDARG00000046019	ENSDARG00000056995	ENSGT00390000011027
ENSG00000134324	ENSDARG00000020239	ENSDARG00000076096	ENSGT00390000011286
ENSG00000100347	ENSDARG00000045814	ENSDARG00000039681	ENSGT00390000011355
ENSG00000165623	ENSDARG00000005485	ENSDARG00000027799	ENSGT00390000011492
ENSG00000155096	ENSDARG00000052789	ENSDARG00000035869	ENSGT00390000011560
ENSG00000204278	ENSDARG00000091406	ENSDARG00000089276	ENSGT00390000011615
ENSG00000130699	ENSDARG00000068192	ENSDARG00000090925	ENSGT00390000011620
ENSG00000120279	ENSDARG00000056125	ENSDARG00000088546	ENSGT00390000011642
ENSG00000104529	ENSDARG00000008109	ENSDARG00000030053	ENSGT00390000011747
ENSG00000164659	ENSDARG00000004386	ENSDARG00000042213	ENSGT00390000011781
ENSG00000162636	ENSDARG00000002333	ENSDARG00000053104	ENSGT00390000011832
ENSG00000196850	ENSDARG00000011122	ENSDARG00000052658	ENSGT00390000011937
ENSG00000093072	ENSDARG00000015623	ENSDARG00000051746	ENSGT00390000012118
ENSG00000132639	ENSDARG00000058117	ENSDARG00000020609	ENSGT00390000012186
ENSG00000189127	ENSDARG00000077086	ENSDARG00000061641	ENSGT00390000012355
ENSG00000178691	ENSDARG00000070256	ENSDARG00000052022	ENSGT00390000012364
ENSG00000007384	ENSDARG00000036541	ENSDARG00000017367	ENSGT00390000012532
ENSG00000113302	ENSDARG00000054542	ENSDARG00000033727	ENSGT00390000012630
ENSG00000117525	ENSDARG00000021013	ENSDARG00000005673	ENSGT00390000012668
ENSG00000170633	ENSDARG00000038300	ENSDARG00000054036	ENSGT00390000012719
ENSG00000160539	ENSDARG00000052033	ENSDARG00000075020	ENSGT00390000012789
ENSG00000213996	ENSDARG00000029982	ENSDARG00000029057	ENSGT00390000012913
ENSG00000175193	ENSDARG00000039310	ENSDARG00000020891	ENSGT00390000013063
ENSG00000172137	ENSDARG00000036344	ENSDARG00000041062	ENSGT00390000013118
ENSG00000163528	ENSDARG00000040707	ENSDARG00000033376	ENSGT00390000013132
ENSG00000130147	ENSDARG00000030104	ENSDARG00000020000	ENSGT00390000013151
ENSG00000067057	ENSDARG00000028000	ENSDARG00000012801	ENSGT00390000013209
ENSG00000152556	ENSDARG00000014179	ENSDARG00000060797	ENSGT00390000013209
ENSG00000078237	ENSDARG00000045858	ENSDARG00000051749	ENSGT00390000013224
ENSG00000104765	ENSDARG00000025468	ENSDARG00000028067	ENSGT00390000013415
ENSG00000144596	ENSDARG00000027618	ENSDARG00000087187	ENSGT00390000013494
ENSG00000128242	ENSDARG00000078245	ENSDARG00000062711	ENSGT00390000013505
ENSG00000117118	ENSDARG00000075768	ENSDARG00000092713	ENSGT00390000013558
ENSG00000108510	ENSDARG00000003910	ENSDARG00000053884	ENSGT00390000013680
ENSG00000101198	ENSDARG00000062699	ENSDARG00000042961	ENSGT00390000013699
ENSG00000168672	ENSDARG00000032859	ENSDARG00000040280	ENSGT00390000013755
ENSG00000170011	ENSDARG00000038814	ENSDARG00000075706	ENSGT00390000013933
ENSG00000115648	ENSDARG00000070991	ENSDARG00000062481	ENSGT00390000013933
ENSG00000114757	ENSDARG00000074403	ENSDARG00000022518	ENSGT00390000013941
ENSG00000107562	ENSDARG00000037116	ENSDARG00000055100	ENSGT00390000014056
ENSG00000111802	ENSDARG00000069941	ENSDARG00000035954	ENSGT00390000014242
ENSG00000137266	ENSDARG00000079638	ENSDARG00000078856	ENSGT00390000014377
ENSG00000198794	ENSDARG00000018743	ENSDARG00000040274	ENSGT00390000014393
ENSG00000113734	ENSDARG00000078063	ENSDARG00000078259	ENSGT00390000014412
ENSG00000109103	ENSDARG00000034453	ENSDARG00000044362	ENSGT00390000014595
ENSG00000155307	ENSDARG00000078647	ENSDARG00000054543	ENSGT00390000014672
ENSG00000111961	ENSDARG00000007179	ENSDARG00000058853	ENSGT00390000014672
ENSG00000144136	ENSDARG00000010641	ENSDARG00000020114	ENSGT00390000014879
ENSG00000181904	ENSDARG00000060018	ENSDARG00000078202	ENSGT00390000014889
ENSG00000168288	ENSDARG00000041602	ENSDARG00000005870	ENSGT00390000015050
ENSG00000140057	ENSDARG00000019001	ENSDARG00000017023	ENSGT00390000015102
ENSG00000066336	ENSDARG00000067797	ENSDARG00000000767	ENSGT00390000015212
ENSG00000165757	ENSDARG00000089871	ENSDARG00000088405	ENSGT00390000015348
ENSG00000276045	ENSDARG00000011515	ENSDARG00000004154	ENSGT00390000015354
ENSG00000144655	ENSDARG00000031426	ENSDARG00000038429	ENSGT00390000015510
ENSG00000146834	ENSDARG00000059461	ENSDARG00000035771	ENSGT00390000015611
ENSG00000110660	ENSDARG00000069745	ENSDARG00000090686	ENSGT00390000015655
ENSG00000143179	ENSDARG00000022213	ENSDARG00000006074	ENSGT00390000015696
ENSG00000062650	ENSDARG00000029768	ENSDARG00000044144	ENSGT00390000015768
ENSG00000185269	ENSDARG00000031126	ENSDARG00000091540	ENSGT00390000015892
ENSG00000181982	ENSDARG00000078829	ENSDARG00000020857	ENSGT00390000015958
ENSG00000109991	ENSDARG00000010477	ENSDARG00000029718	ENSGT00390000016028
ENSG00000188342	ENSDARG00000006816	ENSDARG00000069910	ENSGT00390000016051
ENSG00000112619	ENSDARG00000038018	ENSDARG00000014840	ENSGT00390000016192
ENSG00000011198	ENSDARG00000078831	ENSDARG00000076874	ENSGT00390000016277
ENSG00000188554	ENSDARG00000077297	ENSDARG00000078772	ENSGT00390000016335
ENSG00000130222	ENSDARG00000044676	ENSDARG00000016725	ENSGT00390000016506
ENSG00000177239	ENSDARG00000073792	ENSDARG00000076592	ENSGT00390000016529
ENSG00000204178	ENSDARG00000012741	ENSDARG00000005625	ENSGT00390000016613
ENSG00000151327	ENSDARG00000067908	ENSDARG00000079636	ENSGT00390000016736
ENSG00000115138	ENSDARG00000069307	ENSDARG00000043135	ENSGT00390000016811
ENSG00000136052	ENSDARG00000073881	ENSDARG00000075803	ENSGT00390000016816
ENSG00000068976	ENSDARG00000013317	ENSDARG00000055518	ENSGT00390000016886
ENSG00000180817	ENSDARG00000030441	ENSDARG00000034201	ENSGT00390000017004
ENSG00000090674	ENSDARG00000058848	ENSDARG00000002285	ENSGT00390000017126
ENSG00000055732	ENSDARG00000078363	ENSDARG00000043034	ENSGT00390000017126
ENSG00000137770	ENSDARG00000061587	ENSDARG00000060586	ENSGT00390000017194
ENSG00000149970	ENSDARG00000074480	ENSDARG00000073707	ENSGT00390000017199
ENSG00000099256	ENSDARG00000011683	ENSDARG00000074528	ENSGT00390000017323
ENSG00000182040	ENSDARG00000076079	ENSDARG00000004322	ENSGT00390000017548
ENSG00000170417	ENSDARG00000040374	ENSDARG00000087285	ENSGT00390000017581
ENSG00000171055	ENSDARG00000073784	ENSDARG00000022260	ENSGT00390000017627
ENSG00000116981	ENSDARG00000070590	ENSDARG00000035883	ENSGT00390000017767
ENSG00000139737	ENSDARG00000077888	ENSDARG00000019185	ENSGT00390000017860
ENSG00000182795	ENSDARG00000070229	ENSDARG00000074827	ENSGT00390000017874
ENSG00000114209	ENSDARG00000035054	ENSDARG00000012591	ENSGT00390000017913
ENSG00000188859	ENSDARG00000063018	ENSDARG00000062889	ENSGT00390000018059
ENSG00000175449	ENSDARG00000042159	ENSDARG00000058725	ENSGT00390000018225
ENSG00000154127	ENSDARG00000061243	ENSDARG00000077399	ENSGT00390000018249
ENSG00000107789	ENSDARG00000045172	ENSDARG00000057058	ENSGT00390000018409
ENSG00000174842	ENSDARG00000010958	ENSDARG00000058267	ENSGT00390000018446
ENSG00000213064	ENSDARG00000070746	ENSDARG00000071159	ENSGT00390000018525
ENSG00000105711	ENSDARG00000060222	ENSDARG00000071252	ENSGT00390000018560
ENSG00000140743	ENSDARG00000035952	ENSDARG00000037359	ENSGT00390000018570
ENSG00000140367	ENSDARG00000013990	ENSDARG00000007714	ENSGT00390000018573
ENSG00000023608	ENSDARG00000003827	ENSDARG00000029569	ENSGT00390000018691
ENSG00000183067	ENSDARG00000090953	ENSDARG00000087983	ENSGT00390000018711
ENSG00000123836	ENSDARG00000002037	ENSDARG00000023840	ENSGT00390000018751
ENSG00000158571	ENSDARG00000074457	ENSDARG00000037140	ENSGT00390000018751
ENSG00000114268	ENSDARG00000029075	ENSDARG00000055540	ENSGT00390000018751
ENSG00000100593	ENSDARG00000089691	ENSDARG00000053859	ENSGT00390000018792
ENSG00000167210	ENSDARG00000094738	ENSDARG00000074638	ENSGT00390000018830
ENSG00000163125	ENSDARG00000074676	ENSDARG00000058089	ENSGT00400000022016
ENSG00000186918	ENSDARG00000024195	ENSDARG00000060113	ENSGT00400000022069
ENSG00000149679	ENSDARG00000017154	ENSDARG00000076964	ENSGT00400000022086
ENSG00000111912	ENSDARG00000074924	ENSDARG00000077559	ENSGT00410000025363
ENSG00000183955	ENSDARG00000068319	ENSDARG00000076551	ENSGT00410000025501
ENSG00000143195	ENSDARG00000014180	ENSDARG00000096600	ENSGT00430000030906
ENSG00000163297	ENSDARG00000060520	ENSDARG00000063011	ENSGT00430000031214
ENSG00000166348	ENSDARG00000077948	ENSDARG00000077749	ENSGT00440000033513
ENSG00000011201	ENSDARG00000087064	ENSDARG00000012896	ENSGT00440000033720
ENSG00000131242	ENSDARG00000053855	ENSDARG00000070319	ENSGT00440000033742
ENSG00000166405	ENSDARG00000077459	ENSDARG00000075986	ENSGT00440000034107
ENSG00000261371	ENSDARG00000086918	ENSDARG00000060263	ENSGT00440000034155
ENSG00000162522	ENSDARG00000060340	ENSDARG00000061804	ENSGT00440000038119
ENSG00000196132	ENSDARG00000089464	ENSDARG00000074030	ENSGT00440000038465
ENSG00000186487	ENSDARG00000008209	ENSDARG00000006212	ENSGT00440000038465
ENSG00000099956	ENSDARG00000011594	ENSDARG00000033647	ENSGT00440000038585
ENSG00000107281	ENSDARG00000074697	ENSDARG00000056156	ENSGT00440000038604
ENSG00000167074	ENSDARG00000038401	ENSDARG00000039117	ENSGT00440000039070
ENSG00000100401	ENSDARG00000041317	ENSDARG00000056059	ENSGT00440000039203
ENSG00000069345	ENSDARG00000010745	ENSDARG00000023921	ENSGT00490000043321
ENSG00000158246	ENSDARG00000039943	ENSDARG00000011797	ENSGT00500000044785
ENSG00000112773	ENSDARG00000054641	ENSDARG00000037183	ENSGT00500000044785
ENSG00000107165	ENSDARG00000029204	ENSDARG00000056151	ENSGT00500000044790
ENSG00000135926	ENSDARG00000090534	ENSDARG00000058323	ENSGT00500000044791
ENSG00000008405	ENSDARG00000045768	ENSDARG00000011583	ENSGT00500000044813
ENSG00000164236	ENSDARG00000015589	ENSDARG00000058357	ENSGT00500000044852
ENSG00000167612	ENSDARG00000002508	ENSDARG00000055638	ENSGT00500000044852
ENSG00000143324	ENSDARG00000062449	ENSDARG00000029671	ENSGT00500000044895
ENSG00000108468	ENSDARG00000004189	ENSDARG00000054442	ENSGT00510000046310
ENSG00000142227	ENSDARG00000054894	ENSDARG00000036428	ENSGT00510000046328
ENSG00000124507	ENSDARG00000032865	ENSDARG00000042128	ENSGT00510000046376
ENSG00000125733	ENSDARG00000005679	ENSDARG00000077953	ENSGT00510000046403
ENSG00000116990	ENSDARG00000006003	ENSDARG00000034956	ENSGT00510000046414
ENSG00000118473	ENSDARG00000077269	ENSDARG00000097897	ENSGT00510000046419
ENSG00000067840	ENSDARG00000060182	ENSDARG00000090564	ENSGT00510000046421
ENSG00000071564	ENSDARG00000052383	ENSDARG00000005915	ENSGT00510000046438
ENSG00000134243	ENSDARG00000056252	ENSDARG00000029402	ENSGT00510000046443
ENSG00000127561	ENSDARG00000014871	ENSDARG00000025034	ENSGT00510000046450
ENSG00000158555	ENSDARG00000077284	ENSDARG00000076962	ENSGT00510000046457
ENSG00000178996	ENSDARG00000067713	ENSDARG00000044246	ENSGT00510000046469
ENSG00000151233	ENSDARG00000076111	ENSDARG00000022550	ENSGT00510000046589
ENSG00000099797	ENSDARG00000025904	ENSDARG00000070956	ENSGT00510000046645
ENSG00000187097	ENSDARG00000093659	ENSDARG00000053481	ENSGT00510000046675
ENSG00000077009	ENSDARG00000078945	ENSDARG00000067848	ENSGT00510000046782
ENSG00000162881	ENSDARG00000087084	ENSDARG00000062874	ENSGT00510000046798
ENSG00000010295	ENSDARG00000062108	ENSDARG00000062976	ENSGT00510000046803
ENSG00000265808	ENSDARG00000030108	ENSDARG00000093866	ENSGT00510000046833
ENSG00000050405	ENSDARG00000074020	ENSDARG00000076009	ENSGT00510000046839
ENSG00000171604	ENSDARG00000078865	ENSDARG00000075735	ENSGT00510000046972
ENSG00000189058	ENSDARG00000060345	ENSDARG00000057437	ENSGT00510000046981
ENSG00000237515	ENSDARG00000045145	ENSDARG00000052642	ENSGT00510000047247
ENSG00000234965	ENSDARG00000088204	ENSDARG00000090314	ENSGT00510000047247
ENSG00000164976	ENSDARG00000074894	ENSDARG00000059678	ENSGT00510000047561
ENSG00000175894	ENSDARG00000077580	ENSDARG00000089235	ENSGT00510000047718
ENSG00000120802	ENSDARG00000007315	ENSDARG00000022978	ENSGT00510000048934
ENSG00000198771	ENSDARG00000074913	ENSDARG00000059774	ENSGT00510000049038
ENSG00000168081	ENSDARG00000025024	ENSDARG00000024189	ENSGT00510000049153
ENSG00000060566	ENSDARG00000090903	ENSDARG00000056226	ENSGT00520000055538
ENSG00000167191	ENSDARG00000077080	ENSDARG00000075141	ENSGT00520000055551
ENSG00000163900	ENSDARG00000026771	ENSDARG00000070028	ENSGT00520000055582
ENSG00000173406	ENSDARG00000003290	ENSDARG00000059939	ENSGT00520000055585
ENSG00000173320	ENSDARG00000070162	ENSDARG00000078572	ENSGT00520000055589
ENSG00000101298	ENSDARG00000078485	ENSDARG00000075539	ENSGT00520000055634
ENSG00000061273	ENSDARG00000093701	ENSDARG00000073850	ENSGT00530000062809
ENSG00000152056	ENSDARG00000027966	ENSDARG00000076073	ENSGT00530000062839
ENSG00000260903	ENSDARG00000026333	ENSDARG00000036952	ENSGT00530000062854
ENSG00000275591	ENSDARG00000097530	ENSDARG00000057155	ENSGT00530000062854
ENSG00000119686	ENSDARG00000031506	ENSDARG00000038957	ENSGT00530000062892
ENSG00000122863	ENSDARG00000061070	ENSDARG00000077844	ENSGT00530000062902
ENSG00000157445	ENSDARG00000078760	ENSDARG00000045204	ENSGT00530000062904
ENSG00000124701	ENSDARG00000018881	ENSDARG00000034604	ENSGT00530000062933
ENSG00000130201	ENSDARG00000008414	ENSDARG00000030782	ENSGT00530000062934
ENSG00000157978	ENSDARG00000004311	ENSDARG00000039750	ENSGT00530000062937
ENSG00000088386	ENSDARG00000044528	ENSDARG00000077192	ENSGT00530000062961
ENSG00000114988	ENSDARG00000018865	ENSDARG00000088663	ENSGT00530000062977
ENSG00000119938	ENSDARG00000014554	ENSDARG00000071005	ENSGT00530000062978
ENSG00000132825	ENSDARG00000076248	ENSDARG00000077513	ENSGT00530000062978
ENSG00000140526	ENSDARG00000045804	ENSDARG00000025797	ENSGT00530000062981
ENSG00000109062	ENSDARG00000000068	ENSDARG00000074042	ENSGT00530000062999
ENSG00000172367	ENSDARG00000040568	ENSDARG00000055656	ENSGT00530000062999
ENSG00000196408	ENSDARG00000056374	ENSDARG00000041294	ENSGT00530000063010
ENSG00000107957	ENSDARG00000061758	ENSDARG00000060148	ENSGT00530000063010
ENSG00000166689	ENSDARG00000060813	ENSDARG00000062220	ENSGT00530000063012
ENSG00000106683	ENSDARG00000063651	ENSDARG00000003022	ENSGT00530000063025
ENSG00000107147	ENSDARG00000079484	ENSDARG00000079098	ENSGT00530000063026
ENSG00000121690	ENSDARG00000055043	ENSDARG00000053246	ENSGT00530000063030
ENSG00000110321	ENSDARG00000020377	ENSDARG00000057167	ENSGT00530000063038
ENSG00000239388	ENSDARG00000008473	ENSDARG00000087741	ENSGT00530000063050
ENSG00000132669	ENSDARG00000074589	ENSDARG00000077040	ENSGT00530000063053
ENSG00000177469	ENSDARG00000059362	ENSDARG00000076411	ENSGT00530000063058
ENSG00000170681	ENSDARG00000038658	ENSDARG00000056743	ENSGT00530000063058
ENSG00000146950	ENSDARG00000076371	ENSDARG00000076416	ENSGT00530000063061
ENSG00000185896	ENSDARG00000077944	ENSDARG00000092610	ENSGT00530000063068
ENSG00000120910	ENSDARG00000014962	ENSDARG00000057456	ENSGT00530000063087
ENSG00000155970	ENSDARG00000074255	ENSDARG00000078599	ENSGT00530000063089
ENSG00000064999	ENSDARG00000062396	ENSDARG00000078901	ENSGT00530000063104
ENSG00000167971	ENSDARG00000046107	ENSDARG00000020489	ENSGT00530000063104
