Zebrafish_gene_Ensembl_id	Ensembl_gene_tree_id
ENSDARG00000028943	ENSGT00390000002637
ENSDARG00000087260	ENSGT00390000002637
ENSDARG00000030694	ENSGT00390000002730
ENSDARG00000014085	ENSGT00390000002730
ENSDARG00000062174	ENSGT00390000002740
ENSDARG00000009738	ENSGT00390000002740
ENSDARG00000073768	ENSGT00390000003015
ENSDARG00000075980	ENSGT00390000003015
ENSDARG00000077038	ENSGT00390000003017
ENSDARG00000003877	ENSGT00390000003017
ENSDARG00000043180	ENSGT00390000003114
ENSDARG00000043701	ENSGT00390000003114
ENSDARG00000008200	ENSGT00390000003174
ENSDARG00000005578	ENSGT00390000003174
ENSDARG00000036721	ENSGT00390000003308
ENSDARG00000092112	ENSGT00390000003308
ENSDARG00000060065	ENSGT00390000003453
ENSDARG00000088318	ENSGT00390000003453
ENSDARG00000025325	ENSGT00390000003512
ENSDARG00000040085	ENSGT00390000003512
ENSDARG00000039497	ENSGT00390000003531
ENSDARG00000005343	ENSGT00390000003531
ENSDARG00000038634	ENSGT00390000003571
ENSDARG00000070810	ENSGT00390000003571
ENSDARG00000008639	ENSGT00390000003574
ENSDARG00000006862	ENSGT00390000003574
ENSDARG00000056793	ENSGT00390000003635
ENSDARG00000036243	ENSGT00390000003635
ENSDARG00000005704	ENSGT00390000003646
ENSDARG00000077296	ENSGT00390000003646
ENSDARG00000007786	ENSGT00390000003751
ENSDARG00000079122	ENSGT00390000003751
ENSDARG00000060072	ENSGT00390000003756
ENSDARG00000063283	ENSGT00390000003756
ENSDARG00000091191	ENSGT00390000003908
ENSDARG00000090326	ENSGT00390000003908
ENSDARG00000058873	ENSGT00390000004113
ENSDARG00000061656	ENSGT00390000004113
ENSDARG00000075571	ENSGT00390000004114
ENSDARG00000079184	ENSGT00390000004114
ENSDARG00000090804	ENSGT00390000004153
ENSDARG00000071086	ENSGT00390000004153
ENSDARG00000011408	ENSGT00390000004174
ENSDARG00000006600	ENSGT00390000004174
ENSDARG00000014159	ENSGT00390000004343
ENSDARG00000004939	ENSGT00390000004343
ENSDARG00000004729	ENSGT00390000004402
ENSDARG00000019457	ENSGT00390000004402
ENSDARG00000032221	ENSGT00390000004420
ENSDARG00000015552	ENSGT00390000004420
ENSDARG00000001804	ENSGT00390000004428
ENSDARG00000057060	ENSGT00390000004428
ENSDARG00000043555	ENSGT00390000004660
ENSDARG00000030236	ENSGT00390000004660
ENSDARG00000077096	ENSGT00390000004674
ENSDARG00000087524	ENSGT00390000004674
ENSDARG00000035875	ENSGT00390000004700
ENSDARG00000059247	ENSGT00390000004700
ENSDARG00000011934	ENSGT00390000004721
ENSDARG00000059391	ENSGT00390000004721
ENSDARG00000091128	ENSGT00390000004841
ENSDARG00000074308	ENSGT00390000004841
ENSDARG00000037345	ENSGT00390000004859
ENSDARG00000059795	ENSGT00390000004859
ENSDARG00000011506	ENSGT00390000004914
ENSDARG00000077671	ENSGT00390000004914
ENSDARG00000035895	ENSGT00390000004923
ENSDARG00000069739	ENSGT00390000004923
ENSDARG00000009949	ENSGT00390000004923
ENSDARG00000043396	ENSGT00390000004923
ENSDARG00000015174	ENSGT00390000004941
ENSDARG00000020847	ENSGT00390000004941
ENSDARG00000035538	ENSGT00390000004941
ENSDARG00000035565	ENSGT00390000004941
ENSDARG00000090156	ENSGT00390000004977
ENSDARG00000040039	ENSGT00390000004977
ENSDARG00000016255	ENSGT00390000005006
ENSDARG00000007323	ENSGT00390000005006
ENSDARG00000012903	ENSGT00390000005032
ENSDARG00000036864	ENSGT00390000005032
ENSDARG00000077645	ENSGT00390000005107
ENSDARG00000074600	ENSGT00390000005107
ENSDARG00000005350	ENSGT00390000005268
ENSDARG00000016348	ENSGT00390000005268
ENSDARG00000035909	ENSGT00390000005318
ENSDARG00000030630	ENSGT00390000005318
ENSDARG00000089331	ENSGT00390000005321
ENSDARG00000068644	ENSGT00390000005321
ENSDARG00000079296	ENSGT00390000005372
ENSDARG00000040907	ENSGT00390000005372
ENSDARG00000051819	ENSGT00390000005512
ENSDARG00000057286	ENSGT00390000005512
ENSDARG00000079252	ENSGT00390000005655
ENSDARG00000078640	ENSGT00390000005655
ENSDARG00000013669	ENSGT00390000005826
ENSDARG00000069101	ENSGT00390000005826
ENSDARG00000042759	ENSGT00390000005861
ENSDARG00000086283	ENSGT00390000005861
ENSDARG00000003303	ENSGT00390000005989
ENSDARG00000058476	ENSGT00390000005989
ENSDARG00000016483	ENSGT00390000005995
ENSDARG00000060933	ENSGT00390000005995
ENSDARG00000060587	ENSGT00390000005995
ENSDARG00000062799	ENSGT00390000005995
ENSDARG00000029305	ENSGT00390000005995
ENSDARG00000031119	ENSGT00390000005995
ENSDARG00000009447	ENSGT00390000006210
ENSDARG00000017775	ENSGT00390000006210
ENSDARG00000074984	ENSGT00390000006245
ENSDARG00000062347	ENSGT00390000006245
ENSDARG00000028664	ENSGT00390000006429
ENSDARG00000011127	ENSGT00390000006429
ENSDARG00000002750	ENSGT00390000006451
ENSDARG00000038737	ENSGT00390000006451
ENSDARG00000061362	ENSGT00390000006452
ENSDARG00000062955	ENSGT00390000006452
ENSDARG00000052099	ENSGT00390000006648
ENSDARG00000018478	ENSGT00390000006648
ENSDARG00000060601	ENSGT00390000006968
ENSDARG00000016742	ENSGT00390000006968
ENSDARG00000075858	ENSGT00390000006985
ENSDARG00000086224	ENSGT00390000006985
ENSDARG00000079716	ENSGT00390000007239
ENSDARG00000059812	ENSGT00390000007239
ENSDARG00000079719	ENSGT00390000007336
ENSDARG00000076620	ENSGT00390000007336
ENSDARG00000069589	ENSGT00390000007371
ENSDARG00000074503	ENSGT00390000007371
ENSDARG00000090338	ENSGT00390000007484
ENSDARG00000074317	ENSGT00390000007484
ENSDARG00000039949	ENSGT00390000007623
ENSDARG00000087196	ENSGT00390000007623
ENSDARG00000060954	ENSGT00390000007639
ENSDARG00000076747	ENSGT00390000007639
ENSDARG00000039521	ENSGT00390000007688
ENSDARG00000061602	ENSGT00390000007688
ENSDARG00000014050	ENSGT00390000007725
ENSDARG00000058961	ENSGT00390000007725
ENSDARG00000008772	ENSGT00390000007786
ENSDARG00000052360	ENSGT00390000007786
ENSDARG00000025340	ENSGT00390000008040
ENSDARG00000052875	ENSGT00390000008040
ENSDARG00000091843	ENSGT00390000008092
ENSDARG00000089217	ENSGT00390000008092
ENSDARG00000079978	ENSGT00390000008161
ENSDARG00000094377	ENSGT00390000008161
ENSDARG00000005800	ENSGT00390000008190
ENSDARG00000032469	ENSGT00390000008190
ENSDARG00000088554	ENSGT00390000008190
ENSDARG00000029952	ENSGT00390000008190
ENSDARG00000070427	ENSGT00390000008308
ENSDARG00000070702	ENSGT00390000008308
ENSDARG00000078448	ENSGT00390000008320
ENSDARG00000077608	ENSGT00390000008320
ENSDARG00000015566	ENSGT00390000008341
ENSDARG00000005394	ENSGT00390000008341
ENSDARG00000057125	ENSGT00390000008356
ENSDARG00000056228	ENSGT00390000008356
ENSDARG00000053186	ENSGT00390000008566
ENSDARG00000010154	ENSGT00390000008566
ENSDARG00000076351	ENSGT00390000008571
ENSDARG00000075352	ENSGT00390000008571
ENSDARG00000016238	ENSGT00390000008631
ENSDARG00000077044	ENSGT00390000008631
ENSDARG00000071601	ENSGT00390000008690
ENSDARG00000037790	ENSGT00390000008690
ENSDARG00000034705	ENSGT00390000008690
ENSDARG00000009311	ENSGT00390000008690
ENSDARG00000069674	ENSGT00390000008694
ENSDARG00000027687	ENSGT00390000008694
ENSDARG00000076239	ENSGT00390000008711
ENSDARG00000087426	ENSGT00390000008711
ENSDARG00000012866	ENSGT00390000008805
ENSDARG00000014137	ENSGT00390000008805
ENSDARG00000076591	ENSGT00390000008805
ENSDARG00000015931	ENSGT00390000008805
ENSDARG00000078671	ENSGT00390000008812
ENSDARG00000071011	ENSGT00390000008812
ENSDARG00000037916	ENSGT00390000008812
ENSDARG00000045087	ENSGT00390000008812
ENSDARG00000003933	ENSGT00390000008859
ENSDARG00000003191	ENSGT00390000008859
ENSDARG00000007682	ENSGT00390000009113
ENSDARG00000031317	ENSGT00390000009113
ENSDARG00000061916	ENSGT00390000009278
ENSDARG00000068575	ENSGT00390000009278
ENSDARG00000005993	ENSGT00390000009453
ENSDARG00000010511	ENSGT00390000009453
ENSDARG00000032380	ENSGT00390000009497
ENSDARG00000044475	ENSGT00390000009497
ENSDARG00000069336	ENSGT00390000009664
ENSDARG00000069461	ENSGT00390000009664
ENSDARG00000025285	ENSGT00390000009703
ENSDARG00000014910	ENSGT00390000009703
ENSDARG00000035676	ENSGT00390000009788
ENSDARG00000087443	ENSGT00390000009788
ENSDARG00000000369	ENSGT00390000009849
ENSDARG00000017537	ENSGT00390000009849
ENSDARG00000045540	ENSGT00390000009899
ENSDARG00000069654	ENSGT00390000009899
ENSDARG00000074378	ENSGT00390000009929
ENSDARG00000088371	ENSGT00390000009929
ENSDARG00000057027	ENSGT00390000009934
ENSDARG00000016088	ENSGT00390000009934
ENSDARG00000059965	ENSGT00390000010026
ENSDARG00000062173	ENSGT00390000010026
ENSDARG00000059475	ENSGT00390000010026
ENSDARG00000091359	ENSGT00390000010026
ENSDARG00000019208	ENSGT00390000010026
ENSDARG00000035122	ENSGT00390000010026
ENSDARG00000002230	ENSGT00390000010039
ENSDARG00000042974	ENSGT00390000010039
ENSDARG00000037587	ENSGT00390000010039
ENSDARG00000044278	ENSGT00390000010039
ENSDARG00000055307	ENSGT00390000010039
ENSDARG00000000690	ENSGT00390000010039
ENSDARG00000052818	ENSGT00390000010052
ENSDARG00000015803	ENSGT00390000010052
ENSDARG00000035872	ENSGT00390000010069
ENSDARG00000015709	ENSGT00390000010069
ENSDARG00000010727	ENSGT00390000010182
ENSDARG00000016934	ENSGT00390000010182
ENSDARG00000091784	ENSGT00390000010209
ENSDARG00000058943	ENSGT00390000010209
ENSDARG00000057016	ENSGT00390000010254
ENSDARG00000013858	ENSGT00390000010254
ENSDARG00000029432	ENSGT00390000010268
ENSDARG00000036082	ENSGT00390000010268
ENSDARG00000093281	ENSGT00390000010427
ENSDARG00000061052	ENSGT00390000010427
ENSDARG00000056378	ENSGT00390000010450
ENSDARG00000075629	ENSGT00390000010450
ENSDARG00000091163	ENSGT00390000010457
ENSDARG00000087907	ENSGT00390000010457
ENSDARG00000069095	ENSGT00390000010463
ENSDARG00000002917	ENSGT00390000010463
ENSDARG00000073999	ENSGT00390000010628
ENSDARG00000061143	ENSGT00390000010628
ENSDARG00000086815	ENSGT00390000010832
ENSDARG00000038709	ENSGT00390000010832
ENSDARG00000060638	ENSGT00390000010858
ENSDARG00000060637	ENSGT00390000010858
ENSDARG00000017470	ENSGT00390000010895
ENSDARG00000038574	ENSGT00390000010895
ENSDARG00000077134	ENSGT00390000010934
ENSDARG00000079665	ENSGT00390000010934
ENSDARG00000056762	ENSGT00390000010992
ENSDARG00000057706	ENSGT00390000010992
ENSDARG00000056995	ENSGT00390000011027
ENSDARG00000046019	ENSGT00390000011027
ENSDARG00000020239	ENSGT00390000011286
ENSDARG00000076096	ENSGT00390000011286
ENSDARG00000045814	ENSGT00390000011355
ENSDARG00000039681	ENSGT00390000011355
ENSDARG00000027799	ENSGT00390000011492
ENSDARG00000005485	ENSGT00390000011492
ENSDARG00000035869	ENSGT00390000011560
ENSDARG00000052789	ENSGT00390000011560
ENSDARG00000089276	ENSGT00390000011615
ENSDARG00000091406	ENSGT00390000011615
ENSDARG00000090925	ENSGT00390000011620
ENSDARG00000068192	ENSGT00390000011620
ENSDARG00000088546	ENSGT00390000011642
ENSDARG00000056125	ENSGT00390000011642
ENSDARG00000008109	ENSGT00390000011747
ENSDARG00000030053	ENSGT00390000011747
ENSDARG00000042213	ENSGT00390000011781
ENSDARG00000004386	ENSGT00390000011781
ENSDARG00000025846	ENSGT00390000011832
ENSDARG00000016866	ENSGT00390000011832
ENSDARG00000002333	ENSGT00390000011832
ENSDARG00000053104	ENSGT00390000011832
ENSDARG00000011122	ENSGT00390000011937
ENSDARG00000052658	ENSGT00390000011937
ENSDARG00000015623	ENSGT00390000012118
ENSDARG00000051746	ENSGT00390000012118
ENSDARG00000020609	ENSGT00390000012186
ENSDARG00000058117	ENSGT00390000012186
ENSDARG00000077086	ENSGT00390000012355
ENSDARG00000061641	ENSGT00390000012355
ENSDARG00000052022	ENSGT00390000012364
ENSDARG00000070256	ENSGT00390000012364
ENSDARG00000059333	ENSGT00390000012399
ENSDARG00000031658	ENSGT00390000012399
ENSDARG00000036541	ENSGT00390000012532
ENSDARG00000017367	ENSGT00390000012532
ENSDARG00000054542	ENSGT00390000012630
ENSDARG00000033727	ENSGT00390000012630
ENSDARG00000005673	ENSGT00390000012668
ENSDARG00000021013	ENSGT00390000012668
ENSDARG00000054036	ENSGT00390000012719
ENSDARG00000038300	ENSGT00390000012719
ENSDARG00000073720	ENSGT00390000012786
ENSDARG00000057101	ENSGT00390000012786
ENSDARG00000075020	ENSGT00390000012789
ENSDARG00000052033	ENSGT00390000012789
ENSDARG00000074474	ENSGT00390000012886
ENSDARG00000056691	ENSGT00390000012886
ENSDARG00000029982	ENSGT00390000012913
ENSDARG00000029057	ENSGT00390000012913
ENSDARG00000057767	ENSGT00390000012928
ENSDARG00000045878	ENSGT00390000012928
ENSDARG00000020891	ENSGT00390000013063
ENSDARG00000039310	ENSGT00390000013063
ENSDARG00000036344	ENSGT00390000013118
ENSDARG00000041062	ENSGT00390000013118
ENSDARG00000033376	ENSGT00390000013132
ENSDARG00000040707	ENSGT00390000013132
ENSDARG00000020000	ENSGT00390000013151
ENSDARG00000030104	ENSGT00390000013151
ENSDARG00000028000	ENSGT00390000013209
ENSDARG00000012801	ENSGT00390000013209
ENSDARG00000060797	ENSGT00390000013209
ENSDARG00000014179	ENSGT00390000013209
ENSDARG00000045858	ENSGT00390000013224
ENSDARG00000051749	ENSGT00390000013224
ENSDARG00000052700	ENSGT00390000013285
ENSDARG00000086087	ENSGT00390000013285
ENSDARG00000025468	ENSGT00390000013415
ENSDARG00000028067	ENSGT00390000013415
ENSDARG00000079272	ENSGT00390000013475
ENSDARG00000075180	ENSGT00390000013475
ENSDARG00000027618	ENSGT00390000013494
ENSDARG00000087187	ENSGT00390000013494
ENSDARG00000078245	ENSGT00390000013505
ENSDARG00000062711	ENSGT00390000013505
ENSDARG00000075768	ENSGT00390000013558
ENSDARG00000092713	ENSGT00390000013558
ENSDARG00000031920	ENSGT00390000013611
ENSDARG00000020610	ENSGT00390000013611
ENSDARG00000003910	ENSGT00390000013680
ENSDARG00000053884	ENSGT00390000013680
ENSDARG00000042961	ENSGT00390000013699
ENSDARG00000062699	ENSGT00390000013699
ENSDARG00000032859	ENSGT00390000013755
ENSDARG00000040280	ENSGT00390000013755
ENSDARG00000060034	ENSGT00390000013762
ENSDARG00000079878	ENSGT00390000013762
ENSDARG00000038814	ENSGT00390000013933
ENSDARG00000075706	ENSGT00390000013933
ENSDARG00000070991	ENSGT00390000013933
ENSDARG00000062481	ENSGT00390000013933
ENSDARG00000074403	ENSGT00390000013941
ENSDARG00000022518	ENSGT00390000013941
ENSDARG00000055100	ENSGT00390000014056
ENSDARG00000037116	ENSGT00390000014056
ENSDARG00000035954	ENSGT00390000014242
ENSDARG00000069941	ENSGT00390000014242
ENSDARG00000078856	ENSGT00390000014377
ENSDARG00000079638	ENSGT00390000014377
ENSDARG00000018743	ENSGT00390000014393
ENSDARG00000040274	ENSGT00390000014393
ENSDARG00000078259	ENSGT00390000014412
ENSDARG00000078063	ENSGT00390000014412
ENSDARG00000034453	ENSGT00390000014595
ENSDARG00000044362	ENSGT00390000014595
ENSDARG00000058853	ENSGT00390000014672
ENSDARG00000007179	ENSGT00390000014672
ENSDARG00000054543	ENSGT00390000014672
ENSDARG00000078647	ENSGT00390000014672
ENSDARG00000017579	ENSGT00390000014700
ENSDARG00000016923	ENSGT00390000014700
ENSDARG00000010641	ENSGT00390000014879
ENSDARG00000020114	ENSGT00390000014879
ENSDARG00000078202	ENSGT00390000014889
ENSDARG00000060018	ENSGT00390000014889
ENSDARG00000005870	ENSGT00390000015050
ENSDARG00000041602	ENSGT00390000015050
ENSDARG00000017023	ENSGT00390000015102
ENSDARG00000019001	ENSGT00390000015102
ENSDARG00000062109	ENSGT00390000015203
ENSDARG00000094243	ENSGT00390000015203
ENSDARG00000067797	ENSGT00390000015212
ENSDARG00000000767	ENSGT00390000015212
ENSDARG00000088405	ENSGT00390000015348
ENSDARG00000089871	ENSGT00390000015348
ENSDARG00000011515	ENSGT00390000015354
ENSDARG00000004154	ENSGT00390000015354
ENSDARG00000031426	ENSGT00390000015510
ENSDARG00000038429	ENSGT00390000015510
ENSDARG00000059461	ENSGT00390000015611
ENSDARG00000035771	ENSGT00390000015611
ENSDARG00000069745	ENSGT00390000015655
ENSDARG00000090686	ENSGT00390000015655
ENSDARG00000022213	ENSGT00390000015696
ENSDARG00000006074	ENSGT00390000015696
ENSDARG00000044144	ENSGT00390000015768
ENSDARG00000029768	ENSGT00390000015768
ENSDARG00000031126	ENSGT00390000015892
ENSDARG00000091540	ENSGT00390000015892
ENSDARG00000020857	ENSGT00390000015958
ENSDARG00000078829	ENSGT00390000015958
ENSDARG00000013655	ENSGT00390000015988
ENSDARG00000027154	ENSGT00390000015988
ENSDARG00000006568	ENSGT00390000015997
ENSDARG00000001712	ENSGT00390000015997
ENSDARG00000024139	ENSGT00390000016028
ENSDARG00000004455	ENSGT00390000016028
ENSDARG00000029718	ENSGT00390000016028
ENSDARG00000010477	ENSGT00390000016028
ENSDARG00000006816	ENSGT00390000016051
ENSDARG00000069910	ENSGT00390000016051
ENSDARG00000013134	ENSGT00390000016192
ENSDARG00000021345	ENSGT00390000016192
ENSDARG00000014840	ENSGT00390000016192
ENSDARG00000038018	ENSGT00390000016192
ENSDARG00000026926	ENSGT00390000016192
ENSDARG00000019752	ENSGT00390000016192
ENSDARG00000078831	ENSGT00390000016277
ENSDARG00000076874	ENSGT00390000016277
ENSDARG00000077297	ENSGT00390000016335
ENSDARG00000078772	ENSGT00390000016335
ENSDARG00000044676	ENSGT00390000016506
ENSDARG00000016725	ENSGT00390000016506
ENSDARG00000069991	ENSGT00390000016506
ENSDARG00000043581	ENSGT00390000016506
ENSDARG00000073792	ENSGT00390000016529
ENSDARG00000076592	ENSGT00390000016529
ENSDARG00000005625	ENSGT00390000016613
ENSDARG00000012741	ENSGT00390000016613
ENSDARG00000067908	ENSGT00390000016736
ENSDARG00000079636	ENSGT00390000016736
ENSDARG00000069307	ENSGT00390000016811
ENSDARG00000043135	ENSGT00390000016811
ENSDARG00000075803	ENSGT00390000016816
ENSDARG00000073881	ENSGT00390000016816
ENSDARG00000055518	ENSGT00390000016886
ENSDARG00000013317	ENSGT00390000016886
ENSDARG00000015732	ENSGT00390000016897
ENSDARG00000045601	ENSGT00390000016897
ENSDARG00000074617	ENSGT00390000016928
ENSDARG00000062341	ENSGT00390000016928
ENSDARG00000042115	ENSGT00390000016940
ENSDARG00000034685	ENSGT00390000016940
ENSDARG00000030441	ENSGT00390000017004
ENSDARG00000034201	ENSGT00390000017004
ENSDARG00000058848	ENSGT00390000017126
ENSDARG00000002285	ENSGT00390000017126
ENSDARG00000043034	ENSGT00390000017126
ENSDARG00000078363	ENSGT00390000017126
ENSDARG00000071673	ENSGT00390000017194
ENSDARG00000062116	ENSGT00390000017194
ENSDARG00000061587	ENSGT00390000017194
ENSDARG00000060586	ENSGT00390000017194
ENSDARG00000074480	ENSGT00390000017199
ENSDARG00000073707	ENSGT00390000017199
ENSDARG00000074528	ENSGT00390000017323
ENSDARG00000011683	ENSGT00390000017323
ENSDARG00000074902	ENSGT00390000017363
ENSDARG00000037607	ENSGT00390000017363
ENSDARG00000002994	ENSGT00390000017438
ENSDARG00000067741	ENSGT00390000017438
ENSDARG00000076079	ENSGT00390000017548
ENSDARG00000004322	ENSGT00390000017548
ENSDARG00000087285	ENSGT00390000017581
ENSDARG00000040374	ENSGT00390000017581
ENSDARG00000073784	ENSGT00390000017627
ENSDARG00000022260	ENSGT00390000017627
ENSDARG00000070590	ENSGT00390000017767
ENSDARG00000035883	ENSGT00390000017767
ENSDARG00000077888	ENSGT00390000017860
ENSDARG00000019185	ENSGT00390000017860
ENSDARG00000074827	ENSGT00390000017874
ENSDARG00000070229	ENSGT00390000017874
ENSDARG00000035054	ENSGT00390000017913
ENSDARG00000012591	ENSGT00390000017913
ENSDARG00000062889	ENSGT00390000018059
ENSDARG00000063018	ENSGT00390000018059
ENSDARG00000058725	ENSGT00390000018225
ENSDARG00000042159	ENSGT00390000018225
ENSDARG00000061243	ENSGT00390000018249
ENSDARG00000077399	ENSGT00390000018249
ENSDARG00000057058	ENSGT00390000018409
ENSDARG00000045172	ENSGT00390000018409
ENSDARG00000058267	ENSGT00390000018446
ENSDARG00000010958	ENSGT00390000018446
ENSDARG00000071159	ENSGT00390000018525
ENSDARG00000070746	ENSGT00390000018525
ENSDARG00000071252	ENSGT00390000018560
ENSDARG00000060222	ENSGT00390000018560
ENSDARG00000035952	ENSGT00390000018570
ENSDARG00000037359	ENSGT00390000018570
ENSDARG00000007714	ENSGT00390000018573
ENSDARG00000013990	ENSGT00390000018573
ENSDARG00000003827	ENSGT00390000018691
ENSDARG00000029569	ENSGT00390000018691
ENSDARG00000087983	ENSGT00390000018711
ENSDARG00000090953	ENSGT00390000018711
ENSDARG00000055540	ENSGT00390000018751
ENSDARG00000029075	ENSGT00390000018751
ENSDARG00000037140	ENSGT00390000018751
ENSDARG00000074457	ENSGT00390000018751
ENSDARG00000023840	ENSGT00390000018751
ENSDARG00000002037	ENSGT00390000018751
ENSDARG00000053859	ENSGT00390000018792
ENSDARG00000089691	ENSGT00390000018792
ENSDARG00000094738	ENSGT00390000018830
ENSDARG00000074638	ENSGT00390000018830
ENSDARG00000038716	ENSGT00390000019377
ENSDARG00000018105	ENSGT00390000019377
ENSDARG00000036386	ENSGT00390000020883
ENSDARG00000055080	ENSGT00390000020883
ENSDARG00000074676	ENSGT00400000022016
ENSDARG00000058089	ENSGT00400000022016
ENSDARG00000024195	ENSGT00400000022069
ENSDARG00000060113	ENSGT00400000022069
ENSDARG00000076964	ENSGT00400000022086
ENSDARG00000017154	ENSGT00400000022086
ENSDARG00000074924	ENSGT00410000025363
ENSDARG00000077559	ENSGT00410000025363
ENSDARG00000042029	ENSGT00410000025376
ENSDARG00000061774	ENSGT00410000025376
ENSDARG00000076551	ENSGT00410000025501
ENSDARG00000068319	ENSGT00410000025501
ENSDARG00000020103	ENSGT00430000030841
ENSDARG00000043276	ENSGT00430000030841
ENSDARG00000096600	ENSGT00430000030906
ENSDARG00000014180	ENSGT00430000030906
ENSDARG00000090642	ENSGT00430000031027
ENSDARG00000087088	ENSGT00430000031027
ENSDARG00000063011	ENSGT00430000031214
ENSDARG00000060520	ENSGT00430000031214
ENSDARG00000060845	ENSGT00430000031214
ENSDARG00000063612	ENSGT00430000031214
ENSDARG00000025672	ENSGT00430000031214
ENSDARG00000074075	ENSGT00430000031214
ENSDARG00000077948	ENSGT00440000033513
ENSDARG00000077749	ENSGT00440000033513
ENSDARG00000087064	ENSGT00440000033720
ENSDARG00000012896	ENSGT00440000033720
ENSDARG00000070319	ENSGT00440000033742
ENSDARG00000053855	ENSGT00440000033742
ENSDARG00000075986	ENSGT00440000034107
ENSDARG00000077459	ENSGT00440000034107
ENSDARG00000060263	ENSGT00440000034155
ENSDARG00000086918	ENSGT00440000034155
ENSDARG00000030064	ENSGT00440000037398
ENSDARG00000094504	ENSGT00440000037398
ENSDARG00000061804	ENSGT00440000038119
ENSDARG00000060340	ENSGT00440000038119
ENSDARG00000006212	ENSGT00440000038465
ENSDARG00000008209	ENSGT00440000038465
ENSDARG00000074030	ENSGT00440000038465
ENSDARG00000089464	ENSGT00440000038465
ENSDARG00000011594	ENSGT00440000038585
ENSDARG00000033647	ENSGT00440000038585
ENSDARG00000074697	ENSGT00440000038604
ENSDARG00000056156	ENSGT00440000038604
ENSDARG00000067813	ENSGT00440000038745
ENSDARG00000012338	ENSGT00440000038745
ENSDARG00000038401	ENSGT00440000039070
ENSDARG00000039117	ENSGT00440000039070
ENSDARG00000041317	ENSGT00440000039203
ENSDARG00000056059	ENSGT00440000039203
ENSDARG00000023921	ENSGT00490000043321
ENSDARG00000010745	ENSGT00490000043321
ENSDARG00000054641	ENSGT00500000044785
ENSDARG00000037183	ENSGT00500000044785
ENSDARG00000011797	ENSGT00500000044785
ENSDARG00000039943	ENSGT00500000044785
ENSDARG00000029204	ENSGT00500000044790
ENSDARG00000056151	ENSGT00500000044790
ENSDARG00000090534	ENSGT00500000044791
ENSDARG00000058323	ENSGT00500000044791
ENSDARG00000045768	ENSGT00500000044813
ENSDARG00000011583	ENSGT00500000044813
ENSDARG00000058357	ENSGT00500000044852
ENSDARG00000015589	ENSGT00500000044852
ENSDARG00000055638	ENSGT00500000044852
