Mouse_gene_Ensembl_id	Ensembl_gene_tree_id
ENSMUSG00000068011	ENSGT00390000003839
ENSMUSG00000037455	ENSGT00390000003851
ENSMUSG00000027313	ENSGT00390000003855
ENSMUSG00000020309	ENSGT00390000003855
ENSMUSG00000031577	ENSGT00390000003878
ENSMUSG00000027411	ENSGT00390000003896
ENSMUSG00000038225	ENSGT00390000003901
ENSMUSG00000035585	ENSGT00390000003912
ENSMUSG00000047260	ENSGT00390000003917
ENSMUSG00000031931	ENSGT00390000003919
ENSMUSG00000090290	ENSGT00390000003939
ENSMUSG00000029346	ENSGT00390000003948
ENSMUSG00000021240	ENSGT00390000003950
ENSMUSG00000040007	ENSGT00390000003967
ENSMUSG00000062352	ENSGT00390000003990
ENSMUSG00000044894	ENSGT00390000004029
ENSMUSG00000075419	ENSGT00390000004067
ENSMUSG00000042055	ENSGT00390000004068
ENSMUSG00000051671	ENSGT00390000004094
ENSMUSG00000002329	ENSGT00390000004110
ENSMUSG00000034906	ENSGT00390000004149
ENSMUSG00000041762	ENSGT00390000004153
ENSMUSG00000050132	ENSGT00390000004155
ENSMUSG00000031352	ENSGT00390000004175
ENSMUSG00000025591	ENSGT00390000004179
ENSMUSG00000019945	ENSGT00390000004181
ENSMUSG00000036046	ENSGT00390000004190
ENSMUSG00000028850	ENSGT00390000004191
ENSMUSG00000041747	ENSGT00390000004228
ENSMUSG00000070806	ENSGT00390000004248
ENSMUSG00000021906	ENSGT00390000004280
ENSMUSG00000045107	ENSGT00390000004313
ENSMUSG00000069844	ENSGT00390000004323
ENSMUSG00000091780	ENSGT00390000004323
ENSMUSG00000019762	ENSGT00390000004348
ENSMUSG00000053604	ENSGT00390000004352
ENSMUSG00000043648	ENSGT00390000004368
ENSMUSG00000024404	ENSGT00390000004370
ENSMUSG00000022476	ENSGT00390000004383
ENSMUSG00000022545	ENSGT00390000004394
ENSMUSG00000021773	ENSGT00390000004409
ENSMUSG00000038704	ENSGT00390000004452
ENSMUSG00000021671	ENSGT00390000004454
ENSMUSG00000027170	ENSGT00390000004456
ENSMUSG00000026816	ENSGT00390000004458
ENSMUSG00000038122	ENSGT00390000004463
ENSMUSG00000048581	ENSGT00390000004493
ENSMUSG00000025209	ENSGT00390000004495
ENSMUSG00000008140	ENSGT00390000004520
ENSMUSG00000040302	ENSGT00390000004541
ENSMUSG00000078695	ENSGT00390000004574
ENSMUSG00000020085	ENSGT00390000004582
ENSMUSG00000057228	ENSGT00390000004594
ENSMUSG00000079036	ENSGT00390000004599
ENSMUSG00000029176	ENSGT00390000004612
ENSMUSG00000028331	ENSGT00390000004643
ENSMUSG00000025289	ENSGT00390000004653
ENSMUSG00000022570	ENSGT00390000004681
ENSMUSG00000014907	ENSGT00390000004697
ENSMUSG00000029617	ENSGT00390000004713
ENSMUSG00000032059	ENSGT00390000004731
ENSMUSG00000031756	ENSGT00390000004738
ENSMUSG00000038160	ENSGT00390000004766
ENSMUSG00000033429	ENSGT00390000004772
ENSMUSG00000029500	ENSGT00390000004796
ENSMUSG00000045662	ENSGT00390000004798
ENSMUSG00000040034	ENSGT00390000004803
ENSMUSG00000048351	ENSGT00390000004835
ENSMUSG00000029103	ENSGT00390000004855
ENSMUSG00000056665	ENSGT00390000004859
ENSMUSG00000021431	ENSGT00390000004886
ENSMUSG00000036061	ENSGT00390000004897
ENSMUSG00000021176	ENSGT00390000004917
ENSMUSG00000037251	ENSGT00390000004945
ENSMUSG00000019297	ENSGT00390000004964
ENSMUSG00000038299	ENSGT00390000004976
ENSMUSG00000058290	ENSGT00390000004990
ENSMUSG00000025728	ENSGT00390000004994
ENSMUSG00000039737	ENSGT00390000005003
ENSMUSG00000048416	ENSGT00390000005023
ENSMUSG00000040913	ENSGT00390000005029
ENSMUSG00000052616	ENSGT00390000005075
ENSMUSG00000026887	ENSGT00390000005084
ENSMUSG00000024854	ENSGT00390000005096
ENSMUSG00000005609	ENSGT00390000005097
ENSMUSG00000069020	ENSGT00390000005101
ENSMUSG00000055184	ENSGT00390000005106
ENSMUSG00000061024	ENSGT00390000005213
ENSMUSG00000028016	ENSGT00390000005218
ENSMUSG00000006464	ENSGT00390000005232
ENSMUSG00000072772	ENSGT00390000005242
ENSMUSG00000029234	ENSGT00390000005261
ENSMUSG00000032078	ENSGT00390000005306
ENSMUSG00000039068	ENSGT00390000005307
ENSMUSG00000067847	ENSGT00390000005315
ENSMUSG00000005949	ENSGT00390000005338
ENSMUSG00000029111	ENSGT00390000005342
ENSMUSG00000059434	ENSGT00390000005345
ENSMUSG00000074064	ENSGT00390000005410
ENSMUSG00000018372	ENSGT00390000005412
ENSMUSG00000006395	ENSGT00390000005462
ENSMUSG00000029466	ENSGT00390000005482
ENSMUSG00000026698	ENSGT00390000005496
ENSMUSG00000035757	ENSGT00390000005508
ENSMUSG00000021179	ENSGT00390000005524
ENSMUSG00000002031	ENSGT00390000005544
ENSMUSG00000026112	ENSGT00390000005548
ENSMUSG00000038323	ENSGT00390000005550
ENSMUSG00000020561	ENSGT00390000005553
ENSMUSG00000026601	ENSGT00390000005554
ENSMUSG00000001472	ENSGT00390000005563
ENSMUSG00000064357	ENSGT00390000005568
ENSMUSG00000051256	ENSGT00390000005596
ENSMUSG00000028300	ENSGT00390000005644
ENSMUSG00000047789	ENSGT00390000005646
ENSMUSG00000014747	ENSGT00390000005650
ENSMUSG00000030041	ENSGT00390000005656
ENSMUSG00000025857	ENSGT00390000005666
ENSMUSG00000039810	ENSGT00390000005669
ENSMUSG00000024132	ENSGT00390000005678
ENSMUSG00000028483	ENSGT00390000005708
ENSMUSG00000020783	ENSGT00390000005712
ENSMUSG00000043333	ENSGT00390000005726
ENSMUSG00000032397	ENSGT00390000005764
ENSMUSG00000039318	ENSGT00390000005794
ENSMUSG00000018585	ENSGT00390000005805
ENSMUSG00000022354	ENSGT00390000005809
ENSMUSG00000059363	ENSGT00390000005811
ENSMUSG00000028907	ENSGT00390000005813
ENSMUSG00000020022	ENSGT00390000005848
ENSMUSG00000040325	ENSGT00390000005874
ENSMUSG00000025169	ENSGT00390000005895
ENSMUSG00000026199	ENSGT00390000005911
ENSMUSG00000029569	ENSGT00390000005941
ENSMUSG00000032252	ENSGT00390000006043
ENSMUSG00000037085	ENSGT00390000006078
ENSMUSG00000039130	ENSGT00390000006086
ENSMUSG00000032459	ENSGT00390000006095
ENSMUSG00000004561	ENSGT00390000006103
ENSMUSG00000039048	ENSGT00390000006114
ENSMUSG00000028468	ENSGT00390000006136
ENSMUSG00000030888	ENSGT00390000006189
ENSMUSG00000015804	ENSGT00390000006192
ENSMUSG00000027194	ENSGT00390000006196
ENSMUSG00000018199	ENSGT00390000006200
ENSMUSG00000049154	ENSGT00390000006224
ENSMUSG00000006288	ENSGT00390000006227
ENSMUSG00000029199	ENSGT00390000006234
ENSMUSG00000021714	ENSGT00390000006243
ENSMUSG00000003526	ENSGT00390000006265
ENSMUSG00000036892	ENSGT00390000006265
ENSMUSG00000079484	ENSGT00390000006287
ENSMUSG00000062031	ENSGT00390000006297
ENSMUSG00000032965	ENSGT00390000006307
ENSMUSG00000022253	ENSGT00390000006320
ENSMUSG00000039754	ENSGT00390000006344
ENSMUSG00000056228	ENSGT00390000006347
ENSMUSG00000040048	ENSGT00390000006348
ENSMUSG00000003135	ENSGT00390000006356
ENSMUSG00000027306	ENSGT00390000006370
ENSMUSG00000057388	ENSGT00390000006394
ENSMUSG00000018449	ENSGT00390000006416
ENSMUSG00000040482	ENSGT00390000006425
ENSMUSG00000049287	ENSGT00390000006465
ENSMUSG00000024528	ENSGT00390000006478
ENSMUSG00000073096	ENSGT00390000006479
ENSMUSG00000009670	ENSGT00390000006492
ENSMUSG00000023967	ENSGT00390000006493
ENSMUSG00000021785	ENSGT00390000006540
ENSMUSG00000038102	ENSGT00390000006550
ENSMUSG00000022748	ENSGT00390000006574
ENSMUSG00000021033	ENSGT00390000006580
ENSMUSG00000063458	ENSGT00390000006581
ENSMUSG00000058997	ENSGT00390000006601
ENSMUSG00000040843	ENSGT00390000006659
ENSMUSG00000001786	ENSGT00390000006670
ENSMUSG00000028271	ENSGT00390000006671
ENSMUSG00000046836	ENSGT00390000006681
ENSMUSG00000024170	ENSGT00390000006698
ENSMUSG00000036104	ENSGT00390000006705
ENSMUSG00000055760	ENSGT00390000006712
ENSMUSG00000023010	ENSGT00390000006722
ENSMUSG00000035311	ENSGT00390000006747
ENSMUSG00000018378	ENSGT00390000006762
ENSMUSG00000020471	ENSGT00390000006780
ENSMUSG00000008167	ENSGT00390000006806
ENSMUSG00000034552	ENSGT00390000006826
ENSMUSG00000002769	ENSGT00390000006845
ENSMUSG00000033031	ENSGT00390000006861
ENSMUSG00000000399	ENSGT00390000006865
ENSMUSG00000024505	ENSGT00390000006867
ENSMUSG00000032235	ENSGT00390000006883
ENSMUSG00000078676	ENSGT00390000006930
ENSMUSG00000046605	ENSGT00390000006933
ENSMUSG00000032098	ENSGT00390000006949
ENSMUSG00000024603	ENSGT00390000006954
ENSMUSG00000026730	ENSGT00390000006960
ENSMUSG00000027131	ENSGT00390000006970
ENSMUSG00000036160	ENSGT00390000006980
ENSMUSG00000045690	ENSGT00390000006996
ENSMUSG00000028393	ENSGT00390000006998
ENSMUSG00000035069	ENSGT00390000007027
ENSMUSG00000027018	ENSGT00390000007069
ENSMUSG00000063808	ENSGT00390000007074
ENSMUSG00000024312	ENSGT00390000007075
ENSMUSG00000026669	ENSGT00390000007134
ENSMUSG00000022540	ENSGT00390000007164
ENSMUSG00000021947	ENSGT00390000007182
ENSMUSG00000027305	ENSGT00390000007200
ENSMUSG00000018171	ENSGT00390000007230
ENSMUSG00000041617	ENSGT00390000007249
ENSMUSG00000042642	ENSGT00390000007266
ENSMUSG00000038510	ENSGT00390000007279
ENSMUSG00000028247	ENSGT00390000007284
ENSMUSG00000035007	ENSGT00390000007311
ENSMUSG00000029173	ENSGT00390000007332
ENSMUSG00000022604	ENSGT00390000007337
ENSMUSG00000069237	ENSGT00390000007346
ENSMUSG00000042328	ENSGT00390000007349
ENSMUSG00000039840	ENSGT00390000007354
ENSMUSG00000047045	ENSGT00390000007430
ENSMUSG00000040822	ENSGT00390000007438
ENSMUSG00000021278	ENSGT00390000007463
ENSMUSG00000022827	ENSGT00390000007467
ENSMUSG00000033557	ENSGT00390000007484
ENSMUSG00000020544	ENSGT00390000007512
ENSMUSG00000020280	ENSGT00390000007529
ENSMUSG00000003444	ENSGT00390000007540
ENSMUSG00000052962	ENSGT00390000007547
ENSMUSG00000075704	ENSGT00390000007578
ENSMUSG00000031584	ENSGT00390000007578
ENSMUSG00000040738	ENSGT00390000007597
ENSMUSG00000035378	ENSGT00390000007605
ENSMUSG00000072919	ENSGT00390000007632
ENSMUSG00000034919	ENSGT00390000007658
ENSMUSG00000027378	ENSGT00390000007701
ENSMUSG00000037772	ENSGT00390000007739
ENSMUSG00000020903	ENSGT00390000007779
ENSMUSG00000027628	ENSGT00390000007796
ENSMUSG00000027953	ENSGT00390000007801
ENSMUSG00000043252	ENSGT00390000007813
ENSMUSG00000027569	ENSGT00390000007823
ENSMUSG00000032802	ENSGT00390000007832
ENSMUSG00000031821	ENSGT00390000007838
ENSMUSG00000006058	ENSGT00390000007843
ENSMUSG00000032388	ENSGT00390000007857
ENSMUSG00000020755	ENSGT00390000007870
ENSMUSG00000006784	ENSGT00390000007911
ENSMUSG00000064284	ENSGT00390000007925
ENSMUSG00000039438	ENSGT00390000007968
ENSMUSG00000020260	ENSGT00390000007989
ENSMUSG00000053963	ENSGT00390000008003
ENSMUSG00000012483	ENSGT00390000008029
ENSMUSG00000031379	ENSGT00390000008044
ENSMUSG00000036557	ENSGT00390000008095
ENSMUSG00000023089	ENSGT00390000008099
ENSMUSG00000029156	ENSGT00390000008110
ENSMUSG00000019132	ENSGT00390000008115
ENSMUSG00000036315	ENSGT00390000008126
ENSMUSG00000048503	ENSGT00390000008162
ENSMUSG00000071398	ENSGT00390000008173
ENSMUSG00000039745	ENSGT00390000008184
ENSMUSG00000027889	ENSGT00390000008190
ENSMUSG00000043510	ENSGT00390000008206
ENSMUSG00000034442	ENSGT00390000008208
ENSMUSG00000037787	ENSGT00390000008212
ENSMUSG00000039763	ENSGT00390000008217
ENSMUSG00000075467	ENSGT00390000008220
ENSMUSG00000042428	ENSGT00390000008221
ENSMUSG00000041879	ENSGT00390000008224
ENSMUSG00000001018	ENSGT00390000008274
ENSMUSG00000024426	ENSGT00390000008276
ENSMUSG00000027430	ENSGT00390000008298
ENSMUSG00000034926	ENSGT00390000008338
ENSMUSG00000029221	ENSGT00390000008346
ENSMUSG00000071652	ENSGT00390000008374
ENSMUSG00000022008	ENSGT00390000008389
ENSMUSG00000085793	ENSGT00390000008402
ENSMUSG00000029575	ENSGT00390000008432
ENSMUSG00000029703	ENSGT00390000008446
ENSMUSG00000025193	ENSGT00390000008454
ENSMUSG00000019809	ENSGT00390000008481
ENSMUSG00000036513	ENSGT00390000008489
ENSMUSG00000027245	ENSGT00390000008502
ENSMUSG00000024999	ENSGT00390000008540
ENSMUSG00000028011	ENSGT00390000008593
ENSMUSG00000037101	ENSGT00390000008611
ENSMUSG00000021548	ENSGT00390000008634
ENSMUSG00000004945	ENSGT00390000008642
ENSMUSG00000030630	ENSGT00390000008646
ENSMUSG00000039427	ENSGT00390000008647
ENSMUSG00000050705	ENSGT00390000008658
ENSMUSG00000002249	ENSGT00390000008670
ENSMUSG00000035048	ENSGT00390000008673
ENSMUSG00000027327	ENSGT00390000008711
ENSMUSG00000021552	ENSGT00390000008742
ENSMUSG00000028069	ENSGT00390000008765
ENSMUSG00000044835	ENSGT00390000008829
ENSMUSG00000050555	ENSGT00390000008848
ENSMUSG00000029397	ENSGT00390000008853
ENSMUSG00000031007	ENSGT00390000008856
ENSMUSG00000053334	ENSGT00390000008873
ENSMUSG00000032872	ENSGT00390000008881
ENSMUSG00000042737	ENSGT00390000008892
ENSMUSG00000022890	ENSGT00390000008902
ENSMUSG00000033596	ENSGT00390000008931
ENSMUSG00000026895	ENSGT00390000008938
ENSMUSG00000048930	ENSGT00390000008947
ENSMUSG00000041028	ENSGT00390000008960
ENSMUSG00000038880	ENSGT00390000008964
ENSMUSG00000030681	ENSGT00390000008969
ENSMUSG00000057858	ENSGT00390000008978
ENSMUSG00000030101	ENSGT00390000008983
ENSMUSG00000002014	ENSGT00390000008992
ENSMUSG00000023723	ENSGT00390000009030
ENSMUSG00000004895	ENSGT00390000009042
ENSMUSG00000021694	ENSGT00390000009065
ENSMUSG00000032126	ENSGT00390000009083
ENSMUSG00000030750	ENSGT00390000009084
ENSMUSG00000022698	ENSGT00390000009110
ENSMUSG00000021368	ENSGT00390000009122
ENSMUSG00000027185	ENSGT00390000009140
ENSMUSG00000026154	ENSGT00390000009155
ENSMUSG00000042298	ENSGT00390000009194
ENSMUSG00000032026	ENSGT00390000009255
ENSMUSG00000006412	ENSGT00390000009272
ENSMUSG00000042650	ENSGT00390000009298
ENSMUSG00000059890	ENSGT00390000009300
ENSMUSG00000042305	ENSGT00390000009310
ENSMUSG00000024026	ENSGT00390000009312
ENSMUSG00000031782	ENSGT00390000009328
ENSMUSG00000028378	ENSGT00390000009335
ENSMUSG00000072946	ENSGT00390000009335
ENSMUSG00000044627	ENSGT00390000009349
ENSMUSG00000040859	ENSGT00390000009361
ENSMUSG00000019797	ENSGT00390000009366
ENSMUSG00000050270	ENSGT00390000009386
ENSMUSG00000003527	ENSGT00390000009387
ENSMUSG00000026577	ENSGT00390000009400
ENSMUSG00000035764	ENSGT00390000009402
ENSMUSG00000002307	ENSGT00390000009448
ENSMUSG00000026679	ENSGT00390000009461
ENSMUSG00000028048	ENSGT00390000009464
ENSMUSG00000040220	ENSGT00390000009477
ENSMUSG00000029660	ENSGT00390000009484
ENSMUSG00000056698	ENSGT00390000009488
ENSMUSG00000042709	ENSGT00390000009492
ENSMUSG00000044715	ENSGT00390000009517
ENSMUSG00000031824	ENSGT00390000009535
ENSMUSG00000035401	ENSGT00390000009554
ENSMUSG00000035236	ENSGT00390000009566
ENSMUSG00000053684	ENSGT00390000009583
ENSMUSG00000056919	ENSGT00390000009631
ENSMUSG00000039246	ENSGT00390000009648
ENSMUSG00000029404	ENSGT00390000009670
ENSMUSG00000024792	ENSGT00390000009753
ENSMUSG00000024424	ENSGT00390000009763
ENSMUSG00000030008	ENSGT00390000009837
ENSMUSG00000030979	ENSGT00390000009853
ENSMUSG00000032633	ENSGT00390000009864
ENSMUSG00000009076	ENSGT00390000009869
ENSMUSG00000037022	ENSGT00390000009908
ENSMUSG00000004610	ENSGT00390000009936
ENSMUSG00000000295	ENSGT00390000009937
ENSMUSG00000046404	ENSGT00390000009989
ENSMUSG00000021385	ENSGT00390000010053
ENSMUSG00000030423	ENSGT00390000010067
ENSMUSG00000034189	ENSGT00390000010069
ENSMUSG00000041231	ENSGT00390000010107
ENSMUSG00000019178	ENSGT00390000010113
ENSMUSG00000031090	ENSGT00390000010152
ENSMUSG00000012126	ENSGT00390000010180
ENSMUSG00000018923	ENSGT00390000010184
ENSMUSG00000010044	ENSGT00390000010195
ENSMUSG00000033029	ENSGT00390000010231
ENSMUSG00000022706	ENSGT00390000010239
ENSMUSG00000030177	ENSGT00390000010251
ENSMUSG00000079260	ENSGT00390000010260
ENSMUSG00000036860	ENSGT00390000010309
ENSMUSG00000022993	ENSGT00390000010327
